Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
APP_NAME,Application,All,[Solution Name],Application identifier for logging and monitoring,Yes,String,Max 50 characters,Public,Development,None,Used in logs and metrics,[DATE]
APP_VERSION,Application,All,1.0.0,Current application version,Yes,String,Semantic versioning format,Public,Development,None,Updated with each release,[DATE]
APP_ENVIRONMENT,Application,All,development,Deployment environment identifier,Yes,String,development|staging|production,Public,Operations,None,Controls feature flags and logging,[DATE]
APP_PORT,Application,All,8080,Port number for application server,Yes,Integer,1024-65535,Public,Infrastructure,Network configuration,Ensure no port conflicts,[DATE]
APP_LOG_LEVEL,Application,All,info,Logging verbosity level,Yes,String,debug|info|warn|error,Public,Operations,Monitoring tools,Production should use warn or error,[DATE]
DB_HOST,Database,All,[database-host],Database server hostname or IP,Yes,String,Valid hostname or IP,Confidential,Database Team,Network connectivity,Use FQDN for production,[DATE]
DB_PORT,Database,All,5432,Database server port,Yes,Integer,1-65535,Public,Database Team,Firewall rules,PostgreSQL default port,[DATE]
DB_NAME,Database,All,[database-name],Database name to connect to,Yes,String,Valid database identifier,Confidential,Database Team,Database creation,Must exist before deployment,[DATE]
DB_USERNAME,Database,All,[username],Database connection username,Yes,String,Valid username format,Secret,Database Team,User creation,Use service account,[DATE]
DB_PASSWORD,Database,All,[password],Database connection password,Yes,String,Min 12 chars with complexity,Secret,Database Team,User creation,Store in secrets manager,[DATE]
DB_SSL_MODE,Database,Production,require,SSL connection requirement,Yes,String,disable|allow|prefer|require,Confidential,Security Team,SSL certificates,Always require for production,[DATE]
DB_POOL_MIN,Database,All,5,Minimum database connections in pool,Yes,Integer,1-100,Public,Database Team,DB_POOL_MAX,Tune based on load patterns,[DATE]
DB_POOL_MAX,Database,All,20,Maximum database connections in pool,Yes,Integer,5-500,Public,Database Team,DB_POOL_MIN,Monitor connection usage,[DATE]
CACHE_HOST,Cache,All,[cache-host],Redis cache server hostname,Yes,String,Valid hostname or IP,Confidential,Infrastructure,Network connectivity,Use Redis cluster for HA,[DATE]
CACHE_PORT,Cache,All,6379,Redis cache server port,Yes,Integer,1-65535,Public,Infrastructure,Firewall rules,Redis default port,[DATE]
CACHE_PASSWORD,Cache,All,[password],Redis authentication password,No,String,Min 8 characters,Secret,Infrastructure,Redis configuration,Optional if Redis AUTH disabled,[DATE]
CACHE_TTL,Cache,All,3600,Default cache time-to-live in seconds,Yes,Integer,60-86400,Public,Development,Cache strategy,Tune based on data patterns,[DATE]
JWT_SECRET,Security,All,[jwt-secret-key],Secret key for JWT token signing,Yes,String,Min 32 chars base64,Secret,Security Team,Authentication,Rotate regularly,[DATE]
ENCRYPTION_KEY,Security,All,[encryption-key],Key for data encryption at rest,Yes,String,256-bit key base64,Secret,Security Team,Encryption service,Use key management service,[DATE]
API_KEY,Security,All,[api-key],API authentication key,Yes,String,UUID or secure random,Secret,API Team,External services,Unique per environment,[DATE]
CORS_ORIGINS,Security,All,[allowed-origins],Allowed CORS origins,Yes,String,Comma-separated URLs,Confidential,Security Team,Frontend domains,Restrict to known domains,[DATE]
SERVICE_ENDPOINT,Integration,All,[external-service-url],External service API endpoint,Yes,String,Valid HTTPS URL,Confidential,Integration Team,Service availability,Use load balancer URL,[DATE]
SERVICE_API_KEY,Integration,All,[service-api-key],API key for external service,Yes,String,Provider-specific format,Secret,Integration Team,Service registration,Obtain from service provider,[DATE]
