Question ID,Category,Sub-Category,Question,Response Type,Response Options,Customer Response,Priority,Source,Notes
PROJ-001,Project Information,Basic Details,What is the solution name?,Text,,"",High,Template,Internal project reference
PROJ-002,Project Information,Basic Details,What is your company name?,Text,,"",High,Template,Client identification
PROJ-003,Project Information,Basic Details,Who is the primary stakeholder for this project?,Text,,"",High,Template,Main point of contact
PROJ-004,Project Information,Basic Details,What is the stakeholder's role?,Text,,"",Medium,Template,Decision-making authority
PROJ-005,Project Information,Basic Details,What is today's date?,Date,,"",Low,Template,Questionnaire completion date
BUS-001,Business Requirements,Current State,What is the current challenge or pain point this solution aims to address?,Multiple Choice,"Performance issues,Scalability limitations,Security concerns,Cost optimization,Compliance requirements,Other","",High,Discovery,Primary business driver
BUS-002,Business Requirements,Current State,What systems or processes are currently in place?,Text,,"",High,Discovery,Current state assessment
BUS-003,Business Requirements,Current State,What is working well with the current setup?,Text,,"",Medium,Discovery,Strengths to preserve
BUS-004,Business Requirements,Current State,What are the specific limitations or failures?,Text,,"",High,Discovery,Pain points to address
BUS-005,Business Requirements,Objectives,What are the primary business goals for this project?,Multiple Choice,"Reduce operational costs,Improve performance,Enhance security,Enable scalability,Ensure compliance,Accelerate time-to-market,Other","",High,Discovery,Business objectives
BUS-006,Business Requirements,Objectives,What does success look like? (Measurable outcomes),Text,,"",High,Discovery,Success criteria definition
BUS-007,Business Requirements,Timeline,What is the expected timeline for implementation?,Multiple Choice,"0-3 months,3-6 months,6-12 months,12+ months","",High,Planning,Project timeline expectations
BUS-008,Business Requirements,Budget,What is the approved budget range?,Multiple Choice,"$0-50K,$50K-250K,$250K-1M,$1M+","",High,Planning,Budget constraints
BUS-009,Business Requirements,Stakeholders,Who are the key stakeholders and decision makers?,Text,,"",High,Discovery,Stakeholder mapping
BUS-010,Business Requirements,Success Metrics,How will you measure the success of this project?,Text,,"",High,Discovery,KPI definition
TECH-001,Technical Requirements,Infrastructure,What is your current technology infrastructure?,Text,,"",High,Technical Assessment,Current tech stack
TECH-002,Technical Requirements,Infrastructure,What cloud platforms do you currently use?,Multiple Choice,"AWS,Azure,Google Cloud,On-premises,Hybrid,Other","",High,Technical Assessment,Cloud strategy
TECH-003,Technical Requirements,Integration,What systems need to integrate with this solution?,Text,,"",High,Technical Assessment,Integration requirements
TECH-004,Technical Requirements,Integration,What data sources need to be connected?,Text,,"",High,Technical Assessment,Data integration needs
TECH-005,Technical Requirements,Performance,What are your performance requirements?,Text,,"",Medium,Technical Assessment,Performance expectations
TECH-006,Technical Requirements,Performance,How many concurrent users do you expect?,Multiple Choice,"1-50,51-500,501-5000,5000+","",Medium,Technical Assessment,User capacity planning
TECH-007,Technical Requirements,Security,What are your security requirements?,Multiple Choice,"Basic authentication,Multi-factor authentication,Single sign-on,RBAC,Advanced encryption,Other","",High,Security Assessment,Security needs
TECH-008,Technical Requirements,Security,What compliance standards must be met?,Multiple Choice,"SOC 2,ISO 27001,HIPAA,PCI DSS,GDPR,FedRAMP,Other,None","",High,Security Assessment,Compliance requirements
TECH-009,Technical Requirements,Data,What types of data will the system handle?,Multiple Choice,"Customer data,Financial data,Healthcare data,Personal data,Public data,Proprietary data,Other","",High,Data Assessment,Data classification
