Question ID,Category,Sub-Category,Question,Response Type,Response Options,Customer Response,Priority,Source,Notes
PROJ-001,Project Information,Basic Details,What is the name of your Intelligent Document Processing solution?,Text,,"",High,Template,Internal project reference
PROJ-002,Project Information,Basic Details,What is your company name?,Text,,"",High,Template,Client identification
PROJ-003,Project Information,Basic Details,Who is the primary stakeholder for this IDP project?,Text,,"",High,Template,Main point of contact
PROJ-004,Project Information,Basic Details,What is the stakeholder's role and decision-making authority?,Text,,"",Medium,Template,Decision-making authority
PROJ-005,Project Information,Basic Details,What is today's date?,Date,,"",Low,Template,Questionnaire completion date
BUS-001,Business Requirements,Current State,What document processing challenges are you trying to solve?,Multiple Choice,"Manual data entry,Document classification errors,Slow processing times,High operational costs,Compliance issues,Data accuracy problems,Other","",High,Discovery,Primary business driver for IDP
BUS-002,Business Requirements,Current State,What is your current document processing workflow?,Text,,"",High,Discovery,Current state assessment
BUS-003,Business Requirements,Current State,What types of documents do you process regularly?,Multiple Choice,"Invoices,Contracts,Insurance claims,Medical records,Tax documents,Legal documents,Forms,Letters,Other","",High,Discovery,Document type classification
BUS-004,Business Requirements,Current State,What volume of documents do you process monthly?,Multiple Choice,"1-100,101-1000,1001-10000,10000+","",High,Discovery,Processing volume requirements
BUS-005,Business Requirements,Current State,What document formats do you currently handle?,Multiple Choice,"PDF,Word documents,Scanned images,Handwritten documents,Multi-page documents,Email attachments,Fax documents,Other","",High,Discovery,Input format requirements
BUS-006,Business Requirements,Objectives,What are your primary goals for implementing IDP?,Multiple Choice,"Reduce manual data entry,Improve processing speed,Increase accuracy,Lower operational costs,Ensure compliance,Enable scalability,Other","",High,Discovery,Business objectives
BUS-007,Business Requirements,Objectives,What specific data do you need to extract from documents?,Text,,"",High,Discovery,Data extraction requirements
BUS-008,Business Requirements,Timeline,What is your expected timeline for IDP implementation?,Multiple Choice,"0-3 months,3-6 months,6-12 months,12+ months","",High,Planning,Project timeline expectations
BUS-009,Business Requirements,Budget,What is your approved budget range for this IDP solution?,Multiple Choice,"$0-50K,$50K-250K,$250K-1M,$1M+","",High,Planning,Budget constraints
BUS-010,Business Requirements,Success Metrics,How will you measure IDP success? (accuracy speed cost reduction),Text,,"",High,Discovery,KPI definition for document processing
