Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your Disaster Recovery project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this DR initiative?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What business challenges drive your need for disaster recovery?,"Common challenges: Regulatory compliance, Business continuity requirements, Customer SLA obligations, Risk mitigation, Revenue protection","",Primary business driver for DR investment
BUS-004,Business Requirements,Business Impact,What is the estimated cost of downtime per hour?,"Specify in dollars; used to justify DR investment","",Downtime cost drives DR solution sizing
BUS-005,Business Requirements,Recovery Objectives,What is your target Recovery Time Objective (RTO)?,"Maximum acceptable downtime (e.g., 15 minutes, 1 hour, 4 hours, 24 hours)","",RTO determines DR architecture design
BUS-006,Business Requirements,Recovery Objectives,What is your target Recovery Point Objective (RPO)?,"Maximum acceptable data loss (e.g., 5 minutes, 1 hour, 24 hours)","",RPO drives replication strategy
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing DR?,"Common goals: Business continuity, Compliance, Customer SLA obligations, Minimize revenue loss, Protect brand reputation","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure DR success?,"Define KPIs: RTO achieved, RPO achieved, successful failover tests, zero unplanned downtime","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for DR implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget range for this DR solution?,"Common ranges: $0-100K, $100K-500K, $500K-1M, $1M+. Include both CapEx and OpEx","",Budget constraints for solution sizing
BUS-011,Business Requirements,Testing Requirements,How frequently do you require DR testing?,"Options: Monthly, Quarterly, Semi-annually, Annually","",DR testing frequency for compliance and validation
BUS-012,Business Requirements,Growth Projections,How do you expect application usage to change over 3 years?,"Provide current usage metrics and projected annual growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Application Architecture,What is your current application architecture?,"Examples: 3-tier web application, Microservices, Monolithic, Serverless, Container-based","",Application stack affects DR design complexity
TECH-002,Technical Requirements,AWS Environment,What AWS services are you currently using?,"AWS services: EC2, ECS, EKS, RDS, S3, Lambda, DynamoDB, None, Other","",Current AWS footprint and existing infrastructure
TECH-003,Technical Requirements,AWS Environment,What AWS region(s) do you currently operate in?,"Specify primary region(s) for production workloads","",Regional deployment requirements
TECH-004,Technical Requirements,DR Region,What AWS region(s) would you prefer for disaster recovery?,"Consider distance from primary region, compliance requirements, latency","",DR region selection affects replication costs
TECH-005,Technical Requirements,Database Technology,What database types are you using?,"Examples: RDS PostgreSQL, RDS MySQL, Aurora, DynamoDB, Self-managed databases","",Database type affects replication strategy
TECH-006,Technical Requirements,Database Size,What is your total database size?,"Specify in GB or TB","",Database size affects replication time and costs
TECH-007,Technical Requirements,Data Change Rate,What is your average daily data change rate?,"Specify in GB per day","",Data change rate affects replication bandwidth
TECH-008,Technical Requirements,Storage Requirements,What is your total storage size across all systems?,"Include databases, S3 buckets, EBS volumes, file systems","",Total storage affects replication costs
TECH-009,Technical Requirements,Compute Resources,How many EC2 instances or containers do you run?,"Provide count and instance types for sizing","",Compute resources for DR capacity planning
TECH-010,Technical Requirements,Network Connectivity,Do you have existing AWS connectivity?,"Options: Internet only, Site-to-Site VPN, AWS Direct Connect, AWS Transit Gateway","",Network connectivity affects DR design
TECH-011,Technical Requirements,Load Balancing,What load balancing solution are you using?,"Options: Application Load Balancer, Network Load Balancer, Classic Load Balancer, Third-party, None","",Load balancer configuration for multi-region
TECH-012,Technical Requirements,DNS Management,Who manages your DNS?,"Options: Route 53, Third-party DNS provider, On-premises DNS","",DNS management for failover automation
TECH-013,Technical Requirements,DR Strategy,What DR strategy do you prefer?,"Options: Active-Passive (hot standby), Active-Active (multi-region), Pilot Light, Backup & Restore","",DR strategy drives architecture and costs
TECH-014,Technical Requirements,Failover Type,Do you require automated or manual failover?,"Options: Fully automated, Semi-automated with approval, Manual failover only","",Failover automation affects complexity
TECH-015,Technical Requirements,Replication Method,What data replication approach do you prefer?,"Options: Synchronous replication, Asynchronous replication, Continuous backup, Periodic snapshots","",Replication method affects RPO and costs
TECH-016,Technical Requirements,Application State,Does your application maintain session state?,"Options: Stateless application, Session state in database, Session state in cache (Redis/Memcached), Local session state","",Session management affects failover design
TECH-017,Technical Requirements,Dependencies,What external dependencies does your application have?,"Examples: Third-party APIs, Payment gateways, External databases, Partner systems","",External dependencies affect DR planning
TECH-018,Technical Requirements,Integration,What systems need to integrate with the DR environment?,"List upstream and downstream systems, APIs, and data feeds","",Integration scope and complexity
SEC-001,Security & Compliance,Data Classification,What is the highest data classification level in your systems?,"Levels: Public, Internal, Confidential, Restricted","",Determines encryption and access control requirements
SEC-002,Security & Compliance,Sensitive Data,What sensitive data types does your application handle?,"Sensitive data types: PII, PHI, Financial data, Credit card numbers, SSNs, Authentication credentials","",Data protection and encryption requirements
SEC-003,Security & Compliance,Compliance Standards,What compliance standards must the DR solution meet?,"Common standards: SOC 2, ISO 27001, HIPAA, PCI DSS, GDPR, FedRAMP, None","",Compliance controls and audit requirements
SEC-004,Security & Compliance,Encryption,What encryption requirements apply?,"Requirements: Encryption at rest (AES-256), Encryption in transit (TLS 1.2+), Cross-region encryption","",Security architecture and key management
SEC-005,Security & Compliance,Key Management,How do you manage encryption keys?,"Options: AWS KMS, AWS CloudHSM, Third-party KMS, Self-managed","",Key management for cross-region encryption
SEC-006,Security & Compliance,Access Control,What authentication and authorization requirements apply?,"Options: SSO (SAML/OIDC), MFA required, Role-based access, IAM integration, Certificate-based","",Identity and access management requirements
SEC-007,Security & Compliance,Audit Logging,What audit and logging requirements do you have?,"Requirements: CloudTrail logging, Access logs, Change tracking, Data access audit trail","",Audit trail and compliance reporting needs
SEC-008,Security & Compliance,Data Residency,Do you require data residency in specific regions?,"Specify regions or countries; affects DR region selection","",Geographic data sovereignty requirements
SEC-009,Security & Compliance,Network Security,What network security controls are required?,"Examples: VPC isolation, Security groups, NACLs, WAF, Shield, Network segmentation","",Network security architecture requirements
SEC-010,Security & Compliance,Backup Security,What security controls apply to backups and replicas?,"Requirements: Encrypted backups, Immutable backups, Access controls, Backup retention","",Backup security and data protection
OPS-001,Operations & Support,Availability,What uptime SLA do you have for your application?,"Common targets: 99%, 99.5%, 99.9%, 99.95%, 99.99%","",SLA requirements drive DR architecture
OPS-002,Operations & Support,Monitoring,What monitoring and alerting is required for DR?,"Requirements: Health checks, Replication lag monitoring, Failover alerts, Performance dashboards","",Operational visibility and incident response
OPS-003,Operations & Support,Support Coverage,What support coverage do you require?,"Options: Business hours (8x5), Extended (24x5), Full (24x7)","",Support staffing and cost planning
OPS-004,Operations & Support,Runbooks,Do you have existing DR runbooks and procedures?,"Options: Comprehensive runbooks, Basic documentation, None - need creation","",DR documentation and procedure requirements
OPS-005,Operations & Support,Backup Strategy,What is your current backup strategy?,"Describe frequency, retention period, and backup types","",Current backup approach and gaps
OPS-006,Operations & Support,Point-in-Time Recovery,Do you need point-in-time recovery capability?,"Options: Yes - required, Nice to have, Not needed","",PITR requirements for RDS and databases
