Role,Team,Team Member,Responsible Tasks,Accountable For,Consulted On,Informed Of,Primary Skills Required,Backup Person,Availability %,Contact Information,Escalation Path,Start Date,End Date,Notes
EO Project Manager,Project Management,[MPM Name],Overall migration coordination and delivery,Migration success and timeline adherence,All major migration decisions,All project communications,PMP certification and cloud migration experience,Senior Project Manager,100,[EMAIL],[MANAGER],Project Start,Project End,Single point of accountability for migration delivery using EO Framework™ methodology
EO Sales Engineer (Solution Architecture),Architecture,[CA Name],AWS architecture design and cloud migration strategy,Cloud architecture quality and AWS best practices compliance,Cloud design decisions,Architecture reviews and AWS service selection,AWS Solution Architect certification and cloud architecture,Principal Cloud Architect,100,[EMAIL],Architecture Manager,Assessment Phase,Optimization Complete,Technical authority for AWS cloud design using EO Framework™ principles
EO Sales Engineer (Solution Architecture),Migration,[MA Name],Migration strategy design and wave planning,Migration approach and dependency management,Migration wave sequencing,Migration strategy and risk assessments,Migration methodology and dependency analysis,Senior Migration Consultant,100,[EMAIL],Migration Director,Assessment Phase,Migration Complete,Designs comprehensive migration approach following EO Framework™ methodology
EO Sales Engineer (Solution Architecture),AWS,[AWS-SA Name],AWS technical guidance and best practices,AWS service recommendations and technical support,AWS service selection and optimization,AWS updates and service recommendations,AWS expertise and solution architecture,AWS Professional Services,40,[EMAIL],AWS Account Manager,Project Start,Project End,Provides AWS technical leadership and guidance aligned with EO Framework™ standards
EO Delivery Engineer (Technical Leadership),Migration,[AML Name],Application migration execution and coordination,Application migration success and quality,Application migration approaches,Application migration progress and issues,Application migration tools and methodologies,Senior Migration Engineer,100,[EMAIL],EO Sales Engineer (Solution Architecture),Migration Phase,Migration Complete,Leads hands-on application migration activities using EO Framework™ quality standards
EO Delivery Engineer (Infrastructure),Data Migration,[DMS Name],Database and data migration execution,Data migration integrity and zero data loss,Data migration strategies and tooling,Data migration progress and validation results,AWS DMS and database migration expertise,Senior Data Engineer,100,[EMAIL],Data Architect,Migration Phase,Data Migration Complete,Ensures comprehensive and accurate data migration following EO Framework™ standards
EO Engineer (Security),Security,[CSA Name],Cloud security architecture and compliance framework,Cloud security posture and compliance validation,Cloud security requirements and controls,Security assessments and compliance status,AWS security services and compliance frameworks,Principal Security Architect,60,[EMAIL],Security Manager,Assessment Phase,Security Implementation Complete,Designs secure AWS architecture with EO Framework™ standards
EO Delivery Engineer (Platform Implementation),Infrastructure,[CE Name],AWS infrastructure implementation and configuration,AWS environment setup and operational readiness,AWS service configuration and optimization,AWS infrastructure changes and deployments,AWS services administration and infrastructure as code,Senior Cloud Engineer,100,[EMAIL],EO Sales Engineer (Solution Architecture),Implementation Phase,Handover Complete,Implements and maintains AWS cloud infrastructure following EO Framework™ methodology
EO Delivery Engineer (Infrastructure),Network,[NE Name],Hybrid network connectivity and AWS networking,Network connectivity and performance,Network architecture and routing design,Network changes and connectivity issues,AWS networking services and hybrid connectivity,Senior Network Engineer,80,[EMAIL],Network Manager,Implementation Phase,Migration Complete,Establishes and maintains network connectivity following EO Framework™ standards
EO Delivery Engineer (Platform Implementation),Migration,[ME Name],Technical migration execution and automation,Migration task execution and quality,Migration tooling and automation,Migration progress and technical issues,AWS migration tools and automation scripting,EO Sales Engineer (Solution Architecture),100,[EMAIL],EO Delivery Engineer (Technical Leadership),Migration Phase,Migration Complete,Executes technical migration tasks and automation using EO Framework™ methodology
EO Sales Engineer (Business Analysis),Business,[BA Name],Migration requirements and business impact analysis,Business requirements completeness and stakeholder alignment,Business requirements and impact assessment,Requirements changes and business readiness,Business analysis and cloud migration impact assessment,Senior Business Analyst,80,[EMAIL],Business Manager,Assessment Phase,UAT Complete,Analyzes business impact and requirements for migration using EO Framework™ approach
EO Engineer (QA),Quality Assurance,[QAE Name],Migration testing and validation,Migration testing completeness and quality standards,Test planning and validation strategies,Test results and migration quality metrics,Migration testing and cloud application testing,EO Engineer (QA Lead),100,[EMAIL],QA Manager,Testing Phase,Migration Complete,Tests and validates migrated applications and systems using EO Framework™ quality standards
