Sheet,Section,Item,Description,Year 0,Year 1,Year 2,Year 3,Total,Formula,Notes
Input,Project Information,Solution Name,AWS Cloud Migration,,,,,,"Manual Entry","Enter migration project name"
Input,Project Information,Client Name,{CLIENT_NAME},,,,,,"Manual Entry","Enter client name"
Input,Project Information,Analysis Date,{CURRENT_DATE},,,,,,"Manual Entry","Analysis preparation date"
Input,Project Information,Analysis Period,3 Years,,,,,,"Manual Entry","ROI calculation timeframe"
Input,Project Information,Discount Rate,10%,,,,,,"Manual Entry","Cost of capital for NPV calculation"
Input,Implementation Costs,Migration Assessment,Discovery and planning phase,"$150,000",$0,$0,$0,"$150,000","=E7","Migration readiness assessment"
Input,Implementation Costs,Migration Services,Professional migration services,"$480,000",$0,$0,$0,"$480,000","=E8","Migration execution costs"
Input,Implementation Costs,AWS Setup & Configuration,Landing zone and service setup,"$120,000",$0,$0,$0,"$120,000","=E9","Initial AWS configuration"
Input,Implementation Costs,Training & Change Management,Staff training and change management,"$80,000",$0,$0,$0,"$80,000","=E10","Migration training costs"
Input,Implementation Costs,Testing & Validation,Migration testing and validation,"$60,000",$0,$0,$0,"$60,000","=E11","Testing phase costs"
Input,Implementation Costs,Data Migration,Data transfer and synchronization,"$90,000",$0,$0,$0,"$90,000","=E12","Data migration costs"
Input,Implementation Costs,Contingency (15%),Migration risk buffer,"$147,000",$0,$0,$0,"$147,000","=SUM(E7:E12)*0.15","Migration contingency"
Input,Ongoing Costs,AWS Infrastructure,Monthly AWS service costs,$0,"$360,000","$380,000","$400,000","$1,140,000","=SUM(F14:H14)","Growing AWS usage costs"
Input,Ongoing Costs,Cloud Management Tools,Monitoring and management platforms,$0,"$48,000","$48,000","$48,000","$144,000","=SUM(F15:H15)","Annual management costs"
Input,Ongoing Costs,Additional Training,Ongoing cloud skills development,$0,"$25,000","$15,000","$10,000","$50,000","=SUM(F16:H16)","Decreasing training costs"
Input,Ongoing Costs,Cloud Support,AWS premium support services,$0,"$60,000","$65,000","$70,000","$195,000","=SUM(F17:H17)","AWS support costs"
Input,On-Premise Costs,Data Center Operations,Current data center operating costs,$0,"-$1,200,000","-$1,200,000","-$1,200,000","-$3,600,000","=SUM(F18:H18)","Eliminated data center costs"
Input,On-Premise Costs,Hardware Maintenance,Server and equipment maintenance,$0,"-$180,000","-$180,000","-$180,000","-$540,000","=SUM(F19:H19)","Eliminated hardware costs"
Input,On-Premise Costs,Software Licensing,Legacy software license savings,$0,"-$240,000","-$240,000","-$240,000","-$720,000","=SUM(F20:H20)","License cost savings"
Input,On-Premise Costs,IT Staff Reduction,Reduced infrastructure staffing,$0,"-$450,000","-$450,000","-$450,000","-$1,350,000","=SUM(F21:H21)","Staff cost savings"
Input,Cloud Benefits,Improved Availability,Revenue from increased uptime,$0,"$180,000","$200,000","$220,000","$600,000","=SUM(F22:H22)","Uptime improvement benefits"
Input,Cloud Benefits,Faster Deployment,Revenue from faster time-to-market,$0,"$300,000","$350,000","$400,000","$1,050,000","=SUM(F23:H23)","Agility benefits"
Input,Cloud Benefits,Auto-scaling Efficiency,Cost savings from dynamic scaling,$0,"$150,000","$180,000","$200,000","$530,000","=SUM(F24:H24)","Scaling efficiency gains"
Input,Cloud Benefits,Disaster Recovery,Cost avoidance from improved DR,$0,"$120,000","$120,000","$120,000","$360,000","=SUM(F25:H25)","DR cost avoidance"
Input,Cloud Benefits,Security Improvements,Cost savings from enhanced security,$0,"$90,000","$100,000","$110,000","$300,000","=SUM(F26:H26)","Security improvement savings"
Input,Cloud Benefits,Innovation Acceleration,Revenue from new capabilities,$0,"$200,000","$400,000","$600,000","$1,200,000","=SUM(F27:H27)","Innovation revenue growth"
Input,Cloud Benefits,Compliance Automation,Savings from automated compliance,$0,"$60,000","$75,000","$85,000","$220,000","=SUM(F28:H28)","Compliance cost savings"
Input,Cloud Benefits,Global Reach,Revenue from expanded market access,$0,"$100,000","$250,000","$400,000","$750,000","=SUM(F29:H29)","Geographic expansion revenue"
Calculation,Cash Flow,Total Implementation Costs,One-time migration investment,"$1,127,000",$0,$0,$0,"$1,127,000","=SUM(E7:E13)","Total upfront migration cost"
Calculation,Cash Flow,Total Annual Costs,Ongoing cloud operational costs,$0,"$493,000","$508,000","$528,000","$1,529,000","=SUM(F14:F17)+SUM(G14:G17)+SUM(H14:H17)","Annual cloud operating costs"
Calculation,Cash Flow,Total Cost Savings,Eliminated on-premise costs,$0,"$2,070,000","$2,070,000","$2,070,000","$6,210,000","=SUM(F18:F21)+SUM(G18:G21)+SUM(H18:H21)","Annual on-premise cost elimination"
Calculation,Cash Flow,Total Cloud Benefits,Additional revenue and savings,$0,"$1,200,000","$1,475,000","$1,735,000","$4,410,000","=SUM(F22:F29)+SUM(G22:G29)+SUM(H22:H29)","Annual cloud-enabled benefits"
Calculation,Cash Flow,Net Annual Cash Flow,Total benefits minus costs,"-$1,127,000","$2,777,000","$3,037,000","$3,277,000","$8,964,000","=E31-E30, =F33+F34-F31, =G33+G34-G31, =H33+H34-H31","Annual net cash flow"
Calculation,Cash Flow,Cumulative Cash Flow,Running total of cash flows,"-$1,127,000","$1,650,000","$4,687,000","$7,964,000",,"=E35, =E35+F35, =F36+G35, =G36+H35","Cumulative cash position"
Calculation,ROI Metrics,Total Investment,Complete migration investment,"$1,127,000",,,,"=E30","Total capital invested"
Calculation,ROI Metrics,Total Net Benefits,Complete benefit amount,"$8,964,000",,,,"=SUM(F33:H33)","Total net benefits realized"
Calculation,ROI Metrics,Total Cost Savings,On-premise cost elimination,"$6,210,000",,,,"=I32","Total infrastructure savings"
Calculation,ROI Metrics,Total Cloud Benefits,Cloud-enabled benefits,"$4,410,000",,,,"=I34","Total cloud advantage benefits"
Calculation,ROI Metrics,Net Present Value (NPV),NPV at discount rate,"$7,142,850",,,,"=NPV(F6,F35:H35)+E35","NPV calculation"
Calculation,ROI Metrics,Internal Rate of Return (IRR),IRR percentage,268%,,,,"=IRR(E35:H35)","IRR calculation"
Calculation,ROI Metrics,Payback Period,Months to break even,4.9,,,,"=IF(E36>0,0,12-E36/F35*12)","Payback in months"
Calculation,ROI Metrics,Return on Investment (ROI),ROI percentage,695%,,,,"=(I38-I37)/I37","Total ROI percentage"
Summary,Key Results,Investment Summary,Total migration investment,"$1,127,000",,,,"=I37","Migration investment needed"
Summary,Key Results,Infrastructure Savings,On-premise cost elimination,"$6,210,000",,,,"=I39","Data center cost savings"
Summary,Key Results,Cloud Benefits,Cloud-enabled value creation,"$4,410,000",,,,"=I40","New cloud capabilities value"
Summary,Key Results,Net Benefit,Total net financial gain,"$8,964,000",,,,"=I38-I37","Net financial benefit"
Summary,Key Results,ROI Achievement,Return on investment percentage,695%,,,,"=I43","ROI achievement"
Summary,Key Results,Payback Timeline,Time to recover investment,"4.9 months",,,,"=I42&"" months""","Investment recovery time"
Summary,Key Results,NPV Result,Net present value of investment,"$7,142,850",,,,"=I41","NPV at discount rate"
Summary,Recommendation,Financial Viability,Migration recommendation,"STRONG APPROVE",,,,"=IF(I41>0,""APPROVE"",""REJECT"")","Based on positive NPV"
Summary,Recommendation,Risk Assessment,Migration risk level,"MEDIUM",,,,"Manual Assessment","Migration complexity considered"
Summary,Recommendation,Strategic Value,Strategic business importance,"VERY HIGH",,,,"Manual Assessment","Digital transformation value"
Summary,Recommendation,Overall Rating,Final recommendation,"PROCEED IMMEDIATELY",,,,"Manual Assessment","Executive recommendation"
Assumptions,Financial,Discount Rate,Cost of capital assumption,10%,,,,"=F6","WACC or hurdle rate"
Assumptions,Financial,Tax Rate,Corporate tax rate,25%,,,,"Manual Entry","For tax benefit calculations"
Assumptions,Financial,Inflation Rate,Annual inflation assumption,3%,,,,"Manual Entry","For cost escalation"
Assumptions,Migration,Migration Timeline,Expected migration duration,12 months,,,,"Manual Entry","Migration execution timeframe"
Assumptions,Migration,Application Success Rate,Successful migration percentage,98%,,,,"Manual Entry","Migration success assumption"
Assumptions,Migration,Downtime Per App,Average downtime per application,4 hours,,,,"Manual Entry","Cutover downtime assumption"
Assumptions,Cloud,Auto-scaling Adoption,Applications using auto-scaling,75%,,,,"Manual Entry","Auto-scaling utilization rate"
Assumptions,Cloud,Reserved Instance Usage,RI coverage for predictable workloads,60%,,,,"Manual Entry","Cost optimization assumption"
Assumptions,Cloud,Multi-AZ Deployment,High availability deployment rate,90%,,,,"Manual Entry","Availability architecture assumption"
Assumptions,Operational,Staff Reallocation,Reallocated vs eliminated positions,70%,,,,"Manual Entry","Change management assumption"
Assumptions,Operational,Performance Improvement,Application performance gain,25%,,,,"Manual Entry","Cloud performance benefit"
Assumptions,Operational,Availability Improvement,Uptime improvement percentage,99.9%,,,,"Manual Entry","Target availability"
Risk,Migration,Technical Risk,Migration execution risk,Medium,,,,"Manual Assessment","Technical complexity risk"
Risk,Migration,Data Risk,Data migration and integrity risk,Medium,,,,"Manual Assessment","Data migration risk"
Risk,Migration,Timeline Risk,Schedule delay risk,Medium,,,,"Manual Assessment","Migration timeline risk"
Risk,Operational,Skills Risk,Cloud skills availability risk,Medium,,,,"Manual Assessment","Team readiness risk"
Risk,Operational,Change Risk,Organizational change risk,Low,,,,"Manual Assessment","Change management risk"
Risk,Financial,Cost Overrun,Budget variance risk,Medium,,,,"Manual Assessment","Cost control risk"
Risk,Financial,Benefit Realization,Benefit achievement risk,Low,,,,"Manual Assessment","Benefit delivery risk"
Risk,Strategic,Vendor Risk,AWS dependency risk,Low,,,,"Manual Assessment","Vendor lock-in risk"
Sensitivity,Scenarios,Conservative Case,Reduced benefits (70%),"$6,274,800",,,,"=I38*0.70","Conservative benefit estimate"
Sensitivity,Scenarios,Optimistic Case,Increased benefits (130%),"$11,653,200",,,,"=I38*1.30","Optimistic benefit estimate"
Sensitivity,Scenarios,Worst Case,Reduced benefits (50%),"$4,482,000",,,,"=I38*0.50","Worst-case benefit estimate"
Sensitivity,Impact,Conservative ROI,ROI in conservative scenario,457%,,,,"=(I70-I37)/I37","Conservative ROI"
Sensitivity,Impact,Optimistic ROI,ROI in optimistic scenario,934%,,,,"=(I71-I37)/I37","Optimistic ROI"
Sensitivity,Impact,Worst Case ROI,ROI in worst-case scenario,298%,,,,"=(I72-I37)/I37","Worst-case ROI"
