Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
PROJ-001,Project Information,Basic Details,What is the name of your Document Intelligence solution?,"","",Internal project reference
PROJ-002,Project Information,Basic Details,What is your company name?,"","",Client identification
PROJ-003,Project Information,Basic Details,Who is the primary stakeholder for this project?,"","",Main point of contact
PROJ-004,Project Information,Basic Details,What is the stakeholder's role and decision-making authority?,"","",Decision-making authority
PROJ-005,Project Information,Basic Details,What is today's date?,"","",Questionnaire completion date
BUS-001,Business Requirements,Current State,What document processing challenges are you trying to solve?,"Common challenges: Manual data entry, Document classification errors, Slow processing times, High operational costs, Compliance issues, Data accuracy problems","",Primary business driver
BUS-002,Business Requirements,Current State,What is your current document processing workflow?,"","",Current state assessment
BUS-003,Business Requirements,Current State,What types of documents do you process regularly?,"Common types: Invoices, Purchase orders, Receipts, Contracts, Forms, Insurance claims, Medical records, Financial statements, Shipping documents","",Document type classification
BUS-004,Business Requirements,Current State,What volume of documents do you process monthly?,"Typical ranges: 1-100, 101-1000, 1001-10000, 10000+, 50000+, 100000+","",Processing volume requirements
BUS-005,Business Requirements,Current State,What document formats do you currently handle?,"Common formats: PDF, Word documents, Excel spreadsheets, Scanned images, Handwritten documents, Multi-page documents, Email attachments","",Input format requirements
BUS-006,Business Requirements,Objectives,What are your primary goals for implementing Document Intelligence?,"Common goals: Reduce manual data entry, Improve processing speed, Increase accuracy, Lower operational costs, Ensure compliance, Enable scalability, Free up staff time","",Business objectives
BUS-007,Business Requirements,Objectives,What specific data do you need to extract from documents?,"Common fields: Line items, Totals, Dates, Names, Addresses, Account numbers, Custom fields","",Data extraction requirements
BUS-008,Business Requirements,Timeline,What is your expected timeline for implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations
BUS-009,Business Requirements,Budget,What is your approved budget range for this solution?,"Common ranges: $0-50K, $50K-250K, $250K-1M, $1M+","",Budget constraints
BUS-010,Business Requirements,Success Metrics,How will you measure success?,"Common metrics: Processing time reduction, Accuracy improvement, Cost savings, FTE reduction, Error rate reduction","",KPI definition
DOC-001,Document Requirements,Types,What specific document types need automated processing?,"","",Detailed document classification
DOC-002,Document Requirements,Structure,Are your documents structured semi-structured or unstructured?,"Types: Structured forms, Semi-structured invoices/receipts, Unstructured letters/contracts, Mixed types","",Document structure analysis
DOC-003,Document Requirements,Quality,What is the typical quality of your source documents?,"Quality levels: High quality digital PDF, Good quality scanned, Poor quality scanned, Handwritten, Mixed quality, Faxed documents","",OCR accuracy expectations
DOC-004,Document Requirements,Languages,What languages appear in your documents?,"Common languages: English only, Spanish, French, Multi-language, Specific Asian/European languages","",Multi-language processing needs
DOC-005,Document Requirements,Variations,How much variation exists within each document type?,"Variation levels: Highly standardized templates, Some layout variation, Significant format variation, Completely variable layouts","",Model training complexity
DOC-006,Document Requirements,Sources,Where do documents originate?,"Common sources: Email attachments, SharePoint upload, Blob storage, Web portal upload, Mobile app, Fax, Scanned paper","",Input channel requirements
TECH-001,Technical Requirements,Azure Environment,What Azure services are you currently using?,"Azure services: Blob Storage, Functions, Logic Apps, Cosmos DB, SQL Database, Power Platform, Document Intelligence, None, Other","",Current Azure footprint
TECH-002,Technical Requirements,Azure Environment,What Azure region(s) do you prefer for data processing?,"Common regions: East US, West US, West Europe, UK South, Southeast Asia, Data residency requirements","",Data residency and compliance
TECH-003,Technical Requirements,Integration,What systems need to integrate with the Document Intelligence solution?,"Common systems: Dynamics 365, SAP, Oracle, Salesforce, SharePoint, Power Apps, Custom line-of-business apps","",Integration requirements
TECH-004,Technical Requirements,Integration,What document storage systems do you currently use?,"Common systems: SharePoint Online, OneDrive, Azure Blob Storage, Azure Files, Box, Dropbox, Google Drive, On-premises file servers","",Storage integration needs
TECH-005,Technical Requirements,API Requirements,Do you need real-time or batch document processing?,"Options: Real-time processing, Batch processing overnight, Both real-time and batch, Event-driven processing","",Processing mode requirements
TECH-006,Technical Requirements,API Requirements,What API integration capabilities do you need?,"Common integrations: REST APIs, Power Automate connectors, Logic Apps, Azure Functions, Event Grid triggers, Webhooks","",API integration needs
TECH-007,Technical Requirements,Performance,What are your document processing speed requirements?,"Typical targets: Under 1 minute per document, Under 5 minutes, Under 1 hour, Same business day, Next business day","",Performance expectations
TECH-008,Technical Requirements,Performance,What accuracy level do you require for data extraction?,"Common targets: 90%+, 95%+, 98%+, 99%+, 99.5%+","",Accuracy requirements
TECH-009,Technical Requirements,Security,What security requirements apply to document processing?,"Common requirements: Encryption at rest (SSE), Encryption in transit (TLS), Azure AD authentication, RBAC, Managed identities, Private endpoints, Audit logging","",Security controls needed
TECH-010,Technical Requirements,Security,What compliance standards must the solution meet?,"Common standards: SOC 2, ISO 27001, HIPAA, PCI DSS, GDPR, FedRAMP, CMMC, State-specific regulations, None","",Compliance requirements
TECH-011,Technical Requirements,Data,What sensitive data types are present in your documents?,"Sensitive data types: PII (personally identifiable information), PHI (protected health information), Financial data, Credit card numbers, SSNs, Tax IDs, Other sensitive data, No sensitive data","",Data protection requirements
TECH-012,Technical Requirements,Data,What are your data retention and deletion requirements?,"Common requirements: Retain X years, Delete after processing, Archive to cold storage, Compliance-driven retention, Legal hold capabilities","",Data lifecycle management
TECH-013,Technical Requirements,Availability,What uptime requirements do you have for document processing?,"Common targets: Business hours only, 99% (99.5% standard Azure SLA), 99.9%, 99.95%, 99.99%","",SLA requirements
AI-001,AI/ML Requirements,Model Selection,Do you need custom models or will pre-built Document Intelligence models suffice?,"Options: Pre-built models only (invoices receipts IDs W2), Custom models for specific forms, Combination of pre-built and custom, Fully custom classification and extraction","",Model complexity requirements
AI-002,AI/ML Requirements,Training Data,Do you have labeled training data for custom models?,"Options: Yes - 50+ samples per document type, Yes - limited samples (5-15), No - need data labeling assistance, Unsure what's needed","",Training data availability
