#WIDTH: 45,18,50,50,50,50,8,12,30,14
#ALIGN: left,left,left,left,left,left,center,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level
solution.name,Project,Azure Enterprise Landing Zone,Azure Enterprise Landing Zone,Azure Enterprise Landing Zone,Solution display name,Yes,String,Max 50 characters,Public
solution.abbr,Project,alz,alz,alz,Solution abbreviation for resource naming,Yes,String,Max 10 characters,Public
solution.provider_name,Project,azure,azure,azure,Cloud provider name,Yes,String,aws|azure|gcp,Public
solution.category_name,Project,cloud,cloud,cloud,Solution category,Yes,String,Valid category,Public
azure.subscription_id,Project,[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],Azure subscription identifier,Yes,String,GUID format,Confidential
azure.tenant_id,Project,[TENANT_ID],[TENANT_ID],[TENANT_ID],Azure AD tenant identifier,Yes,String,GUID format,Confidential
azure.region,Project,eastus,eastus,westus2,Primary Azure region,Yes,String,Valid Azure region,Public
azure.secondary_region,Project,westus2,westus2,centralus,Secondary Azure region for DR,Yes,String,Valid Azure region,Public
ownership.cost_center,Project,CC-CLOUD-001,CC-CLOUD-001,CC-CLOUD-001,Cost center for billing,Yes,String,CC format,Public
ownership.owner_email,Project,platform-team@company.com,dev-team@company.com,platform-team@company.com,Team email for ownership,Yes,String,Valid email,Public
ownership.project_code,Project,PRJ-ALZ-2025,PRJ-ALZ-2025,PRJ-ALZ-2025,Project tracking code,Yes,String,PRJ format,Public
governance.management_group_root,Governance,[TENANT_ROOT_GROUP],[TENANT_ROOT_GROUP],[TENANT_ROOT_GROUP],Root management group ID,Yes,String,Management group ID,Confidential
governance.management_group_platform,Governance,mg-platform,mg-platform,mg-platform,Platform management group name,Yes,String,Valid MG name,Public
governance.management_group_landingzones,Governance,mg-landingzones,mg-landingzones,mg-landingzones,Landing zones management group name,Yes,String,Valid MG name,Public
governance.management_group_corp,Governance,mg-corp,mg-corp,mg-corp,Corporate landing zone management group,Yes,String,Valid MG name,Public
governance.management_group_online,Governance,mg-online,mg-online,mg-online,Online landing zone management group,Yes,String,Valid MG name,Public
governance.subscription_vending_enabled,Governance,true,false,true,Enable subscription vending automation,Yes,Boolean,true|false,Public
governance.policy_initiatives_count,Governance,50,30,50,Number of policy assignments,Yes,Integer,1-200,Public
governance.tag_enforcement,Governance,true,true,true,Enforce mandatory resource tags,Yes,Boolean,true|false,Public
network.vnet_hub_primary_cidr,Network,10.0.0.0/16,10.10.0.0/16,10.20.0.0/16,Primary hub VNet CIDR block,Yes,String,Valid CIDR,Public
network.vnet_hub_secondary_cidr,Network,10.1.0.0/16,10.11.0.0/16,10.21.0.0/16,Secondary hub VNet CIDR block,Yes,String,Valid CIDR,Public
network.subnet_firewall,Network,10.0.0.0/26,10.10.0.0/26,10.20.0.0/26,Azure Firewall subnet,Yes,String,Valid CIDR /26,Public
network.subnet_gateway,Network,10.0.1.0/27,10.10.1.0/27,10.20.1.0/27,Gateway subnet for ExpressRoute/VPN,Yes,String,Valid CIDR /27,Public
network.subnet_bastion,Network,10.0.2.0/27,10.10.2.0/27,10.20.2.0/27,Azure Bastion subnet,Yes,String,Valid CIDR /27,Public
network.subnet_management,Network,10.0.3.0/24,10.10.3.0/24,10.20.3.0/24,Management subnet for jump servers,Yes,String,Valid CIDR,Public
network.firewall_sku,Network,Premium,Standard,Premium,Azure Firewall SKU tier,Yes,String,Standard|Premium,Public
network.expressroute_sku,Network,Standard,Standard,Standard,ExpressRoute circuit SKU,Yes,String,Standard|Premium,Public
network.expressroute_bandwidth,Network,1000,500,1000,ExpressRoute bandwidth in Mbps,Yes,Integer,50-10000,Public
network.ddos_protection_enabled,Network,true,false,true,Enable DDoS Protection Standard,Yes,Boolean,true|false,Public
security.keyvault_sku,Security,Standard,Standard,Standard,Key Vault pricing tier,Yes,String,Standard|Premium,Public
security.keyvault_soft_delete,Security,true,true,true,Enable soft delete for Key Vault,Yes,Boolean,true|false,Public
security.keyvault_purge_protection,Security,true,false,true,Enable purge protection,Yes,Boolean,true|false,Public
security.admin_group_id,Security,[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],Azure AD group for platform admins,Yes,String,GUID format,Confidential
security.reader_group_id,Security,[READER_GROUP_ID],[READER_GROUP_ID],[READER_GROUP_ID],Azure AD group for read-only access,Yes,String,GUID format,Confidential
security.conditional_access_enabled,Security,true,false,true,Enable Conditional Access policies,Yes,Boolean,true|false,Public
security.pim_enabled,Security,true,false,true,Enable Privileged Identity Management,Yes,Boolean,true|false,Public
security.defender_cloud_tier,Security,Standard,Free,Standard,Defender for Cloud pricing tier,Yes,String,Free|Standard,Public
security.bastion_sku,Security,Standard,Standard,Standard,Azure Bastion SKU,Yes,String,Basic|Standard,Public
security.bastion_scale_units,Security,2,2,2,Bastion scale units for capacity,Yes,Integer,2-50,Public
monitoring.log_analytics_sku,Monitoring,PerGB2018,PerGB2018,PerGB2018,Log Analytics pricing tier,Yes,String,PerGB2018,Public
monitoring.log_retention_days,Monitoring,90,30,90,Log retention in days,Yes,Integer,30-730,Public
monitoring.log_daily_capacity_gb,Monitoring,500,100,500,Daily ingestion capacity in GB,Yes,Integer,100-5000,Public
monitoring.sentinel_enabled,Monitoring,true,true,true,Enable Azure Sentinel,Yes,Boolean,true|false,Public
monitoring.sentinel_retention_days,Monitoring,90,30,90,Sentinel log retention in days,Yes,Integer,30-730,Public
