#WIDTH: 45,18,50,50,50,50,8,12,30,14
#ALIGN: left,left,left,left,left,left,center,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level
solution.name,Project,Azure Sentinel SIEM,Azure Sentinel SIEM,Azure Sentinel SIEM,Solution display name,Yes,String,Max 50 characters,Public
solution.abbr,Project,sentinel,sentinel,sentinel,Solution abbreviation for resource naming,Yes,String,Max 10 characters,Public
solution.provider_name,Project,azure,azure,azure,Cloud provider name,Yes,String,aws|azure|gcp,Public
solution.category_name,Project,cyber-security,cyber-security,cyber-security,Solution category,Yes,String,Valid category,Public
azure.subscription_id,Project,[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],Azure subscription identifier,Yes,String,GUID format,Confidential
azure.tenant_id,Project,[TENANT_ID],[TENANT_ID],[TENANT_ID],Azure AD tenant identifier,Yes,String,GUID format,Confidential
azure.region,Project,eastus,eastus,westus2,Primary Azure region,Yes,String,Valid Azure region,Public
azure.dr_region,Project,westus2,westus2,eastus,DR region for failover,Yes,String,Valid Azure region,Public
ownership.cost_center,Project,CC-SEC-001,CC-SEC-001,CC-SEC-001,Cost center for billing,Yes,String,CC format,Public
ownership.owner_email,Project,security-team@company.com,dev-team@company.com,security-team@company.com,Team email for ownership,Yes,String,Valid email,Public
ownership.project_code,Project,PRJ-SIEM-2025,PRJ-SIEM-2025,PRJ-SIEM-2025,Project tracking code,Yes,String,PRJ format,Public
monitoring.log_analytics_sku,Monitoring,PerGB2018,PerGB2018,PerGB2018,Log Analytics pricing tier,Yes,String,PerGB2018,Public
monitoring.log_retention_days,Monitoring,90,30,90,Log retention in days,Yes,Integer,30-730,Public
monitoring.archive_retention_days,Monitoring,730,365,730,Archive retention in days (compliance),Yes,Integer,365-2555,Public
monitoring.daily_ingestion_cap_gb,Monitoring,500,5,500,Daily ingestion cap in GB,Yes,Integer,1-5000,Public
sentinel.tier,Sentinel,Standard,Standard,Standard,Azure Sentinel pricing tier,Yes,String,Free|Standard,Public
sentinel.connector_office365,Sentinel,true,true,true,Enable Office 365 data connector,Yes,Boolean,true|false,Public
sentinel.connector_azure_ad,Sentinel,true,true,true,Enable Azure AD data connector,Yes,Boolean,true|false,Public
sentinel.connector_azure_activity,Sentinel,true,true,true,Enable Azure Activity data connector,Yes,Boolean,true|false,Public
sentinel.connector_defender_cloud,Sentinel,true,false,true,Enable Defender for Cloud connector,Yes,Boolean,true|false,Public
sentinel.connector_defender_endpoint,Sentinel,true,false,true,Enable Defender for Endpoint connector,Yes,Boolean,true|false,Public
sentinel.connector_defender_identity,Sentinel,true,false,true,Enable Defender for Identity connector,Yes,Boolean,true|false,Public
sentinel.connector_defender_o365,Sentinel,true,false,true,Enable Defender for Office 365 connector,Yes,Boolean,true|false,Public
sentinel.connector_cef,Sentinel,true,false,true,Enable CEF/Syslog connector,Yes,Boolean,true|false,Public
sentinel.connector_dns,Sentinel,true,false,true,Enable DNS logs connector,Yes,Boolean,true|false,Public
analytics.rules_total_count,Analytics,50,15,50,Total number of analytics rules,Yes,Integer,10-200,Public
analytics.rules_builtin_count,Analytics,30,10,30,Microsoft built-in rules to enable,Yes,Integer,10-100,Public
analytics.rules_custom_count,Analytics,20,5,20,Custom organization rules,Yes,Integer,5-50,Public
analytics.ueba_enabled,Analytics,true,false,true,Enable User Entity Behavior Analytics,Yes,Boolean,true|false,Public
analytics.threat_intel_feeds,Analytics,10,3,10,Number of threat intelligence feeds,Yes,Integer,1-20,Public
automation.playbook_count,Automation,12,5,12,Number of SOAR playbooks,Yes,Integer,5-50,Public
automation.playbook_auto_enrichment,Automation,true,true,true,Enable auto-enrichment playbooks,Yes,Boolean,true|false,Public
automation.playbook_auto_containment,Automation,true,false,true,Enable auto-containment playbooks,Yes,Boolean,true|false,Public
automation.playbook_auto_ticketing,Automation,true,false,true,Enable auto-ticketing playbooks,Yes,Boolean,true|false,Public
security.keyvault_sku,Security,standard,standard,standard,Key Vault pricing tier,Yes,String,standard|premium,Public
security.soc_group_id,Security,[SOC_GROUP_ID],[SOC_GROUP_ID],[SOC_GROUP_ID],Azure AD group for SOC analysts,Yes,String,GUID format,Confidential
security.admin_group_id,Security,[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],Azure AD group for SOC admins,Yes,String,GUID format,Confidential
integration.servicenow_enabled,Integration,true,false,true,Enable ServiceNow integration,Yes,Boolean,true|false,Public
integration.teams_webhook_enabled,Integration,true,true,true,Enable Microsoft Teams notifications,Yes,Boolean,true|false,Public
operations.alert_email,Operations,soc-alerts@company.com,dev-alerts@company.com,dr-alerts@company.com,Email for critical security alerts,Yes,String,Valid email,Confidential
operations.mttd_target_minutes,Operations,15,15,15,Target mean time to detect in minutes,Yes,Integer,1-60,Public
operations.mttr_target_minutes,Operations,60,60,60,Target mean time to respond in minutes,Yes,Integer,15-240,Public
operations.false_positive_target_pct,Operations,50,50,50,Target false positive rate percentage,Yes,Integer,10-75,Public
