#WIDTH: 45,18,50,50,50,50,8,12,30,14
#ALIGN: left,left,left,left,left,left,center,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level
solution.name,Project,Azure DevOps Enterprise Platform,Azure DevOps Enterprise Platform,Azure DevOps Enterprise Platform,Solution display name,Yes,String,Max 50 characters,Public
solution.abbr,Project,devops,devops,devops,Solution abbreviation for resource naming,Yes,String,Max 10 characters,Public
solution.provider_name,Project,azure,azure,azure,Cloud provider name,Yes,String,aws|azure|gcp,Public
solution.category_name,Project,devops,devops,devops,Solution category,Yes,String,Valid category,Public
azure.subscription_id,Project,[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],Azure subscription identifier,Yes,String,GUID format,Confidential
azure.tenant_id,Project,[TENANT_ID],[TENANT_ID],[TENANT_ID],Azure AD tenant identifier,Yes,String,GUID format,Confidential
azure.region,Project,eastus,eastus,westus2,Primary Azure region,Yes,String,Valid Azure region,Public
azure.dr_region,Project,westus2,westus2,eastus,DR region for failover,Yes,String,Valid Azure region,Public
ownership.cost_center,Project,CC-DEV-001,CC-DEV-001,CC-DEV-001,Cost center for billing,Yes,String,CC format,Public
ownership.owner_email,Project,devops-team@company.com,dev-team@company.com,devops-team@company.com,Team email for ownership,Yes,String,Valid email,Public
ownership.project_code,Project,PRJ-DEVOPS-2025,PRJ-DEVOPS-2025,PRJ-DEVOPS-2025,Project tracking code,Yes,String,PRJ format,Public
network.vnet_cidr,Network,10.0.0.0/16,10.1.0.0/16,10.2.0.0/16,Virtual network CIDR block,Yes,String,Valid CIDR,Public
network.subnet_aks,Network,10.0.1.0/23,10.1.1.0/23,10.2.1.0/23,Subnet for AKS cluster,Yes,String,Valid CIDR,Public
network.subnet_agents,Network,10.0.3.0/24,10.1.3.0/24,10.2.3.0/24,Subnet for self-hosted agents,Yes,String,Valid CIDR,Public
network.enable_private_endpoints,Network,true,false,true,Enable private endpoints for services,Yes,Boolean,true|false,Public
platform.devops_org_name,Platform,contoso-enterprise-devops,contoso-test-devops,contoso-dr-devops,Azure DevOps organization name,Yes,String,Valid org name,Public
platform.devops_process_template,Platform,Agile,Agile,Agile,Azure DevOps process template,Yes,String,Agile|Scrum|CMMI|Basic,Public
platform.parallel_jobs_hosted,Platform,10,5,5,Microsoft-hosted parallel job count,Yes,Integer,1-100,Public
platform.parallel_jobs_self,Platform,5,2,2,Self-hosted parallel job count,Yes,Integer,1-50,Public
acr.name_suffix,ACR,001,001,001,Container Registry name suffix,Yes,String,Valid suffix,Public
acr.sku,ACR,Premium,Standard,Premium,Container Registry pricing tier,Yes,String,Basic|Standard|Premium,Public
acr.vulnerability_scan,ACR,true,false,true,Enable container vulnerability scanning,Yes,Boolean,true|false,Public
acr.geo_replication,ACR,true,false,true,Enable geo-replication,Yes,Boolean,true|false,Public
aks.node_count,AKS,5,3,3,Initial AKS node count,Yes,Integer,1-20,Public
aks.node_size,AKS,Standard_D4s_v3,Standard_D2s_v3,Standard_D4s_v3,AKS node VM size,Yes,String,Valid VM size,Public
aks.autoscale_min,AKS,3,1,2,Minimum nodes for autoscaling,Yes,Integer,1-10,Public
aks.autoscale_max,AKS,10,5,5,Maximum nodes for autoscaling,Yes,Integer,5-50,Public
aks.kubernetes_version,AKS,1.28,1.28,1.28,Kubernetes version,Yes,String,Valid K8s version,Public
security.keyvault_sku,Security,standard,standard,standard,Key Vault pricing tier,Yes,String,standard|premium,Public
security.admin_group_id,Security,[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],Azure AD group for administrators,Yes,String,GUID format,Confidential
security.user_group_id,Security,[USER_GROUP_ID],[USER_GROUP_ID],[USER_GROUP_ID],Azure AD group for users,Yes,String,GUID format,Confidential
monitoring.log_analytics_sku,Monitoring,PerGB2018,PerGB2018,PerGB2018,Log Analytics Workspace SKU,Yes,String,Free|PerNode|PerGB2018,Public
monitoring.log_retention_days,Monitoring,90,30,90,Log retention in days,Yes,Integer,30-730,Public
monitoring.enable_alerts,Monitoring,true,false,true,Enable monitoring alerts,Yes,Boolean,true|false,Public
monitoring.alert_email,Monitoring,ops-team@company.com,dev-team@company.com,ops-team@company.com,Email for critical alerts,Yes,String,Valid email,Confidential
monitoring.enable_app_insights,Monitoring,true,true,true,Enable Application Insights,Yes,Boolean,true|false,Public
integration.sonarcloud_org,Integration,[SONARCLOUD_ORG],[SONARCLOUD_ORG],[SONARCLOUD_ORG],SonarCloud organization key,No,String,Valid org key,Confidential
integration.teams_webhook_enabled,Integration,true,false,true,Enable Microsoft Teams notifications,Yes,Boolean,true|false,Public
integration.servicenow_enabled,Integration,true,false,true,Enable ServiceNow integration,Yes,Boolean,true|false,Public
backup.enabled,Backup,true,false,true,Enable backup services,Yes,Boolean,true|false,Public
backup.retention_days,Backup,30,7,30,Backup retention in days,Yes,Integer,7-365,Public
budget.enabled,Budget,true,true,true,Enable cost budgets,Yes,Boolean,true|false,Public
budget.monthly_amount,Budget,10000,3000,5000,Monthly budget in USD,Yes,Integer,100-100000,Public
budget.alert_thresholds,Budget,"[50,80,100]","[80,100]","[50,80,100]",Alert thresholds as percentages,Yes,List(Number),Valid percentages,Public
budget.notification_email,Budget,finance@company.com,dev-team@company.com,finance@company.com,Email for budget alerts,Yes,String,Valid email,Confidential
dr.enabled,DR,true,false,false,Enable disaster recovery,Yes,Boolean,true|false,Public
dr.replication_enabled,DR,true,false,false,Enable geo-replication,Yes,Boolean,true|false,Public
