Category,Question,Description,Priority,Expected Answer Type
Current Environment,How many users need remote desktop access?,Number of users requiring AVD access,High,Numeric (0-1000+)
Current Environment,What are the current remote access solutions?,Current solutions in place,High,Text (RDP/VPN/other)
Current Environment,What is the typical daily usage pattern?,When and how long users access desktops,High,Text (hours/week)
Current Environment,Are there existing file sharing requirements?,Current file storage and sharing needs,High,Text (Yes/No + description)
Current Environment,What is the current IT support capacity?,Support team size and experience,Medium,Text (FTE count)
Security & Compliance,What are your security requirements?,Compliance standards and security policies,High,Text (SOC2/HIPAA/PCI-DSS/etc)
Security & Compliance,Do you need session recording/monitoring?,Audit and compliance recording needs,Medium,Yes/No
Security & Compliance,What data classification levels exist?,Sensitivity of data accessed via AVD,High,Text (Public/Internal/Confidential/Restricted)
Security & Compliance,Are multi-factor authentication required?,MFA enforcement needs,High,Yes/No
User & Support,What applications need to be supported?,Line of business applications,High,Text (list of apps)
User & Support,Are there GPU/graphics requirements?,Need for specialized compute,Medium,Yes/No + description
User & Support,What screen resolutions are needed?,Display requirements for users,Medium,Text (1080p/4K/etc)
User & Support,What is your help desk capacity for new technology?,Support team readiness for AVD,Medium,1-5 scale
Infrastructure,What is your current Azure footprint?,Existing Azure subscriptions and resources,Medium,Yes/No + description
Infrastructure,Do you have hybrid cloud requirements?,On-premises integration needs,Medium,Yes/No + description
Infrastructure,What is your network bandwidth?,Expected network capacity and limits,Medium,Text (Mbps/current usage)
Infrastructure,Are there high-availability requirements?,Uptime SLA expectations,High,Text (99.5%/99.9%/etc)
Infrastructure,What is your backup/disaster recovery strategy?,Current backup and recovery practices,Medium,Text (description)
Migration,What is the timeline for implementation?,Desired go-live date,High,Date
Migration,Do you have a preferred implementation approach?,Phased or big-bang migration,Medium,Text (Phased/Parallel/Cutover)
Migration,Are there peak usage periods to avoid?,Blackout windows for deployment,Medium,Text (dates/times)
Budget,What is your total budget?,Available funding for this initiative,High,Numeric ($)
Budget,Are there existing commitments for cost efficiency?,Reserved instances or prepaid options,Medium,Yes/No
