Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Basic Details,What is the name of your Azure Virtual Desktop solution?,,,Internal project reference
BUS-002,Business Requirements,Basic Details,What is your company name?,,,Client identification
BUS-003,Business Requirements,Basic Details,Who is the primary stakeholder for this AVD project?,,,Main point of contact
BUS-004,Business Requirements,Basic Details,What is the stakeholder's role and decision-making authority?,,,Decision-making authority
BUS-005,Business Requirements,Basic Details,What is today's date?,,,Questionnaire completion date
BUS-006,Business Requirements,Current State,What are your primary drivers for implementing Azure Virtual Desktop?,"Common drivers: Hybrid workforce support, Desktop modernization, Cost optimization, Enhanced security, BYOD enablement, Disaster recovery",,Primary business driver for AVD
BUS-007,Business Requirements,Current State,What is your current desktop and application delivery model?,,,Current state assessment
BUS-008,Business Requirements,Current State,What user profiles do you need to support?,"Common types: Office workers, Knowledge workers, Call center agents, Medical professionals, Developers, Executive users, Contractors",,User classification
BUS-009,Business Requirements,Current State,How many users need to be migrated to AVD?,"Typical ranges: 50-100, 100-500, 500-1000, 1000+",,User count and scale
BUS-010,Business Requirements,Current State,What applications and workloads must run on AVD?,"Common applications: Microsoft 365, Line-of-business apps, Industry-specific software, Web applications, Development tools",,Application portfolio
BUS-011,Business Requirements,Objectives,What are your primary goals for implementing AVD?,"Common goals: Enable hybrid workforce, Reduce IT costs, Improve security posture, Modernize infrastructure, Simplify management, Enable remote access",,Business objectives
BUS-012,Business Requirements,Objectives,What specific security and compliance requirements must AVD meet?,,,Security and regulatory requirements
BUS-013,Business Requirements,Timeline,What is your expected timeline for AVD implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months",,Project timeline expectations
BUS-014,Business Requirements,Budget,What is your approved budget range for this AVD solution?,"Common ranges: $100K-300K, $300K-750K, $750K-2M, $2M+",,Budget constraints
BUS-015,Business Requirements,Success Metrics,How will you measure AVD success? (user adoption remote access quality cost reduction),,,KPI definition
TECH-001,Technical Requirements,Profiles,What user groups will be using AVD?,"User groups: Corporate workforce, Remote workers, Branch office users, Third-party contractors, Mobile users",,User segmentation
TECH-002,Technical Requirements,Profiles,What are the performance requirements for each user group?,"Performance needs: Basic (email and web), Standard (Office and LOB apps), High-performance (graphics rendering), Real-time (trading or design)",,Performance expectations
TECH-003,Technical Requirements,Device Access,What devices will users use to access AVD?,"Device types: Windows PCs, Mac computers, iOS devices, Android devices, Chromebooks, Thin clients, Browser-only",,Client device diversity
TECH-004,Technical Requirements,Bandwidth,What is the typical user bandwidth availability?,"Bandwidth availability: High speed (corporate LAN), Good (home broadband 100+ Mbps), Limited (4G/5G mobile), Variable (branch offices)",,Network capacity
TECH-005,Technical Requirements,Printing,What printing and peripheral requirements must AVD support?,"Printing needs: No printing required, Local printers only, Network printers, Specialized printing, Peripheral redirection",,Printing and device redirection
TECH-006,Technical Requirements,Portfolio,What is your total application portfolio size?,"Application count: 20-50 apps, 50-100 apps, 100-250 apps, 250+ apps",,Scope of application support
TECH-007,Technical Requirements,Compatibility,What percentage of applications are natively compatible with multi-session OS?,"Compatibility levels: 90%+, 70-90%, 50-70%, Less than 50%",,Application modernization assessment
TECH-008,Technical Requirements,Critical Apps,What are your mission-critical applications that must run on AVD?,,,Critical application identification
TECH-009,Technical Requirements,Dependencies,Do you have complex application dependencies or integration needs?,"Complexity: Simple standalone apps, Dependent applications, Complex LOB systems, Legacy mainframe integration",,Integration complexity
TECH-010,Technical Requirements,Deployment,How do you currently deploy and manage applications?,"Deployment methods: Manual installation, SCCM/Intune, Image-based, Cloud-native, Mix of methods",,Application delivery method
TECH-011,Technical Requirements,Network,What is your current network architecture?,,,Network topology
TECH-012,Technical Requirements,Network,What network connectivity exists between locations?,"Connectivity: All sites on same LAN, Connected via VPN, Hybrid cloud connected, Multiple regions",,Network connectivity
TECH-013,Technical Requirements,Azure Environment,What Azure services are you currently using?,"Azure services: Nothing, Azure AD only, Compute services, Multiple services, Enterprise-scale",,Current Azure footprint
TECH-014,Technical Requirements,Azure Environment,What Azure regions would you prefer for AVD deployment?,,,Data residency requirements
TECH-015,Technical Requirements,Hybrid Cloud,Do you need to integrate with on-premises infrastructure?,"Integration: Cloud-only, Minimal on-premises connectivity, Hybrid connectivity required, Strong on-premises tie-in",,Hybrid connectivity needs
TECH-016,Technical Requirements,Infrastructure,What current desktop infrastructure (physical or virtual) will be replaced?,"Infrastructure: Physical desktops, VDI environment, Hybrid setup, Multiple legacy systems",,Infrastructure replacement scope
SEC-001,Security & Compliance,Authentication,What authentication methods must AVD support?,"Authentication methods: Password only, Multi-factor authentication, Windows Hello, FIDO2, Smart cards, Single Sign-On",,Authentication requirements
SEC-002,Security & Compliance,Access Control,What conditional access policies must be enforced?,"Access policies: Location-based, Device compliance-based, Risk-based, Time-based, Application-specific",,Access control complexity
SEC-003,Security & Compliance,Data Protection,What data classification and protection must be applied?,"Data classification: Public only, Internal data, Confidential data, Highly sensitive (PII/PHI), Regulated data",,Data sensitivity
SEC-004,Security & Compliance,Encryption,What encryption standards must be applied?,"Encryption needs: Standard encryption, Enhanced encryption, FIPS 140-2, HIPAA compliance, PCI-DSS compliance",,Encryption requirements
SEC-005,Security & Compliance,Logging,What audit logging and compliance requirements apply?,"Logging needs: Basic activity logs, Detailed audit logs, Real-time threat detection, 24/7 monitoring, Regulatory compliance reporting",,Logging and compliance
TECH-017,Technical Requirements,Session Hosts,What VM SKU and sizing requirements do you have?,"VM sizes: D2s, D4s (4vCPU 16GB), D8s (8vCPU 32GB), High-memory (Ev5 series), GPU-enabled (NV series)",,VM sizing requirements
TECH-018,Technical Requirements,Session Hosts,What is your preferred deployment model for session hosts?,"Deployment: Shared multi-session (D4s), Personal dedicated (D2s-D4s), Pooled with auto-scaling, Fixed session count",,Session host strategy
TECH-019,Technical Requirements,Scaling,What are your peak and average concurrent user requirements?,"User scenarios: 25 peak concurrent, 50-100 peak, 100-500 peak, 500+ peak simultaneous users",,Scaling requirements
TECH-020,Technical Requirements,Profile Management,What profile and data persistence strategy do you need?,"Strategy: Stateless (no persistent profiles), FSLogix containers, User profiles on network storage, Hybrid approach",,Profile management approach
TECH-021,Technical Requirements,Disaster Recovery,What disaster recovery and business continuity requirements exist?,"DR needs: No specific requirements, RPO 24 hours, RPO < 4 hours, Near real-time replication",,DR/BC requirements
OPS-001,Operations & Support,Monitoring,What monitoring and alerting capabilities do you require?,"Monitoring: Basic availability, Performance metrics, User experience metrics, Proactive anomaly detection",,Monitoring requirements
OPS-002,Operations & Support,Support,What operational support model do you prefer?,"Support models: Self-service, 24/5 support, 24/7 support, Dedicated support team",,Support model preference
OPS-003,Operations & Support,Licensing,Do you have existing Microsoft licensing agreements?,"Licensing: Volume license agreement, Enterprise agreement, No Microsoft licensing, Mixed licensing",,Licensing situation
OPS-004,Operations & Support,Training,What training and change management support do you need?,"Training needs: Online self-service, Instructor-led training, Ongoing coaching, Change management support",,Training requirements
BUS-016,Business Requirements,Resources,Who will be the technical lead for this AVD project?,,,Technical ownership
BUS-017,Business Requirements,Resources,What internal resources are available for AVD implementation?,,,Team availability
BUS-018,Business Requirements,Resources,What is your team's experience with Azure and AVD?,"Experience levels: No experience, Basic knowledge, Intermediate, Advanced, Expert",,Training needs assessment
BUS-019,Business Requirements,Change Management,How will you handle the transition from existing desktops to AVD?,,,Change management approach
BUS-020,Business Requirements,Change Management,What change management and user communication plan exists?,,,Stakeholder management
BUS-021,Business Requirements,Governance,What approval processes are required for infrastructure changes?,,,Change approval process
RISK-001,Risk & Constraints,Implementation,What are your main concerns about implementing AVD?,,,Primary implementation concerns
RISK-002,Risk & Constraints,Implementation,What could cause this AVD project to fail?,,,Failure mode analysis
RISK-003,Risk & Constraints,User Experience,What concerns do you have about user experience and performance?,,,UX/performance risks
RISK-004,Risk & Constraints,Migration,What migration risks worry you most?,,,Migration risk factors
BUS-022,Business Requirements,Vision,What is your long-term vision for virtual desktops?,,,Future roadmap
BUS-023,Business Requirements,Growth,How do you expect user base and application needs to evolve?,,,Scalability planning
