#WIDTH:  45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN:  left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,cisco-dna-center-network-analytics,cisco-dna-center-network-analytics,cisco-dna-center-network-analytics,Solution name for resource naming,Yes,String,Valid string value,Public,Development,,DNA Center Analytics solution,2025-12-03
solution.abbr,Project,dnac,dnac,dnac,Solution abbreviation (3-4 chars),Yes,String,3-4 alphanumeric,Public,Development,,Used in resource naming prefix,2025-12-03
solution.provider_name,Project,cisco,cisco,cisco,Provider organization name,Yes,String,Valid string value,Public,Development,,Cisco provider,2025-12-03
solution.category_name,Project,ai,ai,ai,Solution category,Yes,String,Valid string value,Public,Development,,AI category,2025-12-03
dnac.primary_ip,DNA Center,10.100.1.10,10.101.1.10,10.102.1.10,Primary DNA Center appliance management IP,Yes,String,Valid IPv4 address,Confidential,Network Team,Network connectivity,Management VLAN access required,2025-12-03
dnac.secondary_ip,DNA Center,10.100.1.11,10.101.1.11,10.102.1.11,Secondary DNA Center appliance management IP (HA),Yes,String,Valid IPv4 address,Confidential,Network Team,Network connectivity,HA pair for redundancy,2025-12-03
dnac.vip,DNA Center,10.100.1.12,10.101.1.12,10.102.1.12,DNA Center Virtual IP for HA failover,Yes,String,Valid IPv4 address,Confidential,Network Team,HA configuration,Clients connect to VIP,2025-12-03
dnac.cluster_name,DNA Center,dnac-cluster-prod,dnac-cluster-test,dnac-cluster-dr,DNA Center cluster identifier,Yes,String,Alphanumeric max 32 chars,Public,Network Team,,Used in logging and alerts,2025-12-03
dnac.fqdn,DNA Center,dnac.client.local,dnac-test.client.local,dnac-dr.client.local,DNA Center fully qualified domain name,Yes,String,Valid FQDN format,Public,Network Team,DNS configuration,Used for SSL certificate,2025-12-03
dnac.version,DNA Center,2.3.5.x,2.3.5.x,2.3.5.x,DNA Center software version,Yes,String,Semantic versioning,Public,Network Team,Cisco support,Minimum for AI Analytics features,2025-12-03
dnac.admin_user,DNA Center,admin,admin,admin,DNA Center administrative username,Yes,String,Valid username format,Confidential,Security Team,AD integration,Local admin for initial setup,2025-12-03
dnac.admin_password,DNA Center,[vault:dnac_admin_password_prod],[vault:dnac_admin_password_test],[vault:dnac_admin_password_dr],DNA Center admin password,Yes,String,Min 12 characters,Secret,Security Team,,Stored in Ansible Vault,2025-12-03
dnac.ssl_verify,DNA Center,true,false,true,Verify SSL certificates for API calls,Yes,Boolean,true|false,Public,Security Team,Valid certificates,Disable only for testing,2025-12-03
dnac.api_timeout,DNA Center,30,30,30,API request timeout in seconds,Yes,Integer,10-300,Public,Network Team,,Increase for large operations,2025-12-03
licensing.tier,Licensing,DNA Advantage,DNA Essentials,DNA Advantage,DNA Center license tier,Yes,String,Essentials|Advantage|Premier,Public,Network Team,Cisco Smart License,Required for AI Analytics,2025-12-03
licensing.device_count,Licensing,200,50,200,Number of licensed network devices,Yes,Integer,1-500,Public,Network Team,Appliance capacity,Scope per SOW,2025-12-03
licensing.ai_analytics_enabled,Licensing,true,false,true,Enable AI Network Analytics subscription,Yes,Boolean,true|false,Public,Network Team,DNA Advantage license,Required for predictive insights,2025-12-03
licensing.assurance_enabled,Licensing,true,true,true,Enable Assurance features,Yes,Boolean,true|false,Public,Network Team,DNA Advantage license,Health monitoring,2025-12-03
licensing.sdaccess_enabled,Licensing,false,false,false,Enable SD-Access features,No,Boolean,true|false,Public,Network Team,Additional licensing,Campus fabric,2025-12-03
integrations.ad.server_primary,Integrations,10.100.2.10,10.101.2.10,10.102.2.10,Primary Active Directory server IP,Yes,String,Valid IPv4 address,Confidential,Security Team,Network connectivity,LDAP authentication,2025-12-03
integrations.ad.server_secondary,Integrations,10.100.2.11,10.101.2.11,10.102.2.11,Secondary Active Directory server IP,No,String,Valid IPv4 address,Confidential,Security Team,Network connectivity,LDAP failover,2025-12-03
integrations.ad.domain,Integrations,client.local,test.local,client.local,Active Directory domain name,Yes,String,Valid domain format,Confidential,Security Team,,For user authentication,2025-12-03
integrations.ad.base_dn,Integrations,"DC=client,DC=local","DC=test,DC=local","DC=client,DC=local",LDAP Base Distinguished Name,Yes,String,Valid DN format,Confidential,Security Team,integrations.ad.domain,User search base,2025-12-03
integrations.ad.bind_user,Integrations,svc_dnac_ldap,svc_dnac_ldap_test,svc_dnac_ldap_dr,LDAP service account username,Yes,String,Valid username,Confidential,Security Team,AD account created,Read-only access to AD,2025-12-03
integrations.ad.bind_password,Integrations,[vault:ad_bind_password_prod],[vault:ad_bind_password_test],[vault:ad_bind_password_dr],LDAP service account password,Yes,String,Min 12 characters,Secret,Security Team,integrations.ad.bind_user,Stored in Ansible Vault,2025-12-03
integrations.ad.group_admin,Integrations,DNA-Center-Admins,DNA-Center-Admins-Test,DNA-Center-Admins,AD group for DNA Center administrators,Yes,String,Valid AD group name,Public,Security Team,AD group created,Full admin access,2025-12-03
integrations.ad.group_viewer,Integrations,DNA-Center-Viewers,DNA-Center-Viewers-Test,DNA-Center-Viewers,AD group for DNA Center read-only users,Yes,String,Valid AD group name,Public,Security Team,AD group created,Dashboard view only,2025-12-03
integrations.servicenow.instance,Integrations,[instance].service-now.com,[instance]-test.service-now.com,[instance].service-now.com,ServiceNow instance URL,Yes,String,Valid ServiceNow URL,Confidential,Integration Team,ServiceNow license,ITSM integration target,2025-12-03
integrations.servicenow.user,Integrations,svc_dnac_snow,svc_dnac_snow_test,svc_dnac_snow,ServiceNow integration service account,Yes,String,Valid username,Confidential,Integration Team,ServiceNow account,API access required,2025-12-03
integrations.servicenow.password,Integrations,[vault:servicenow_password_prod],[vault:servicenow_password_test],[vault:servicenow_password_dr],ServiceNow service account password,Yes,String,Min 12 characters,Secret,Integration Team,integrations.servicenow.user,Stored in Ansible Vault,2025-12-03
integrations.servicenow.table,Integrations,incident,incident,incident,ServiceNow table for incident creation,Yes,String,Valid table name,Public,Integration Team,,Auto ticket creation,2025-12-03
integrations.servicenow.priority_mapping,Integrations,"Critical:1,High:2,Medium:3,Low:4","Critical:1,High:2,Medium:3,Low:4","Critical:1,High:2,Medium:3,Low:4",DNA Center to ServiceNow priority mapping,Yes,String,Comma-separated mapping,Public,Integration Team,,Severity translation,2025-12-03
integrations.netbox.url,Integrations,https://netbox.client.local,https://netbox-test.client.local,https://netbox.client.local,NetBox IPAM instance URL,Yes,String,Valid HTTPS URL,Confidential,Integration Team,NetBox instance,IPAM integration target,2025-12-03
integrations.netbox.api_token,Integrations,[vault:netbox_api_token_prod],[vault:netbox_api_token_test],[vault:netbox_api_token_dr],NetBox API authentication token,Yes,String,Valid API token,Secret,Integration Team,NetBox account,Stored in Ansible Vault,2025-12-03
integrations.netbox.sync_interval,Integrations,15,30,15,NetBox sync interval in minutes,Yes,Integer,5-60,Public,Integration Team,,Inventory synchronization,2025-12-03
integrations.netbox.site_prefix,Integrations,DNAC-,DNAC-TEST-,DNAC-DR-,Prefix for sites synced from DNA Center,Yes,String,Alphanumeric,Public,Integration Team,,Avoid naming conflicts,2025-12-03
devices.cli_username,Device Access,network_admin,network_admin_test,network_admin,CLI username for device access,Yes,String,Valid username,Confidential,Network Team,Device accounts,NETCONF/SSH access,2025-12-03
devices.cli_password,Device Access,[vault:device_cli_password_prod],[vault:device_cli_password_test],[vault:device_cli_password_dr],CLI password for device access,Yes,String,Min 12 characters,Secret,Network Team,devices.cli_username,Stored in Ansible Vault,2025-12-03
devices.enable_secret,Device Access,[vault:device_enable_secret_prod],[vault:device_enable_secret_test],[vault:device_enable_secret_dr],Device enable/privilege password,Yes,String,Min 12 characters,Secret,Network Team,Device config,Stored in Ansible Vault,2025-12-03
