Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your Network Analytics solution project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this DNA Center project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What network management challenges are you trying to solve?,"Common challenges: Manual troubleshooting time, Lack of visibility, Reactive issue response, Configuration errors, Compliance tracking, Application performance issues","",Primary business driver for DNA Center investment
BUS-004,Business Requirements,Current State,What is your current network management approach?,"Describe tools (Cisco Prime, manual CLI, SNMP), workflows, and pain points","",Current state baseline assessment
BUS-005,Business Requirements,Objectives,What are your primary goals for network analytics and automation?,"Common goals: Reduce MTTR, Proactive monitoring, Automated provisioning, Application visibility, Compliance automation, Predictive maintenance","",Business objectives and expected outcomes
BUS-006,Business Requirements,Success Criteria,How will you measure DNA Center success?,"Define KPIs: troubleshooting time reduction %, uptime improvement, automation coverage, issue prediction accuracy","",Success metrics for project evaluation
BUS-007,Business Requirements,Timeline,What is your expected timeline for DNA Center implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-008,Business Requirements,Budget,What is your approved budget range for this network analytics solution?,"Common ranges: $50K-250K, $250K-500K, $500K-1M, $1M+. Include hardware, software, services","",Budget constraints for solution sizing
BUS-009,Business Requirements,Future Vision,What is your long-term vision for network automation and analytics?,"Consider expansion to SD-Access, additional sites, advanced AI/ML capabilities","",Future roadmap and scalability planning
BUS-010,Business Requirements,Growth Projections,How do you expect network device count to change over 3 years?,"Provide current count and projected annual growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Network Infrastructure,How many network devices do you need to manage?,"Typical ranges: 50-100, 100-250, 250-500, 500+","",Device count drives DNA Center sizing and licensing
TECH-002,Technical Requirements,Device Types,What Cisco device types are in your network?,"Device types: Catalyst 9K switches, Catalyst 3K/4K switches, ISR/ASR routers, Nexus switches, Catalyst/Meraki wireless APs, Firepower NGFW","",Device compatibility and feature support
TECH-003,Technical Requirements,Software Versions,What IOS/IOS-XE versions are your devices running?,"List primary IOS-XE/IOS versions; DNA Center requires compatible versions","",Version compatibility and upgrade requirements
TECH-004,Technical Requirements,Network Topology,What is your network topology?,"Topology types: Campus (core/distribution/access), Branch offices, Data center, Multi-site WAN, Hybrid cloud connectivity","",Architecture design and complexity assessment
TECH-005,Technical Requirements,Site Distribution,How many sites/locations are in your network?,"Specify: number of sites, geographic distribution, site sizes","",Multi-site architecture and WAN considerations
TECH-006,Technical Requirements,VLANs and Segmentation,How many VLANs and network segments do you manage?,"Specify: total VLANs, security zones, multi-tenancy requirements","",Network complexity and policy requirements
TECH-007,Technical Requirements,Management Tools,What network management tools do you currently use?,"Tools: Cisco Prime Infrastructure, SolarWinds, PRTG, Manual CLI, Basic SNMP, Other","",Tool migration and integration requirements
TECH-008,Technical Requirements,Monitoring Scope,What network metrics do you currently monitor?,"Metrics: Device health, Interface utilization, Application performance, User experience, Security posture, Compliance status","",Monitoring coverage and gap analysis
TECH-009,Technical Requirements,Applications,What critical applications need performance monitoring?,"Applications: Office 365, Webex/Teams, SAP/ERP, VoIP, Video conferencing, Database apps, Custom applications","",Application experience monitoring requirements
TECH-010,Technical Requirements,SD-Access Interest,Are you interested in Software Defined Access (SD-Access)?,"SD-Access benefits: Zero-touch provisioning, Policy-based segmentation, Simplified operations, Automated fabric deployment","",SD-Access adoption and timeline
TECH-011,Technical Requirements,Network Automation,What network automation capabilities do you need?,"Automation use cases: Config templates, Zero-touch provisioning, Automated compliance checks, Change workflows, Batch updates","",Automation scope and requirements
TECH-012,Technical Requirements,Analytics Features,What AI/ML analytics capabilities are most valuable?,"Features: Predictive failure detection, Root cause analysis, Capacity planning, Anomaly detection, Path trace visualization, Peer comparison","",AI/ML analytics priorities
TECH-013,Technical Requirements,Assurance Requirements,What network assurance and visibility do you need?,"Assurance needs: Real-time health monitoring, Issue correlation, Remediation workflows, Historical trending, SLA tracking","",Network assurance scope and depth
TECH-014,Technical Requirements,Performance Targets,What are your network performance targets?,"Targets: Uptime SLA (99%, 99.5%, 99.9%, 99.99%), Max troubleshooting time, Change window duration","",Performance SLA and operational targets
TECH-015,Technical Requirements,Integration,What systems need to integrate with DNA Center?,"Integration targets: ITSM (ServiceNow, Jira), IPAM (Infoblox, NetBox), SIEM, Monitoring tools, CMDBs, Orchestration platforms","",Integration architecture and APIs
TECH-016,Technical Requirements,API Requirements,Do you need DNA Center API integration for automation?,"API use cases: Automated provisioning, Custom reporting, Orchestration workflows, Third-party tool integration","",API integration and development requirements
SEC-001,Security & Compliance,Network Security,What network security controls are in use?,"Controls: Cisco ISE (802.1X), TrustSec, MACsec, Access control lists, Firepower NGFW, Umbrella DNS security","",Security posture and integration points
SEC-002,Security & Compliance,Authentication,What authentication methods are used for network access?,"Methods: 802.1X (ISE), MAC authentication bypass, Guest portals, Certificate-based, RADIUS/TACACS+","",AAA architecture and ISE integration
SEC-003,Security & Compliance,Compliance Standards,What compliance standards must the network meet?,"Standards: PCI DSS, HIPAA, SOC 2, ISO 27001, NIST, Federal regulations, Industry-specific","",Compliance controls and audit requirements
SEC-004,Security & Compliance,Audit Logging,What audit and logging requirements apply to network changes?,"Requirements: Change tracking, Config backup, Approval workflows, Audit trail retention, Compliance reporting","",Audit trail and change management controls
SEC-005,Security & Compliance,Access Control,What access control requirements apply to DNA Center?,"Requirements: RBAC, SSO (SAML/OIDC), MFA, Certificate-based auth, Privileged access management","",Identity and access management for DNA Center
SEC-006,Security & Compliance,Segmentation,What network segmentation requirements do you have?,"Segmentation needs: Guest isolation, IoT separation, OT/IPS networks, Regulatory zones, Multi-tenancy","",Micro-segmentation and policy requirements
