Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
HYBRID_SOLUTION_NAME,Application,All,Cisco Hybrid Infrastructure,Cisco hybrid cloud solution identifier,Yes,String,Max 50 characters,Public,Infrastructure,None,Used in monitoring and SNMP community,[DATE]
HYBRID_VERSION,Application,All,2.1.0,Current hybrid infrastructure version,Yes,String,Semantic versioning format,Public,Infrastructure,None,Aligned with Cisco release cycles,[DATE]
CISCO_INTERSIGHT_ENDPOINT,Cisco Management,All,intersight.com,Cisco Intersight cloud management endpoint,Yes,String,Valid FQDN,Confidential,Cisco Team,Internet connectivity,Primary management interface,[DATE]
CISCO_INTERSIGHT_API_KEY,Cisco Management,All,[intersight-api-key],Intersight API authentication key,Yes,String,Valid API key format,Secret,Cisco Team,Account creation,Generated from Intersight portal,[DATE]
CISCO_INTERSIGHT_SECRET,Cisco Management,All,[intersight-secret],Intersight API secret key,Yes,String,Base64 encoded secret,Secret,Cisco Team,CISCO_INTERSIGHT_API_KEY,Store in secure vault,[DATE]
UCS_DOMAIN_NAME,UCS Infrastructure,All,[ucs-domain],UCS domain identifier,Yes,String,Valid domain name,Confidential,UCS Team,UCS deployment,Central UCS management,[DATE]
UCS_BLADE_CHASSIS_COUNT,UCS Infrastructure,All,4,Number of UCS blade chassis,Yes,Integer,1-20,Public,UCS Team,Data center capacity,Plan for future growth,[DATE]
UCS_BLADE_MODEL,UCS Infrastructure,All,B200 M6,UCS blade server model,Yes,String,Valid Cisco model,Public,UCS Team,Hardware procurement,Latest generation blades,[DATE]
UCS_FABRIC_INTERCONNECT_MODEL,UCS Infrastructure,All,6454,UCS Fabric Interconnect model,Yes,String,Valid FI model,Public,UCS Team,Network capacity,40G/100G capable,[DATE]
UCS_FI_CLUSTER_MODE,UCS Infrastructure,All,cluster,Fabric Interconnect clustering mode,Yes,String,standalone|cluster,Public,UCS Team,High availability,Always use cluster for HA,[DATE]
HYPERFLEX_CLUSTER_COUNT,HyperFlex,All,2,Number of HyperFlex clusters,Yes,Integer,1-10,Public,HyperFlex Team,Workload distribution,Plan cluster sizing,[DATE]
HYPERFLEX_NODE_COUNT,HyperFlex,All,4,Nodes per HyperFlex cluster,Yes,Integer,3-8,Public,HyperFlex Team,HYPERFLEX_CLUSTER_COUNT,Minimum 3 for cluster,[DATE]
HYPERFLEX_MODEL,HyperFlex,All,HX240c M6,HyperFlex node model,Yes,String,Valid HX model,Public,HyperFlex Team,Performance requirements,Latest M6 generation,[DATE]
HYPERFLEX_STORAGE_CAPACITY_TB,HyperFlex,All,48,Raw storage capacity per node in TB,Yes,Integer,10-100,Public,HyperFlex Team,Storage planning,Include growth factor,[DATE]
HYPERFLEX_REPLICATION_FACTOR,HyperFlex,All,3,Data replication factor,Yes,Integer,2-3,Public,HyperFlex Team,Data protection,3 for production workloads,[DATE]
