Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your HyperFlex HCI project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this infrastructure modernization?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What challenges are driving the move to hyperconverged infrastructure?,"Common challenges: Aging hardware, High storage costs, Complex management, Slow VM provisioning, Data center space constraints, High operational costs","",Primary business driver for HCI investment
BUS-004,Business Requirements,Current State,What is your current compute and storage infrastructure?,"Describe: server models, SAN/NAS storage, virtualization platform, total capacity, pain points","",Current state baseline assessment
BUS-005,Business Requirements,Objectives,What are your primary goals for HCI implementation?,"Common goals: Simplify operations, Reduce TCO, Faster VM deployment, Hybrid cloud readiness, Consolidate vendors, Improve performance","",Business objectives and expected outcomes
BUS-006,Business Requirements,Success Criteria,How will you measure HCI success?,"Define KPIs: TCO reduction %, VM provisioning time, operational efficiency, performance improvement, space savings","",Success metrics for project evaluation
BUS-007,Business Requirements,Timeline,What is your expected timeline for HCI deployment?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-008,Business Requirements,Budget,What is your approved budget range for this HCI solution?,"Common ranges: $250K-500K, $500K-1M, $1M-2M, $2M+. Include hardware, software, services","",Budget constraints for solution sizing
BUS-009,Business Requirements,Future Vision,What is your long-term vision for infrastructure modernization?,"Consider: hybrid cloud adoption, container platforms, multi-cloud strategy, edge computing","",Future roadmap and scalability planning
BUS-010,Business Requirements,Growth Projections,How do you expect VM count and storage to grow over 3 years?,"Provide current counts and projected annual growth rates","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Compute Requirements,How many VMs do you currently run?,"Typical ranges: 50-100, 100-200, 200-400, 400-800, 800+","",VM count drives cluster sizing
TECH-002,Technical Requirements,Compute Growth,What is your expected VM growth over 3 years?,"Specify: current VM count, projected annual growth rate (%)","",Expansion requirements and headroom planning
TECH-003,Technical Requirements,VM Profiles,What are your typical VM resource profiles?,"Profiles: Small (2 vCPU 8GB), Medium (4 vCPU 16GB), Large (8 vCPU 32GB), Database (16+ vCPU 64+ GB)","",Workload sizing and resource planning
TECH-004,Technical Requirements,Performance Tier,What are your performance requirements?,"Performance: Standard (5K IOPS), High (15K IOPS), Extreme (50K+ IOPS all-flash NVMe)","",Storage tier selection and cost optimization
TECH-005,Technical Requirements,Storage Capacity,What is your current storage capacity requirement?,"Specify: total capacity (TB), usable capacity, growth projection","",Storage sizing before deduplication/compression
TECH-006,Technical Requirements,Storage Growth,What is your expected storage growth over 3 years?,"Specify: current capacity (TB), projected annual growth rate (%)","",Expansion planning and capacity headroom
TECH-007,Technical Requirements,Deduplication Ratio,What data deduplication ratio do you expect?,"Typical ratios: 1.5:1 (databases), 2:1 (VDI), 3:1 (file servers), 4:1 (backups)","",Usable capacity calculation after dedup/compression
