#WIDTH:  45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN:  left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,cisco-ise-secure-access,cisco-ise-secure-access,cisco-ise-secure-access,Solution name for resource naming,Yes,String,Valid string value,Public,Development,,ISE Secure Access solution,2025-12-01
solution.abbr,Project,ise,ise,ise,Solution abbreviation (3-4 chars),Yes,String,3-4 alphanumeric,Public,Development,,Used in resource naming prefix,2025-12-01
solution.provider_name,Project,cisco,cisco,cisco,Provider organization name,Yes,String,Valid string value,Public,Development,,Cisco provider,2025-12-01
solution.category_name,Project,cyber-security,cyber-security,cyber-security,Solution category,Yes,String,Valid string value,Public,Development,,Cyber Security category,2025-12-01
duo.api_hostname,Cisco Duo,api-prod.duosecurity.com,api-test.duosecurity.com,api-prod.duosecurity.com,Duo API hostname for authentication,Yes,String,Valid Duo API hostname,Confidential,Security Team,Duo account,From Duo Admin Panel,2025-12-01
duo.integration_key,Cisco Duo,[vault:duo_integration_key_prod],[vault:duo_integration_key_test],[vault:duo_integration_key_dr],Duo application integration key,Yes,String,Valid integration key format,Secret,Security Team,duo.api_hostname,Per application type,2025-12-01
duo.secret_key,Cisco Duo,[vault:duo_secret_key_prod],[vault:duo_secret_key_test],[vault:duo_secret_key_dr],Duo application secret key,Yes,String,Valid secret key format,Secret,Security Team,duo.integration_key,Stored in Ansible Vault,2025-12-01
duo.admin_hostname,Cisco Duo,admin-prod.duosecurity.com,admin-test.duosecurity.com,admin-prod.duosecurity.com,Duo admin API hostname,Yes,String,Valid admin API hostname,Confidential,Security Team,Duo account,For user management,2025-12-01
duo.enrollment_method,Cisco Duo,self-service,self-service,self-service,User enrollment method,Yes,String,self-service|admin-initiated,Public,Security Team,,Self-service recommended,2025-12-01
duo.policy_default,Cisco Duo,adaptive,allow,adaptive,Default authentication policy,Yes,String,allow|deny|adaptive,Public,Security Team,,Risk-based authentication,2025-12-01
