Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your Secure Access / NAC project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this security initiative?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What security challenges are you trying to solve with NAC?,"Common challenges: Unauthorized device access, Rogue access points, BYOD security, Guest WiFi security, Compliance requirements, Lateral movement threats","",Primary business driver for NAC investment
BUS-004,Business Requirements,Current State,What is your current network access control approach?,"Describe: MAC filtering, Port security, Pre-shared keys (PSK), VPN only, No access control, Other","",Current state baseline assessment
BUS-005,Business Requirements,Objectives,What are your primary goals for implementing NAC?,"Common goals: Prevent unauthorized access, Enable secure BYOD, Automate guest WiFi, Network segmentation, Compliance (PCI/HIPAA), Device visibility","",Business objectives and expected outcomes
BUS-006,Business Requirements,Success Criteria,How will you measure NAC success?,"Define KPIs: Unauthorized access incidents, Guest helpdesk tickets reduced, Compliance audit score, Time to onboard BYOD devices","",Success metrics for project evaluation
BUS-007,Business Requirements,Timeline,What is your expected timeline for NAC implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-008,Business Requirements,Budget,What is your approved budget range for this NAC solution?,"Common ranges: $100K-250K, $250K-500K, $500K-1M. Include hardware, software, services","",Budget constraints for solution sizing
BUS-009,Business Requirements,Compliance,What compliance standards drive NAC requirements?,"Standards: PCI DSS, HIPAA, NIST 800-53, ISO 27001, CMMC, Industry-specific","",Compliance controls and audit requirements
BUS-010,Business Requirements,Security Incidents,Have you experienced unauthorized access or security incidents?,"Incidents: Rogue devices, Unauthorized wireless, Data breaches, Malware lateral movement, Shadow IT","",Security posture and risk assessment
TECH-001,Technical Requirements,User Count,How many concurrent users need network access?,"Typical ranges: 500, 1000, 3000, 5000, 10000+","",User count drives ISE licensing
TECH-002,Technical Requirements,Device Count,How many network endpoints need authentication?,"Count all devices: Computers, Smartphones, Tablets, Printers, IoT devices, IP cameras, Other","",Total endpoint count for licensing
TECH-003,Technical Requirements,Device Types,What types of devices access the network?,"Device types: Corporate laptops, BYOD smartphones, Tablets, Printers, IoT sensors, IP cameras, Medical devices, Guest devices","",Device profiling and policy requirements
