# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,Primary Features/Capabilities,ISE for 1000 users 2000 devices,ISE for 1000 users 2000 devices,ISE for 3000 users 5000 devices,ISE for 10000+ users 15000+ devices,Network access control scope,,,,
Solution Scope,Customization Level,Standard ISE deployment,Standard 802.1X deployment,Custom policies and portals,Extensive custom integrations and workflows,Configuration vs customization,,,,
Integration,External System Integrations,2 systems (AD + switches),2 systems (AD + network),4 systems (AD ITSM switches WLC),6+ systems including MDM and SIEM,Active Directory and network integration,,,,
Integration,Data Sources,User identity only,User identity,Identity + device posture + MDM,Identity + posture + MDM + threat feeds,Authentication and compliance data,,,,
User Base,Total Users,1000 employees and guests,1000 users,3000 users and guests,10000+ users,Concurrent authenticated users,,,,
User Base,User Roles,2 roles (employee + guest),2 roles,4 roles (employee contractor guest IoT),6+ roles with complex segmentation,TrustSec security groups,,,,
Data Volume,Data Processing Volume,2000 endpoint authentications,2000 endpoints,5000 endpoints,15000+ endpoints,Network access endpoints,,,,
Data Volume,Data Storage Requirements,100 GB (90-day logs),100 GB,500 GB (1-year logs),2+ TB (multi-year logs),Authentication and authorization logs,,,,
Technical Environment,Deployment Regions,Single site,Single site,2 sites with HA,Multi-site distributed deployment,ISE node distribution,,,,
Technical Environment,Availability Requirements,Standard (99.5%),Standard (99.5%),High availability (99.9%),Mission critical (99.95%+),ISE uptime SLA,,,,
Technical Environment,Infrastructure Complexity,Basic campus network,Basic campus,Campus + branch + wireless,Complex multi-domain fabric,Network infrastructure complexity,,,,
Security & Compliance,Security Requirements,Basic 802.1X authentication,Basic 802.1X,TrustSec + posture + BYOD,Advanced TrustSec + threat integration,Security architecture and features,,,,
Security & Compliance,Compliance Frameworks,Basic logging,Basic logging,PCI DSS or HIPAA,Multiple regulatory frameworks,Compliance automation requirements,,,,
Performance,Performance Requirements,Standard authentication speed,Standard speed,Fast authentication + profiling,Optimized high-throughput,Authentication performance targets,,,,
Environment,Deployment Environments,Production only,Production only,Lab + production,Lab + staging + production,Testing and validation environments,,,,
# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Network Assessment, Security Requirements, Integration Analysis)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (Policy Design, Architecture Design, Migration Planning)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (ISE Deployment, Policy Configuration, Integration Setup)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Lab Testing, Pilot Validation, Failover Testing)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Rollout, Policy Enforcement, Go-Live Support)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, Helpdesk Training, Documentation)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)",,,,,,,
Management,MANAGEMENT_MX,0.25,"Project management and technical leadership (25% of total engineering effort)",,,,,,,
# LEVEL OF EFFORT
#WIDTH: 14,30,40,18,10,12,18,14,12,40
#ALIGN: left,left,left,left,right,right,left,left,left,left
Phase,Work Package,Task Description,Resource Type,Estimated Hours,Rate,Cost Estimate,Dependencies,Risk Level,Notes
Discovery,Network Assessment,Assess network infrastructure for 802.1X readiness,"=ROUND($G$9*40,0)",40,225,"=TEXT(E17*F17,""$#,##0"")",,Medium,Switches WLCs and 802.1X compatibility,,
Discovery,Security Requirements,Gather access control and segmentation requirements,"=ROUND($G$9*32,0)",32,200,"=TEXT(E18*F18,""$#,##0"")",,Medium,Policy framework and TrustSec design,,
Discovery,Active Directory Analysis,Analyze AD structure and identity sources,"=ROUND($G$9*24,0)",24,200,"=TEXT(E19*F19,""$#,##0"")",,Medium,AD integration and authentication,,
Discovery,BYOD and Guest Requirements,Define BYOD and guest access requirements,"=ROUND($G$9*24,0)",24,175,"=TEXT(E20*F20,""$#,##0"")",,Medium,Self-service portals and workflows,,
Planning,ISE Architecture,Design ISE deployment architecture (2-node HA),"=ROUND($G$10*48,0)",48,225,"=TEXT(E21*F21,""$#,##0"")",Assessment,Medium,Primary and secondary ISE nodes,,
Planning,Access Policy Framework,Design authentication authorization and segmentation policies,"=ROUND($G$10*60,0)",60,225,"=TEXT(E22*F22,""$#,##0"")",Requirements,High,802.1X MAB guest BYOD policies,,
Planning,TrustSec Design,Design TrustSec SGT and security group policies,"=ROUND($G$10*40,0)",40,225,"=TEXT(E23*F23,""$#,##0"")",Policy Framework,Medium,Micro-segmentation and enforcement,,
Planning,Rollout Strategy,Plan phased rollout and pilot approach,"=ROUND($G$10*32,0)",32,200,"=TEXT(E24*F24,""$#,##0"")",Policy Design,Medium,Pilot department and deployment waves,,
Development,ISE Deployment,Deploy ISE appliances (primary + secondary HA),"=ROUND($G$11*80,0)",80,225,"=TEXT(E25*F25,""$#,##0"")",Architecture,Medium,HA pair installation and licensing,,
Development,Active Directory Integration,Integrate ISE with Active Directory,"=ROUND($G$11*30,0)",30,200,"=TEXT(E26*F26,""$#,##0"")",ISE Deploy,Medium,LDAP integration and testing,,
Development,Policy Configuration,Configure authentication and authorization policies,"=ROUND($G$11*60,0)",60,200,"=TEXT(E27*F27,""$#,##0"")",AD Integration,High,802.1X wired wireless and MAB,,
Development,BYOD Portal Configuration,Configure self-service BYOD onboarding portal,"=ROUND($G$11*40,0)",40,200,"=TEXT(E28*F28,""$#,##0"")",Policy Config,Medium,Certificate provisioning for iOS Android,,
Development,Guest Portal Configuration,Configure guest access portal and sponsor workflow,"=ROUND($G$11*40,0)",40,200,"=TEXT(E29*F29,""$#,##0"")",Policy Config,Medium,Self-registration and sponsor approval,,
Development,TrustSec Configuration,Configure TrustSec SGTs and enforcement policies,"=ROUND($G$11*50,0)",50,225,"=TEXT(E30*F30,""$#,##0"")",Policy Config,Medium,Security group tags and matrix,,
Development,Network Integration,Configure switches and WLCs for 802.1X,"=ROUND($G$11*50,0)",50,200,"=TEXT(E31*F31,""$#,##0"")",ISE Policies,High,AAA configuration and RADIUS setup,,
Testing,Lab Validation,Test ISE policies in lab environment,"=ROUND($G$12*32,0)",32,200,"=TEXT(E32*F32,""$#,##0"")",Config Complete,Medium,End-to-end authentication testing,,
Testing,Pilot Deployment,Deploy to pilot department (50-100 users),"=ROUND($G$12*40,0)",40,175,"=TEXT(E33*F33,""$#,##0"")",Lab Testing,High,IT department or friendly users,,
Testing,BYOD Testing,Test BYOD onboarding for iOS and Android,"=ROUND($G$12*24,0)",24,175,"=TEXT(E34*F34,""$#,##0"")",Pilot Deploy,Medium,Self-service certificate provisioning,,
