#WIDTH:  45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN:  left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,cisco-network-cicd-automation,cisco-network-cicd-automation,cisco-network-cicd-automation,Solution name for resource naming,Yes,String,Valid string value,Public,Development,,Network CI/CD solution,2025-12-03
solution.abbr,Project,cicd,cicd,cicd,Solution abbreviation (3-4 chars),Yes,String,3-4 alphanumeric,Public,Development,,Used in resource naming prefix,2025-12-03
solution.provider_name,Project,cisco,cisco,cisco,Provider organization name,Yes,String,Valid string value,Public,Development,,Cisco provider,2025-12-03
solution.category_name,Project,devops,devops,devops,Solution category,Yes,String,Valid string value,Public,Development,,DevOps category,2025-12-03
dnac.hostname,Cisco DNA Center,dnac.client.local,dnac-test.client.local,dnac-dr.client.local,DNA Center appliance hostname,Yes,String,Valid FQDN,Confidential,Network Team,Network connectivity,Management interface,2025-12-03
dnac.api_version,Cisco DNA Center,v2,v2,v2,DNA Center API version,Yes,String,v1|v2,Public,Network Team,dnac.hostname,API compatibility,2025-12-03
dnac.admin_user,Cisco DNA Center,dnac-admin,dnac-admin,dnac-admin,DNA Center administrative username,Yes,String,Valid username,Confidential,Network Team,DNAC deployment,API access,2025-12-03
dnac.admin_password,Cisco DNA Center,[vault:dnac_admin_password_prod],[vault:dnac_admin_password_test],[vault:dnac_admin_password_dr],DNA Center admin password,Yes,String,Min 12 characters,Secret,Security Team,,Stored in Ansible Vault,2025-12-03
dnac.ssl_verify,Cisco DNA Center,true,false,true,Verify SSL certificates for API calls,Yes,Boolean,true|false,Public,Network Team,Valid certificates,Disable for testing,2025-12-03
dnac.timeout,Cisco DNA Center,30,30,30,API request timeout in seconds,Yes,Integer,10-300,Public,Network Team,,API timeout,2025-12-03
nso.hostname,Cisco NSO,nso.client.local,nso-test.client.local,nso-dr.client.local,Network Services Orchestrator hostname,Yes,String,Valid FQDN,Confidential,Network Team,Network connectivity,RESTCONF API,2025-12-03
