Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your Network CI/CD Automation project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this automation initiative?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What network automation challenges are you trying to solve?,"Common challenges: Manual CLI errors, Slow provisioning, Inconsistent configurations, Lack of change tracking, Limited scalability, Compliance gaps","",Primary business driver for automation investment
BUS-004,Business Requirements,Current State,What is your current network change management process?,"Describe: manual CLI, scripts, tools used, change approval workflow, configuration backup methods","",Current state baseline assessment
BUS-005,Business Requirements,Objectives,What are your primary goals for network automation?,"Common goals: Faster provisioning, Zero-touch deployment, Configuration consistency, Change auditing, Reduced errors, DevOps culture","",Business objectives and expected outcomes
BUS-006,Business Requirements,Success Criteria,How will you measure automation success?,"Define KPIs: provisioning time reduction %, error rate reduction, deployment frequency, audit compliance score","",Success metrics for project evaluation
BUS-007,Business Requirements,Timeline,What is your expected timeline for automation implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-008,Business Requirements,Budget,What is your approved budget range for this automation solution?,"Common ranges: $50K-100K, $100K-250K, $250K-500K. Include tools, infrastructure, services","",Budget constraints for solution sizing
BUS-009,Business Requirements,Future Vision,What is your long-term vision for network automation?,"Consider: multi-vendor automation, cloud integration, self-service portals, AI-driven optimization","",Future roadmap and scalability planning
BUS-010,Business Requirements,Growth Projections,How do you expect automation scope to expand over 3 years?,"Consider: device count growth, additional platforms, new use cases","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Network Infrastructure,How many network devices need automation?,"Typical ranges: 50-100, 100-250, 250-500, 500+","",Device count drives automation platform sizing
TECH-002,Technical Requirements,Device Types,What Cisco device types require automation?,"Device types: Catalyst IOS-XE switches, Nexus NX-OS switches, ASA firewalls, ISR/ASR routers, Meraki cloud-managed, Other platforms","",Platform compatibility and automation complexity
TECH-003,Technical Requirements,Software Versions,What IOS/NX-OS versions are your devices running?,"List primary OS versions; automation requires API/NETCONF/RESTCONF support","",Version compatibility and upgrade requirements
TECH-004,Technical Requirements,Multi-Vendor,Do you have non-Cisco devices that need automation?,"Platforms: Arista, Juniper, Palo Alto, F5, Other vendors","",Multi-vendor automation scope and tooling
TECH-005,Technical Requirements,Network Topology,What is your network topology?,"Topology: Campus (core/distribution/access), Branch offices, Data center, Multi-site WAN, Hybrid cloud","",Architecture complexity assessment
TECH-006,Technical Requirements,Site Distribution,How many sites/locations need automated provisioning?,"Specify: number of sites, geographic distribution, remote office count","",Multi-site deployment and automation scope
TECH-007,Technical Requirements,Configuration Management,How are network configurations managed today?,"Methods: Manual CLI, Basic scripts, RANCID backups, Git repository, Cisco Prime, DNA Center, Other","",Config management maturity and migration path
TECH-008,Technical Requirements,Change Frequency,How frequently are network changes deployed?,"Frequency: Multiple daily, Daily, Weekly, Monthly, Ad-hoc/emergency only","",Change velocity and automation value
TECH-009,Technical Requirements,Configuration Complexity,What types of configuration changes are most common?,"Change types: VLAN provisioning, ACL updates, Interface configs, Routing changes, QoS policies, Security updates","",Automation use case prioritization
TECH-010,Technical Requirements,Ansible Experience,What is your team's experience with Ansible?,"Experience: None, Basic playbooks, Network automation modules, Advanced roles/collections, Production use","",Training needs and skill assessment
