#WIDTH:  45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN:  left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,cisco-sdwan-enterprise,cisco-sdwan-enterprise,cisco-sdwan-enterprise,Solution name for resource naming,Yes,String,Valid string value,Public,Development,,SD-WAN Enterprise solution,2025-12-03
solution.abbr,Project,sdwan,sdwan,sdwan,Solution abbreviation (3-8 chars),Yes,String,3-8 lowercase,Public,Development,,Used in resource naming prefix,2025-12-03
solution.provider_name,Project,cisco,cisco,cisco,Provider organization name,Yes,String,Valid provider,Public,Development,,Cisco provider,2025-12-03
solution.category_name,Project,network,network,network,Solution category,Yes,String,Valid category,Public,Development,,Network category,2025-12-03
project.cost_center,Project,CC-NET-001,CC-NET-TEST,CC-NET-DR,Cost center for billing,Yes,String,CC format,Public,Finance Team,,Billing code,2025-12-03
project.owner_email,Project,network-team@company.com,dev-team@company.com,network-team@company.com,Team email for ownership,Yes,String,Valid email,Public,Operations Team,,Primary contact,2025-12-03
project.code,Project,PRJ-SDWAN-2025,PRJ-SDWAN-TEST,PRJ-SDWAN-DR,Project tracking code,Yes,String,PRJ format,Public,PMO,,Project tracking,2025-12-03
vmanage.cluster_ip,Cisco vManage,10.100.1.10,10.101.1.10,10.102.1.10,vManage cluster VIP address,Yes,String,Valid IPv4 address,Confidential,Network Team,Network connectivity,Cluster management,2025-12-03
vmanage.fqdn,Cisco vManage,vmanage.enterprise.local,vmanage-test.enterprise.local,vmanage-dr.enterprise.local,vManage fully qualified domain name,Yes,String,Valid FQDN,Public,Network Team,DNS configuration,HTTPS access,2025-12-03
vmanage.primary_ip,Cisco vManage,10.100.1.10,10.101.1.10,10.102.1.10,vManage primary node IP,Yes,String,Valid IPv4 address,Confidential,Network Team,Network connectivity,Primary node,2025-12-03
vmanage.node_count,Cisco vManage,3,1,3,Number of vManage cluster nodes,Yes,Integer,1|3|6,Public,Network Team,License count,HA cluster,2025-12-03
vmanage.admin_user,Cisco vManage,vmanage-admin,vmanage-admin,vmanage-admin,vManage administrative username,Yes,String,Valid username,Confidential,Security Team,Initial config,Admin access,2025-12-03
vmanage.admin_password,Cisco vManage,[vault:vmanage_admin_password_prod],[vault:vmanage_admin_password_test],[vault:vmanage_admin_password_dr],vManage admin password,Yes,String,Min 12 characters,Secret,Security Team,,Stored in Ansible Vault,2025-12-03
