#WIDTH: 45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,precision-ai-workstation,precision-ai-workstation,precision-ai-workstation,Solution name for resource naming,Yes,String,Valid string value,Public,AI Infrastructure,,PAW solution identifier,2025-12-03
solution.abbr,Project,paw,paw,paw,Solution abbreviation (3-4 chars),Yes,String,Valid string value,Public,AI Infrastructure,,Used in resource naming prefix,2025-12-03
solution.provider_name,Project,dell,dell,dell,Provider organization name,Yes,String,Valid string value,Public,AI Infrastructure,,Dell provider,2025-12-03
solution.category_name,Project,ai,ai,ai,Solution category,Yes,String,Valid string value,Public,AI Infrastructure,,AI category,2025-12-03
datacenter.name,Project,Primary Datacenter,Lab Environment,DR Datacenter,Datacenter facility name,Yes,String,Valid string,Public,Infrastructure,,Physical location name,2025-12-03
ownership.cost_center,Project,CC-AI-001,CC-AI-001,CC-AI-001,Cost center,Yes,String,Valid string,Public,Infrastructure,,From SOW cost allocation,2025-12-03
ownership.owner_email,Project,ai-team@company.com,ai-team@company.com,ai-team@company.com,Owner email,Yes,String,Valid email,Confidential,Infrastructure,,Team notifications,2025-12-03
hardware.workstation_count,Hardware,10,2,5,Number of Dell Precision 7960 workstations,Yes,Integer,1-50,Public,Infrastructure,,Scale based on team size,2025-12-03
hardware.workstation_model,Hardware,Precision 7960,Precision 7960,Precision 7960,Dell Precision workstation model,Yes,String,Valid Precision model,Public,Infrastructure,,Tower workstation,2025-12-03
hardware.gpu_model,Hardware,RTX A6000,RTX A6000,RTX A6000,NVIDIA GPU model installed,Yes,String,Valid NVIDIA model,Public,Infrastructure,,48GB GDDR6 memory,2025-12-03
hardware.gpu_memory_gb,Hardware,48,48,48,GPU memory per workstation in GB,Yes,Integer,24-80,Public,Infrastructure,,Supports large model training,2025-12-03
hardware.cpu_model,Hardware,Xeon Gold 6430,Xeon Gold 6430,Xeon Gold 6430,Intel processor model,Yes,String,Valid Xeon model,Public,Infrastructure,,Dual socket 64 cores total,2025-12-03
hardware.cpu_cores,Hardware,64,64,64,Total CPU cores per workstation,Yes,Integer,32-128,Public,Infrastructure,,Dual socket configuration,2025-12-03
hardware.ram_gb,Hardware,512,256,512,System RAM per workstation in GB,Yes,Integer,128-1024,Public,Infrastructure,,DDR5 for preprocessing,2025-12-03
hardware.nvme_size_tb,Hardware,4,2,4,Local NVMe SSD capacity per workstation in TB,Yes,Float,2-8,Public,Infrastructure,,7000 MB/s read performance,2025-12-03
hardware.nvme_speed_mbps,Hardware,7000,7000,7000,NVMe read speed in MB/s,Yes,Integer,3000-7500,Public,Infrastructure,,Performance target,2025-12-03
storage.powerscale_model,Storage,F600,F200,F600,Dell PowerScale NAS appliance model,Yes,String,Valid PowerScale model,Public,Storage,,All-flash for performance,2025-12-03
storage.powerscale_capacity_tb,Storage,100,20,100,PowerScale usable capacity in TB,Yes,Integer,20-500,Public,Storage,,Expandable as needed,2025-12-03
storage.powerscale_hostname,Storage,[powerscale.domain.com],[powerscale-test.domain.com],[powerscale-dr.domain.com],PowerScale cluster hostname,Yes,String,Valid FQDN,Confidential,Storage,,NFS server address,2025-12-03
storage.nfs_version,Storage,4.1,4.1,4.1,NFS protocol version for shares,Yes,String,3|4|4.1|4.2,Public,Storage,,Use 4.1 for best performance,2025-12-03
storage.nfs_mount_point,Storage,/mnt/powerscale,/mnt/powerscale,/mnt/powerscale,Local NFS mount point,Yes,String,Valid path,Public,Storage,,Standard mount location,2025-12-03
storage.nfs_export_datasets,Storage,/ifs/ai/datasets,/ifs/ai-test/datasets,/ifs/ai-dr/datasets,NFS export path for datasets,Yes,String,Valid path,Public,Storage,,Training data location,2025-12-03
storage.nfs_export_models,Storage,/ifs/ai/models,/ifs/ai-test/models,/ifs/ai-dr/models,NFS export path for models,Yes,String,Valid path,Public,Storage,,Model checkpoint storage,2025-12-03
storage.nfs_export_shared,Storage,/ifs/ai/shared,/ifs/ai-test/shared,/ifs/ai-dr/shared,NFS export path for shared data,Yes,String,Valid path,Public,Storage,,Team collaboration storage,2025-12-03
network.storage_vlan_id,Network,200,210,220,VLAN ID for storage network traffic,Yes,Integer,1-4094,Confidential,Network,,Isolate storage traffic,2025-12-03
network.mgmt_vlan_id,Network,100,110,120,VLAN ID for management network,Yes,Integer,1-4094,Confidential,Network,,iDRAC and SSH access,2025-12-03
network.speed_gbps,Network,10,10,10,Network speed to PowerScale in Gbps,Yes,Integer,1-100,Public,Network,,10GbE standard deployment,2025-12-03
