#WIDTH: 45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,vxrail-hci,vxrail-hci,vxrail-hci,Solution name for resource naming,Yes,String,Valid string value,Public,VxRail Team,,VxRail HCI solution identifier,2025-12-03
solution.abbr,Project,vxh,vxh,vxh,Solution abbreviation (3-4 chars),Yes,String,Valid string value,Public,VxRail Team,,Used in resource naming prefix,2025-12-03
solution.provider_name,Project,dell,dell,dell,Provider organization name,Yes,String,Valid string value,Public,VxRail Team,,Dell provider,2025-12-03
solution.category_name,Project,cloud,cloud,cloud,Solution category,Yes,String,Valid string value,Public,VxRail Team,,Cloud category,2025-12-03
datacenter.name,Project,Primary Datacenter,Lab Environment,DR Datacenter,Datacenter facility name,Yes,String,Valid string,Public,Infrastructure,,Physical location name,2025-12-03
ownership.cost_center,Project,CC-VXRAIL-001,CC-VXRAIL-001,CC-VXRAIL-001,Cost center,Yes,String,Valid string,Public,Infrastructure,,From SOW cost allocation,2025-12-03
ownership.owner_email,Project,vxrail-team@company.com,vxrail-team@company.com,vxrail-team@company.com,Owner email,Yes,String,Valid email,Confidential,Infrastructure,,Team notifications,2025-12-03
vxrail.version,VxRail Software,8.0.100,8.0.100,8.0.100,VxRail software version,Yes,String,Valid VxRail version,Public,VxRail Team,,Major.minor.patch format,2025-12-03
vxrail.cluster_name,VxRail Cluster,[vxrail-prod-cluster],[vxrail-test-cluster],[vxrail-dr-cluster],VxRail cluster identifier,Yes,String,Valid cluster name,Public,VxRail Team,,Unique cluster naming,2025-12-03
vxrail.node_count,VxRail Hardware,4,3,4,Number of VxRail nodes in cluster,Yes,Integer,3-64,Public,Hardware Team,,Minimum 3 for HCI,2025-12-03
vxrail.node_model,VxRail Hardware,E560,E560,E560,VxRail appliance model,Yes,String,Valid VxRail model,Public,Hardware Team,,All-flash configuration,2025-12-03
vxrail.manager_ip,VxRail Management,[10.10.3.100],[10.20.3.100],[10.30.3.100],VxRail Manager IP address,Yes,String,Valid IP address,Confidential,VxRail Team,,API endpoint,2025-12-03
hardware.poweredge_chassis,Dell Hardware,R660,R660,R660,Underlying PowerEdge chassis model,Yes,String,Valid PowerEdge model,Public,Hardware Team,,1U rack server chassis,2025-12-03
hardware.cpu_model,Dell Hardware,Intel Xeon Gold 6330,Intel Xeon Gold 6330,Intel Xeon Gold 6330,Processor model per node,Yes,String,Valid CPU model,Public,Hardware Team,,28-core 2.0GHz processor,2025-12-03
hardware.cpu_count_per_node,Dell Hardware,2,2,2,Number of CPUs per VxRail node,Yes,Integer,1-4,Public,Hardware Team,,Dual socket configuration,2025-12-03
hardware.memory_per_node_gb,Dell Hardware,384,384,384,System memory per node in GB,Yes,Integer,192-1536,Public,Hardware Team,,Plan for VM density,2025-12-03
hardware.memory_type,Dell Hardware,DDR4-3200,DDR4-3200,DDR4-3200,Memory technology and speed,Yes,String,Valid memory spec,Public,Hardware Team,,Latest DDR4 specification,2025-12-03
vsan.cache_disk_model,vSAN Storage,1.6TB NVMe SSD,1.6TB NVMe SSD,1.6TB NVMe SSD,vSAN cache tier disk specification,Yes,String,Valid SSD model,Public,Storage Team,,High-endurance NVMe,2025-12-03
vsan.cache_disk_count,vSAN Storage,2,2,2,Number of cache disks per node,Yes,Integer,1-4,Public,Storage Team,,Redundancy for cache tier,2025-12-03
vsan.capacity_disk_model,vSAN Storage,7.68TB NVMe SSD,7.68TB NVMe SSD,7.68TB NVMe SSD,vSAN capacity tier disk specification,Yes,String,Valid SSD model,Public,Storage Team,,All-flash capacity disks,2025-12-03
vsan.capacity_disk_count,vSAN Storage,6,4,6,Number of capacity disks per node,Yes,Integer,4-12,Public,Storage Team,,Balance capacity and cost,2025-12-03
vsan.storage_policy,vSAN Storage,RAID-5 (Erasure Coding),RAID-1,RAID-5 (Erasure Coding),Default vSAN storage policy,Yes,String,Valid vSAN policy,Public,Storage Team,,FTT=1 with erasure coding,2025-12-03
vsan.compression_enabled,vSAN Storage,true,true,true,Enable vSAN compression,Yes,Boolean,true|false,Public,Storage Team,,Reduce storage footprint,2025-12-03
vsan.deduplication_enabled,vSAN Storage,true,false,true,Enable vSAN deduplication,Yes,Boolean,true|false,Public,Storage Team,,Reduce duplicate data,2025-12-03
vsan.encryption_enabled,vSAN Storage,true,false,true,Enable vSAN encryption at rest,Yes,Boolean,true|false,Public,Security Team,,Hardware-based encryption,2025-12-03
network.10gbe_ports,Dell Networking,4,4,4,Number of 10GbE ports per node,Yes,Integer,2-8,Public,Network Team,,Management and vMotion traffic,2025-12-03
network.25gbe_ports,Dell Networking,2,2,2,Number of 25GbE ports per node,Yes,Integer,0-4,Public,Network Team,,vSAN and VM traffic,2025-12-03
network.switch_model,Dell Networking,S5248F-ON,S5248F-ON,S5248F-ON,Top-of-rack switch model,Yes,String,Valid Dell switch model,Public,Network Team,,48x25GbE + 6x100GbE switch,2025-12-03
network.uplink_speed,Dell Networking,100GbE,25GbE,100GbE,Uplink speed from TOR switches,Yes,String,Valid uplink speed,Public,Network Team,,Data center connectivity,2025-12-03
