Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your VxRail HCI deployment project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this HCI infrastructure project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What infrastructure challenges are you trying to solve with hyperconverged infrastructure?,"Common challenges: Aging hardware refresh, Complex SAN management, Slow VM provisioning, High infrastructure costs, Disaster recovery complexity, Data center footprint","",Primary business driver for HCI investment
BUS-004,Business Requirements,Current State,What is your current virtualization and storage infrastructure?,"Describe hypervisor, SAN/NAS storage, server count, and pain points","",Current state baseline assessment
BUS-005,Business Requirements,VM Count,How many virtual machines do you currently run in production?,"Typical ranges: 50-200, 201-500, 501-1000, 1000+","",Determines cluster sizing and capacity planning
BUS-006,Business Requirements,Workload Types,What types of workloads will you run on VxRail?,"Common types: Windows Server, Linux servers, SQL Server databases, Oracle databases, Application servers, Virtual desktops (VDI), Development/test environments","",Workload classification drives resource allocation
BUS-007,Business Requirements,Objectives,What are your primary goals for deploying hyperconverged infrastructure?,"Common goals: Simplify infrastructure management, Reduce data center footprint, Accelerate VM provisioning, Improve disaster recovery, Lower total cost of ownership, Eliminate vendor finger-pointing","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure VxRail HCI deployment success?,"Define KPIs: VM deployment time reduction, infrastructure cost savings, admin hours saved, rack space reduction, mean time to resolution","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for VxRail HCI deployment?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and hardware refresh urgency
BUS-010,Business Requirements,Budget,What is your approved budget range for HCI infrastructure?,"Common ranges: $200K-$500K (4-node), $500K-$1M (8-node), $1M-$2M (12-16 node), $2M+. Include both CapEx and OpEx","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for data center infrastructure?,"Consider multi-site deployments, hybrid cloud integration, expansion to additional clusters","",Future roadmap and scalability planning
BUS-012,Business Requirements,Growth Projections,How do you expect VM count and storage capacity to change over 3 years?,"Provide current capacity and projected annual growth rate","",Scalability requirements and expansion planning
TECH-001,Technical Requirements,Hypervisor Platform,What hypervisor do you currently use?,"Options: VMware ESXi, Microsoft Hyper-V, KVM/RHEV, Citrix XenServer, Mixed environment","",Migration complexity and licensing considerations
TECH-002,Technical Requirements,VMware Licensing,Do you have existing VMware licensing (vSphere, vSAN, vCenter)?,"Specify licenses and versions if applicable. May reduce costs if portable to VxRail","",Licensing reuse and cost optimization
TECH-003,Technical Requirements,VMware Version,What VMware version requirements do you have?,"VxRail ships with vSphere 8 and vSAN 8. Legacy app compatibility may require specific versions","",Version compatibility and upgrade path
TECH-004,Technical Requirements,Storage Capacity,What is your total usable storage capacity requirement?,"Include current usage plus 3-year growth. Common ranges: 20-50TB, 50-100TB, 100-200TB, 200TB+","",vSAN capacity sizing (account for FTT overhead)
TECH-005,Technical Requirements,Storage Performance,What storage IOPS performance do you require?,"Specify current IOPS or workload needs. All-flash vs hybrid configuration","",Storage tier selection and performance validation
TECH-006,Technical Requirements,Storage Type,What storage performance tier do you need?,"Options: All-flash (high performance/low latency), Hybrid (cost-optimized with SSD cache + HDD capacity)","",Cost vs performance tradeoff for vSAN configuration
TECH-007,Technical Requirements,Deduplication,Do you need storage deduplication and compression?,"vSAN Enterprise includes dedup/compression (typically 2-3:1 ratio for VMs)","",Capacity optimization and effective storage calculation
TECH-008,Technical Requirements,Compute Capacity,What total CPU core count and vCPU capacity do you need?,"Calculate current VM vCPU allocation plus growth. VxRail E560: 32 cores per node","",CPU sizing and VM density planning
TECH-009,Technical Requirements,Memory Capacity,What total RAM capacity is required for your VMs?,"Calculate current VM memory allocation plus growth. VxRail E560: 768GB per node standard","",Memory sizing and VM density planning
TECH-010,Technical Requirements,VM Density,What is your target VM density per host?,"Typical ranges: 20-40 VMs/host (small VMs), 40-60 VMs/host (medium), 10-20 VMs/host (large database VMs)","",Host resource allocation and HA planning
TECH-011,Technical Requirements,Network Speed,What network connectivity is available in your data center?,"VxRail requires minimum 10GbE for vSAN. 25GbE recommended for optimal performance","",Network infrastructure and switch requirements
TECH-012,Technical Requirements,Network Redundancy,What network redundancy and bandwidth do you require?,"VxRail uses multiple 10/25GbE links per node for vSAN, vMotion, and management","",Network fabric design and ToR switch sizing
TECH-013,Technical Requirements,VLAN Configuration,What VLAN segmentation is required?,"Common: Management, vMotion, vSAN, VM production networks. Minimum 4 VLANs","",Network design and switch port configuration
TECH-014,Technical Requirements,External Storage,Do you need to integrate with existing SAN/NAS storage?,"VxRail uses vSAN internal storage. External storage for legacy apps or backup targets","",Storage migration strategy and coexistence
TECH-015,Technical Requirements,Backup Integration,What backup solution do you use or plan to use?,"Common: Veeam, Dell EMC PowerProtect Data Manager (PPDM), Commvault, Rubrik, Cohesity","",Backup architecture and integration requirements
TECH-016,Technical Requirements,Backup Target,Where will backup data be stored?,"Options: VxRail internal (not recommended for production), External NAS, Tape library, Cloud (AWS S3, Azure Blob), Dell Data Domain","",Backup target infrastructure and retention
TECH-017,Technical Requirements,vCenter Deployment,Do you have an existing vCenter Server or need new deployment?,"VxRail can integrate with existing vCenter or deploy dedicated vCenter","",vCenter architecture and management consolidation
TECH-018,Technical Requirements,Active Directory,Do you need Active Directory integration for authentication?,"vCenter and ESXi host authentication via AD for centralized user management","",Identity management and access control
TECH-019,Technical Requirements,Monitoring Tools,What infrastructure monitoring tools do you currently use?,"Common: VMware vRealize Operations, vROps, SolarWinds, Nagios, Prometheus/Grafana, PRTG","",Monitoring integration and alerting strategy
TECH-020,Technical Requirements,Automation,Do you use infrastructure automation or orchestration tools?,"Tools: Ansible, Terraform, VMware vRealize Automation, PowerCLI scripts","",Automation integration and API requirements
HA-001,High Availability & DR,Availability Requirements,What uptime SLA do you require for VxRail cluster?,"Common targets: 99% (3.65 days downtime/year), 99.9% (8.76 hours/year), 99.99% (52 minutes/year)","",HA architecture and redundancy requirements
HA-002,High Availability & DR,Failure Tolerance,What level of hardware failure tolerance do you need?,"Options: FTT=1 (tolerate 1 node failure), FTT=2 (tolerate 2 node failures). Requires minimum 4 or 6 nodes respectively","",vSAN failure tolerance policy and cluster sizing
HA-003,High Availability & DR,Maintenance Mode,How will you handle planned maintenance and firmware updates?,"VxRail Lifecycle Manager automates rolling updates with zero downtime","",Maintenance windows and change management
HA-004,High Availability & DR,Disaster Recovery,Do you need disaster recovery to a second site?,"Options: VMware Site Recovery Manager (SRM), vSAN stretched cluster, Async replication","",DR architecture and RPO/RTO requirements
HA-005,High Availability & DR,RTO/RPO,What are your Recovery Time Objective (RTO) and Recovery Point Objective (RPO)?,"RTO: Maximum acceptable downtime, RPO: Maximum acceptable data loss (minutes/hours)","",DR solution selection and replication strategy
HA-006,High Availability & DR,Multi-Site,Do you have multiple data centers for geographic redundancy?,"Stretched cluster requires < 5ms RTT latency between sites","",Geographic distribution and network latency
HA-007,High Availability & DR,Replication,Do you need VM replication for disaster recovery?,"Options: vSphere Replication (VM-level), vSAN replication (array-level), Third-party (Zerto)","",Replication technology and bandwidth requirements
SEC-001,Security & Compliance,Data Classification,What is the highest data classification level on VxRail infrastructure?,"Levels: Public, Internal, Confidential, Restricted, PII/PHI","",Determines encryption and access control requirements
SEC-002,Security & Compliance,Encryption,Do you require encryption at rest for VM storage?,"vSAN encryption available with external Key Management Server (KMS)","",Security architecture and key management
SEC-003,Security & Compliance,Key Management,What key management solution will you use for vSAN encryption?,"Options: VMware vCenter Native KMS, HashiCorp Vault, Thales CipherTrust, AWS KMS (hybrid)","",KMS integration and certificate management
SEC-004,Security & Compliance,Compliance Standards,What compliance standards must the VxRail infrastructure meet?,"Common standards: SOC 2, ISO 27001, HIPAA, PCI DSS, FedRAMP, NIST, GDPR","",Compliance controls and audit requirements
SEC-005,Security & Compliance,Network Security,What network segmentation and firewall rules are required?,"Micro-segmentation with NSX-T for VM-level firewall policies","",Security architecture and NSX deployment
SEC-006,Security & Compliance,Access Control,What authentication and authorization requirements apply?,"Options: Local vCenter accounts, Active Directory/LDAP, SSO (SAML), MFA, Certificate-based","",Identity and access management requirements
SEC-007,Security & Compliance,Audit Logging,What audit and logging requirements do you have?,"Requirements: vCenter audit logs, ESXi shell access logs, vSAN health logs, Configuration change tracking","",Audit trail and compliance reporting needs
SEC-008,Security & Compliance,Vulnerability Management,What security patching and vulnerability management processes apply?,"VxRail Lifecycle Manager automates patching across entire stack (ESXi, vCenter, firmware)","",Patch management and compliance scanning
SEC-009,Security & Compliance,Secure Boot,Do you require UEFI Secure Boot and TPM for host security?,"VxRail supports Secure Boot and TPM 2.0 for trusted boot chain","",Hardware security and attestation requirements
SEC-010,Security & Compliance,Isolation,Do you need workload isolation between different security zones?,"Options: Separate clusters, Resource pools with reservations, NSX micro-segmentation","",Multi-tenancy and security isolation strategy
OPS-001,Operations & Support,Physical Location,Where will the VxRail cluster be physically located?,"Options: On-premises data center, Colocation facility, Edge location","",Physical space and environmental requirements
OPS-002,Operations & Support,Rack Space,How much rack space is available for VxRail deployment?,"VxRail E560: 2U per node. 4-node cluster = 8U (plus 2U for switches). Plan for cable management","",Rack capacity and physical layout planning
OPS-003,Operations & Support,Power & Cooling,What power and cooling capacity is available?,"VxRail E560 node: ~800W max. 4-node cluster ~3.2kW. Ensure adequate PDU circuits and HVAC","",Electrical infrastructure and thermal management
OPS-004,Operations & Support,Form Factor,What VxRail form factor is preferred?,"Options: E560 (2U rack-mount), P570 (1U high-density), D560 (desktop for ROBO)","",Physical configuration based on deployment location
OPS-005,Operations & Support,Support Level,What Dell support coverage do you require?,"Options: ProSupport (next business day), ProSupport Plus (4-hour response), Mission Critical (2-hour response 24x7)","",Support SLA and cost tradeoff
