#WIDTH: 45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,vxrail-hyperconverged,vxrail-hyperconverged,vxrail-hyperconverged,Solution name for resource naming,Yes,String,Valid string value,Public,VxRail Team,,Enterprise VxRail solution,2025-12-03
solution.abbr,Project,vxe,vxe,vxe,Solution abbreviation (3-4 chars),Yes,String,Valid string value,Public,VxRail Team,,Used in resource naming prefix,2025-12-03
solution.provider_name,Project,dell,dell,dell,Provider organization name,Yes,String,Valid string value,Public,VxRail Team,,Dell provider,2025-12-03
solution.category_name,Project,cloud,cloud,cloud,Solution category,Yes,String,Valid string value,Public,VxRail Team,,Cloud category,2025-12-03
datacenter.name,Project,Primary Datacenter,Lab Environment,DR Datacenter,Datacenter facility name,Yes,String,Valid string,Public,Infrastructure,,Physical location name,2025-12-03
ownership.cost_center,Project,CC-VXRAIL-002,CC-VXRAIL-002,CC-VXRAIL-002,Cost center,Yes,String,Valid string,Public,Infrastructure,,From SOW cost allocation,2025-12-03
ownership.owner_email,Project,vxrail-enterprise@company.com,vxrail-enterprise@company.com,vxrail-enterprise@company.com,Owner email,Yes,String,Valid email,Confidential,Infrastructure,,Team notifications,2025-12-03
vxrail.version,VxRail Software,8.0.200,8.0.200,8.0.200,VxRail software version,Yes,String,Valid VxRail version,Public,VxRail Team,,Latest enterprise release,2025-12-03
vxrail.cluster_name,VxRail Cluster,[vxrail-enterprise-prod],[vxrail-enterprise-test],[vxrail-enterprise-dr],VxRail cluster identifier,Yes,String,Valid cluster name,Public,VxRail Team,,Production cluster naming,2025-12-03
vxrail.node_count,VxRail Hardware,8,4,8,Number of VxRail P570 nodes in cluster,Yes,Integer,4-64,Public,Hardware Team,,8-node for N+2 fault tolerance,2025-12-03
vxrail.node_model,VxRail Hardware,P570,P570,P570,VxRail appliance model,Yes,String,Valid VxRail model,Public,Hardware Team,,All-NVMe mission-critical platform,2025-12-03
vxrail.manager_ip,VxRail Management,[10.10.3.100],[10.20.3.100],[10.30.3.100],VxRail Manager IP address,Yes,String,Valid IP address,Confidential,VxRail Team,,API endpoint,2025-12-03
hardware.poweredge_chassis,Dell Hardware,R760,R760,R760,Underlying PowerEdge chassis model,Yes,String,Valid PowerEdge model,Public,Hardware Team,,2U rack server chassis,2025-12-03
hardware.cpu_model,Dell Hardware,Intel Xeon Platinum 8380,Intel Xeon Platinum 8380,Intel Xeon Platinum 8380,Processor model per node,Yes,String,Valid CPU model,Public,Hardware Team,,40-core 2.3GHz processor,2025-12-03
hardware.cpu_count_per_node,Dell Hardware,2,2,2,Number of CPUs per VxRail P570 node,Yes,Integer,2-4,Public,Hardware Team,,Dual socket configuration,2025-12-03
hardware.memory_per_node_gb,Dell Hardware,2048,1024,2048,System memory per node in GB,Yes,Integer,512-4096,Public,Hardware Team,,2TB RAM for databases,2025-12-03
hardware.memory_type,Dell Hardware,DDR5-4800,DDR5-4800,DDR5-4800,Memory technology and speed,Yes,String,Valid memory spec,Public,Hardware Team,,Latest DDR5 specification,2025-12-03
vsan.storage_type,vSAN Storage,All-NVMe,All-NVMe,All-NVMe,vSAN storage tier type,Yes,String,All-NVMe|Hybrid,Public,Storage Team,,Sub-ms latency for databases,2025-12-03
vsan.capacity_per_node_tb,vSAN Storage,30.72,15.36,30.72,vSAN capacity per node in TB,Yes,Float,15-100,Public,Storage Team,,High-capacity NVMe SSDs,2025-12-03
vsan.total_usable_tb,vSAN Storage,200,50,200,Total usable vSAN capacity in TB,Yes,Integer,50-500,Public,Storage Team,,After FTT=2 erasure coding,2025-12-03
vsan.storage_policy,vSAN Storage,FTT=2 Erasure Coding,FTT=1 Mirroring,FTT=2 Erasure Coding,Default vSAN storage policy,Yes,String,Valid vSAN policy,Public,Storage Team,,RAID-6 equivalent for databases,2025-12-03
vsan.compression_enabled,vSAN Storage,true,true,true,Enable vSAN compression,Yes,Boolean,true|false,Public,Storage Team,,Reduce storage footprint,2025-12-03
vsan.deduplication_enabled,vSAN Storage,true,false,true,Enable vSAN deduplication,Yes,Boolean,true|false,Public,Storage Team,,Reduce duplicate data,2025-12-03
vsan.encryption_enabled,vSAN Storage,true,false,true,Enable vSAN encryption at rest,Yes,Boolean,true|false,Public,Security Team,,External KMS required,2025-12-03
vsan.kms_server,vSAN Storage,[kms.domain.com],,[kms.domain.com],External KMS server address,No,String,Valid FQDN,Confidential,Security Team,,KMIP-compliant KMS,2025-12-03
network.100gbe_spine,Dell Networking,4,2,4,Number of 100GbE spine switches,Yes,Integer,2-8,Public,Network Team,,Dell Z9432F-ON switches,2025-12-03
network.25gbe_leaf,Dell Networking,2,2,2,Number of 25GbE leaf switches per rack,Yes,Integer,2-4,Public,Network Team,,Dell S5248F-ON switches,2025-12-03
network.vsan_bandwidth,Dell Networking,100GbE,25GbE,100GbE,vSAN network bandwidth,Yes,String,Valid bandwidth,Public,Network Team,,Dedicated vSAN network,2025-12-03
network.mgmt_vlan,Networking,100,110,120,Management network VLAN,Yes,Integer,1-4094,Confidential,Network Team,,ESXi management,2025-12-03
network.vmotion_vlan,Networking,200,210,220,vMotion network VLAN,Yes,Integer,1-4094,Confidential,Network Team,,Live migration traffic,2025-12-03
network.vsan_vlan,Networking,300,310,320,vSAN network VLAN,Yes,Integer,1-4094,Confidential,Network Team,,Storage traffic,2025-12-03
network.vm_network_vlan,Networking,400,410,420,VM network VLAN,Yes,Integer,1-4094,Confidential,Network Team,,Production VM traffic,2025-12-03
network.nsx_overlay_vlan,Networking,500,510,520,NSX-T overlay transport VLAN,Yes,Integer,1-4094,Confidential,Network Team,,GENEVE tunnel traffic,2025-12-03
nsx.enabled,VMware NSX,true,true,true,Enable VMware NSX-T networking,Yes,Boolean,true|false,Public,Network Team,,Microsegmentation,2025-12-03
nsx.version,VMware NSX,4.1,4.1,4.1,VMware NSX-T version,Yes,String,Valid NSX version,Public,Network Team,,Distributed firewall enabled,2025-12-03
nsx.manager_count,VMware NSX,3,1,3,Number of NSX Manager nodes,Yes,Integer,1-3,Public,Network Team,,HA cluster in prod,2025-12-03
nsx.edge_count,VMware NSX,2,2,2,Number of NSX Edge nodes,Yes,Integer,2-8,Public,Network Team,,N-S traffic routing,2025-12-03
vmware.vcenter_version,VMware,8.0 U2,8.0 U2,8.0 U2,VMware vCenter Server version,Yes,String,Valid vCenter version,Public,VMware Team,,Supported version matrix,2025-12-03
