Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your VxRail Enterprise HCI project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this enterprise HCI infrastructure project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What mission-critical infrastructure challenges require enterprise HCI?,"Common challenges: Tier 1 database performance, Business continuity, Aging SAN refresh, Complex DR orchestration, Multi-site deployments, Strict SLA requirements","",Primary business driver for enterprise HCI investment
BUS-004,Business Requirements,Current State,What is your current enterprise infrastructure for mission-critical workloads?,"Describe hypervisor, enterprise SAN (EMC VMAX/Unity, NetApp, Pure), server count, and pain points","",Current state baseline assessment
BUS-005,Business Requirements,VM Count,How many virtual machines do you run for Tier 1 applications?,"Typical ranges: 200-500, 501-1000, 1001-2000, 2000+","",Determines cluster sizing and capacity planning
BUS-006,Business Requirements,Critical Workloads,What mission-critical workloads will you run on VxRail?,"Tier 1 workloads: Oracle RAC databases, SQL Server Always-On clusters, SAP HANA, SAP S/4HANA, Epic EHR, Cerner, Business intelligence platforms, Core banking systems","",Workload classification drives performance requirements
BUS-007,Business Requirements,Objectives,What are your primary goals for deploying enterprise hyperconverged infrastructure?,"Common goals: Meet strict SLAs (99.99% uptime), Accelerate disaster recovery, Simplify multi-site operations, Reduce infrastructure costs, Eliminate SAN complexity, Enable micro-segmentation","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure enterprise VxRail HCI deployment success?,"Define KPIs: SLA achievement (99.99%), RTO/RPO targets, database transaction performance, infrastructure cost reduction, DR failover time","",Success metrics for project evaluation
BUS-009,Business Requirements,SLA Requirements,What uptime SLA must you achieve for mission-critical applications?,"Common targets: 99.9% (8.76 hours downtime/year), 99.95% (4.38 hours/year), 99.99% (52 minutes/year), 99.995% (26 minutes/year)","",Availability architecture and redundancy requirements
BUS-010,Business Requirements,Budget,What is your approved budget range for enterprise HCI infrastructure?,"Common ranges: $500K-$1M (8-node), $1M-$2M (12-16 node), $2M-$5M (24-32 node). Include both CapEx and OpEx","",Budget constraints for solution sizing
BUS-011,Business Requirements,Multi-Site,Do you have multiple data centers for geographic distribution?,"Multi-site enables disaster recovery, compliance, and performance optimization","",Geographic distribution and DR strategy
BUS-012,Business Requirements,Growth Projections,How do you expect mission-critical workload growth over 3 years?,"Provide current capacity and projected annual growth rate for Tier 1 applications","",Scalability requirements and expansion planning
TECH-001,Technical Requirements,Performance Tier,What storage performance tier is required for mission-critical workloads?,"VxRail P570: All-NVMe for 100,000+ IOPS. VxRail V570: Hybrid NVMe+SSD for balanced performance","",Storage tier selection and cost optimization
TECH-002,Technical Requirements,IOPS Requirements,What storage IOPS do your mission-critical databases require?,"Oracle RAC: 50,000+ IOPS typical. SQL Always-On: 30,000-100,000 IOPS. SAP HANA: 100,000+ IOPS","",Storage performance validation and sizing
TECH-003,Technical Requirements,Latency Requirements,What storage latency targets must you meet for Tier 1 applications?,"Common targets: <1ms for OLTP databases, <2ms for virtualized desktops, <5ms for general workloads","",All-NVMe vs hybrid storage decision
TECH-004,Technical Requirements,Storage Capacity,What is your total usable storage capacity requirement for enterprise workloads?,"Include current usage plus 3-year growth. Common ranges: 100-200TB, 200-500TB, 500TB-1PB, 1PB+","",vSAN capacity sizing (account for FTT=2 overhead)
TECH-005,Technical Requirements,Failure Tolerance,What level of hardware failure tolerance do you require?,"Options: FTT=1 (tolerate 1 node failure, minimum 4 nodes), FTT=2 (tolerate 2 node failures, minimum 6 nodes). Enterprise typically requires FTT=2","",vSAN failure tolerance policy and cluster sizing
TECH-006,Technical Requirements,Cluster Size,What cluster size is optimal for your enterprise deployment?,"Common: 8-node (balanced), 12-16 node (high performance), 24-32 node (scale-out)","",Performance and redundancy tradeoffs
TECH-007,Technical Requirements,Deduplication,What deduplication and compression ratios do you expect?,"vSAN Enterprise: 2-3:1 typical for VMs, 3-5:1 for VDI. Lower ratios for databases (pre-compressed data)","",Effective capacity calculation and sizing
TECH-008,Technical Requirements,Database Workloads,What database platforms require high performance?,"Common: Oracle Database 12c/19c, Microsoft SQL Server 2016-2022, SAP HANA, PostgreSQL, MongoDB, Cassandra","",Database-specific tuning and configuration
TECH-009,Technical Requirements,Oracle RAC,Do you run Oracle Real Application Clusters (RAC)?,"Oracle RAC requires low-latency shared storage. vSAN all-NVMe recommended for RAC performance","",Oracle RAC certification and performance validation
TECH-010,Technical Requirements,SQL Always-On,Do you run SQL Server Always-On Availability Groups?,"SQL Always-On benefits from low-latency storage and high IOPS for synchronous replication","",SQL Server optimization and storage policies
TECH-011,Technical Requirements,SAP HANA,Do you run SAP HANA or S/4HANA in-memory databases?,"SAP HANA requires all-NVMe with strict latency requirements. VxRail P570 certified for SAP HANA","",SAP HANA certification and TDI compliance
TECH-012,Technical Requirements,Memory Capacity,What total RAM capacity is required for in-memory databases?,"SAP HANA nodes: 1.5TB-3TB per node. Large database VMs: 512GB-1TB per VM","",Memory sizing for database consolidation
TECH-013,Technical Requirements,vSphere Version,What VMware version requirements do you have for enterprise features?,"VxRail ships with vSphere 8. Enterprise needs DRS, HA, vMotion, Fault Tolerance","",Version compatibility and enterprise feature requirements
TECH-014,Technical Requirements,Network Speed,What network connectivity is required for vSAN and vMotion?,"VxRail P570 uses 25GbE for vSAN. Consider 100GbE for very large databases and high vMotion traffic","",Network infrastructure and switch requirements
TECH-015,Technical Requirements,NSX Integration,Do you need VMware NSX for micro-segmentation and network virtualization?,"NSX enables East-West firewall for database security and zero-trust architecture","",NSX Data Center licensing and architecture
TECH-016,Technical Requirements,Disaster Recovery,What disaster recovery solution do you require?,"Options: VMware Site Recovery Manager (SRM), vSAN stretched cluster, Dell RecoverPoint for VMs, Zerto","",DR solution selection and RPO/RTO requirements
TECH-017,Technical Requirements,RTO/RPO,What are your Recovery Time Objective (RTO) and Recovery Point Objective (RPO)?,"Mission-critical: RTO <15 minutes, RPO <5 minutes. Consider synchronous replication for RPO near-zero","",DR architecture and replication technology
TECH-018,Technical Requirements,Stretched Cluster,Do you need vSAN stretched cluster for active-active DR?,"Stretched cluster: Zero RPO, automated failover. Requires <5ms RTT latency between sites","",Geographic distribution and network latency
TECH-019,Technical Requirements,Backup,What enterprise backup solution do you use?,"Common: Dell EMC PowerProtect Data Manager (PPDM), Veeam, Commvault, Rubrik, Cohesity, IBM Spectrum Protect","",Backup architecture and integration requirements
