Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Solution Metadata,Dell SafeID Enterprise Authentication,Dell SafeID Enterprise Authentication,Dell SafeID Enterprise Authentication,Solution identifier for documentation and portal,Yes,String,Max 50 characters,Public,Security Team,None,Used across all environments,[DATE]
solution.abbr,Solution Metadata,SIA,SIA,SIA,Solution abbreviation for naming conventions,Yes,String,Max 10 characters,Public,Security Team,None,Three-letter acronym,[DATE]
solution.provider,Solution Metadata,Dell,Dell,Dell,Technology provider,Yes,String,Valid provider name,Public,Security Team,None,OEM vendor,[DATE]
solution.category,Solution Metadata,Cyber Security,Cyber Security,Cyber Security,Solution category classification,Yes,String,Valid category,Public,Security Team,None,Primary classification,[DATE]
safeid.version,SafeID Infrastructure,4.2,4.2,4.2,SafeID Enterprise server version,Yes,String,Valid SafeID version,Public,Security Team,None,Major.minor format,[DATE]
safeid.server_count,SafeID Infrastructure,2,1,2,Number of SafeID servers for HA,Yes,Integer,1-4,Public,Security Team,Load balancer,Production/DR use HA; test uses single,[DATE]
safeid.database,SafeID Infrastructure,PostgreSQL 15,PostgreSQL 15,PostgreSQL 15,SafeID database platform,Yes,String,Valid database,Public,Security Team,Database server,Enterprise database required,[DATE]
users.count,User Base,500,50,500,Total number of users to enroll,Yes,Integer,1-10000,Public,IT Security,AD user count,Production/DR full scale; test reduced,[DATE]
users.yubikey_model,Hardware Tokens,YubiKey 5 NFC,YubiKey 5 NFC,YubiKey 5 NFC,YubiKey hardware token model,Yes,String,Valid YubiKey model,Public,Security Team,Token procurement,NFC for mobile support,[DATE]
users.yubikey_quantity,Hardware Tokens,525,55,525,Total YubiKeys to procure (users + 5% spares),Yes,Integer,User count + 5%,Public,Procurement,User count,Include spare inventory,[DATE]
users.admin_yubikey_count,Hardware Tokens,10,5,10,Separate admin YubiKeys for privileged access,Yes,Integer,5-20,Public,Security Team,Privileged users,Dedicated admin tokens,[DATE]
authentication.protocol,Authentication,FIDO2 WebAuthn,FIDO2 WebAuthn,FIDO2 WebAuthn,Primary authentication protocol,Yes,String,FIDO2|TOTP|PIV,Public,Security Team,YubiKey capability,Phishing-resistant protocol,[DATE]
authentication.fido2.origin,Authentication,login.company.com,login-test.company.com,login-dr.company.com,FIDO2 relying party origin,Yes,String,Valid FQDN,Public,Security Team,DNS configuration,Origin binding for phishing resistance,[DATE]
authentication.fido2.rpid,Authentication,company.com,company.com,company.com,FIDO2 relying party identifier,Yes,String,Valid domain,Public,Security Team,FIDO2 origin,Root domain for FIDO2,[DATE]
authentication.pin.enabled,Authentication,true,true,true,Require PIN for YubiKey use,Yes,Boolean,true|false,Confidential,Security Team,Token security,Protects against token theft,[DATE]
authentication.pin.min_length,Authentication,6,6,6,Minimum PIN length,Yes,Integer,4-8,Confidential,Security Team,PIN policy,Balance security and usability,[DATE]
authentication.pin.max_length,Authentication,8,8,8,Maximum PIN length,Yes,Integer,6-12,Confidential,Security Team,PIN policy,Maximum complexity,[DATE]
authentication.pin.complexity_required,Authentication,true,true,true,Require complex PIN (mixed characters),Yes,Boolean,true|false,Confidential,Security Team,PIN policy,Enhanced security,[DATE]
ldap.integration,Directory,LDAPS,LDAP,LDAPS,Active Directory integration method,Yes,String,LDAP|LDAPS,Public,AD Admin,AD configuration,Production/DR use LDAPS; test uses LDAP,[DATE]
ldap.base_dn,Directory,DC=company DC=com,DC=test DC=company DC=com,DC=company DC=com,Active Directory base DN for user sync,Yes,String,Valid DN,Public,AD Admin,AD structure,User container path,[DATE]
ldap.user_container,Directory,OU=Users DC=company DC=com,OU=Users DC=test DC=company DC=com,OU=Users DC=company DC=com,User organizational unit path,Yes,String,Valid DN,Public,AD Admin,LDAP base DN,User sync source,[DATE]
ldap.group_container,Directory,OU=Groups DC=company DC=com,OU=Groups DC=test DC=company DC=com,OU=Groups DC=company DC=com,Group organizational unit path,Yes,String,Valid DN,Public,AD Admin,LDAP base DN,Group sync source,[DATE]
ldap.sync.interval,Directory,15,30,15,AD sync interval in minutes,Yes,Integer,5-60,Public,AD Admin,AD connection,Production/DR more frequent; test less,[DATE]
ldap.bind_dn,Directory,CN=SafeID Service OU=Service Accounts DC=company DC=com,CN=SafeID Service OU=Service Accounts DC=test DC=company DC=com,CN=SafeID Service OU=Service Accounts DC=company DC=com,LDAP bind account distinguished name,Yes,String,Valid DN,Confidential,AD Admin,Service account,Service account for LDAP queries,[DATE]
radius.enabled,Network Integration,true,true,true,Enable RADIUS for VPN MFA,Yes,Boolean,true|false,Public,Network Team,VPN configuration,All environments support RADIUS,[DATE]
radius.port,Network Integration,1812,1812,1812,RADIUS authentication port,Yes,Integer,1024-65535,Public,Network Team,Firewall rules,Standard RADIUS port,[DATE]
radius.accounting_port,Network Integration,1813,1813,1813,RADIUS accounting port,Yes,Integer,1024-65535,Public,Network Team,Firewall rules,Standard RADIUS accounting,[DATE]
