Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your MFA deployment project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this authentication security project?,"Name, role, and decision-making authority (typically CISO or Security Director)","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What security challenges are you trying to solve with MFA?,"Common challenges: Credential-based phishing attacks, Password resets consuming help desk time, Compliance requirements (CMMC NIST 800-63), Account takeovers, Lack of phishing-resistant authentication","",Primary business driver for MFA deployment
BUS-004,Business Requirements,Current State,What is your current authentication infrastructure?,"Describe: Passwords only, Legacy MFA (SMS codes RSA tokens), Cloud MFA (Duo Okta), Pain points","",Current state baseline assessment
BUS-005,Business Requirements,User Count,How many users need MFA authentication?,"Typical ranges: 100-250 users, 250-500 users, 500-1000 users, 1000+ users","",Determines YubiKey quantity and deployment scale
BUS-006,Business Requirements,User Types,What types of users need MFA?,Common types: Employees (on-prem), Remote workers (VPN), Contractors, Privileged admins, Cloud app users","",User classification drives integration scope
BUS-007,Business Requirements,Objectives,What are your primary goals for deploying hardware MFA?,"Common goals: Prevent phishing attacks, Achieve CMMC certification, Reduce password reset costs, Meet cyber insurance requirements, Zero-trust security","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure MFA deployment success?,"Define KPIs: Zero phishing-based breaches, 95%+ user adoption, Password reset reduction %, CMMC certification achieved, Help desk ticket reduction","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for MFA deployment?,"Typical ranges: 0-4 weeks pilot, 1-3 months phased rollout, 3-6 months full deployment. CMMC deadline drives urgency","",Project timeline and compliance deadlines
BUS-010,Business Requirements,Budget,What is your approved budget range for MFA infrastructure?,"Common ranges: $100K-$250K (500 users), $250K-$500K (1000 users), $500K-$1M (enterprise). Include hardware tokens software licenses","",Budget constraints for solution sizing
BUS-011,Business Requirements,Compliance,What compliance requirements drive MFA deployment?,"Common: CMMC Level 2 (DoD), NIST 800-63 (federal), PCI DSS (payments), HIPAA (healthcare), Cyber insurance, SOC 2","",Compliance standards and audit requirements
BUS-012,Business Requirements,Growth Projections,How do you expect user count to change over 3 years?,"Provide current user count and projected annual growth rate (10%, 25%, 50%)","",Scalability requirements and token planning
TECH-001,Technical Requirements,Token Type,What MFA token type do you prefer?,"Options: Hardware FIDO2 (YubiKey 5), Biometric (YubiKey Bio), Mobile app (Duo Okta), SMS codes, Software tokens","",Token selection and user experience requirements
TECH-002,Technical Requirements,Token Features,What YubiKey features are required?,"Features: USB-A, USB-C, NFC (mobile), FIDO2/WebAuthn, OATH-TOTP, Smart card (PIV), OpenPGP","",YubiKey model selection (YubiKey 5 NFC vs Bio)
TECH-003,Technical Requirements,Authentication Platform,What MFA platform do you prefer?,"Options: Dell SafeID Enterprise, Yubico Authenticator, Duo Security, Okta, Azure MFA, Existing platform integration","",MFA platform selection and licensing
TECH-004,Technical Requirements,VPN Integration,Do you need MFA for VPN access?,"VPN platforms: Cisco AnyConnect, Palo Alto GlobalProtect, Fortinet FortiClient, Pulse Secure, OpenVPN, No VPN","",VPN RADIUS integration requirements
TECH-005,Technical Requirements,Cloud SSO,What cloud applications need MFA SSO?,"Common: Microsoft 365, AWS Console, Salesforce, ServiceNow, Workday, Google Workspace, GitHub, No cloud apps","",Cloud SSO integration via SAML or OIDC
TECH-006,Technical Requirements,Windows Login,Do you need MFA for Windows workstation login?,"Windows login: Not required, Credential Provider, Smart card (PIV), FIDO2 passwordless login","",Windows authentication integration
TECH-007,Technical Requirements,Linux SSH,Do you need MFA for Linux SSH access?,"SSH MFA: Not required, TOTP codes, FIDO2 resident keys, PAM integration, Bastion host integration","",Linux server authentication requirements
TECH-008,Technical Requirements,Privileged Access,Do privileged administrators need separate MFA?,"Privileged access: Same tokens as users, Separate admin YubiKeys, Just-in-time access, Privileged access management (CyberArk BeyondTrust)","",Privileged account protection requirements
TECH-009,Technical Requirements,Active Directory,Do you use Active Directory for identity management?,"AD integration: Yes (LDAP sync), Azure AD only, Hybrid AD + Azure, No AD (local accounts), Third-party IDM","",Identity provider integration requirements
TECH-010,Technical Requirements,Self-Service,Do users need self-service token enrollment?,"Enrollment: IT-assisted only, Self-service web portal, Mobile app enrollment, Pre-configured tokens (zero-touch)","",User onboarding and enrollment approach
SEC-001,Security & Compliance,Data Classification,What is the highest data classification users access?,"Levels: Public, Internal, Confidential, Restricted, Classified (CUI FCI)","",Determines phishing resistance and token security level
SEC-002,Security & Compliance,Phishing Resistance,Is phishing-resistant MFA required for compliance?,"CMMC Level 2 and NIST 800-63 require phishing-resistant (FIDO2). SMS and TOTP are NOT phishing-resistant","",Compliance-driven token selection requirements
SEC-003,Security & Compliance,Backup Authentication,What backup authentication method is acceptable if token is lost?,"Backup options: SMS one-time code, Email code, Help desk bypass, Secondary YubiKey, No backup (strict)","",Business continuity and user lockout mitigation
SEC-004,Security & Compliance,Token Lifecycle,How will lost or damaged tokens be replaced?,"Replacement process: Help desk request, Self-service order, Manager approval, Deactivate lost token, Ship new token","",Token lifecycle management process
SEC-005,Security & Compliance,Audit Logging,What audit and compliance logging is required?,"Requirements: User enrollment logs, Authentication attempts, Token usage tracking, Failed login attempts, SIEM integration, Retention period","",Audit trail and compliance reporting needs
SEC-006,Security & Compliance,Zero Trust,Are you implementing zero-trust security architecture?,"Zero trust: Initial MFA deployment, Conditional access policies, Device trust, Continuous verification, Micro-segmentation","",Security architecture evolution and roadmap
OPS-001,Operations & Support,Help Desk,How many help desk staff support authentication issues?,"Help desk size: 1-2 staff (small), 3-5 staff (medium), 6-10 staff (large), Outsourced help desk","",Support team size and training requirements
OPS-002,Operations & Support,MFA Expertise,What is your team's experience with MFA deployment?,"Experience: None (passwords only), Basic (SMS codes), Intermediate (Duo Okta), Advanced (FIDO2 PKI)","",Training needs assessment for IT and help desk
OPS-003,Operations & Support,User Communication,What change management and user communication approach will you use?,"Communication: Email announcement, Executive sponsorship, Town halls, Video tutorials, FAQ, Phased rollout communication","",User adoption and change management strategy
OPS-004,Operations & Support,Token Distribution,How will YubiKeys be distributed to users?,"Distribution: In-person (office), Ship to home address, Pickup from IT, Manager distribution, Pre-configured and shipped","",Token distribution logistics and timeline
OPS-005,Operations & Support,Remote Workers,What percentage of users are remote or distributed?,"Remote users: <25% (mostly on-site), 25-50% hybrid, 50-75% remote-first, 100% distributed","",Shipping logistics and remote enrollment support
OPS-006,Operations & Support,Support Coverage,What support coverage do you require from Dell?,"Options: Business hours (8x5), Extended hours (12x5), 24x7 support, Dedicated TAM, Community support only","",Dell SafeID support contract level selection
IMPL-001,Implementation Planning,Pilot Users,Who will be the pilot users for MFA deployment?,"Pilot selection: IT and security team (50 users), Executive leadership, Single department, High-risk users","",Pilot testing and validation approach
IMPL-002,Implementation Planning,Rollout Strategy,What is your preferred phased rollout strategy?,"Options: Pilot first (4 weeks), Department by department (100 users every 2 weeks), Location-based, All users at once","",Migration pacing and risk mitigation
IMPL-003,Implementation Planning,Enforcement,When will MFA be enforced as mandatory?,"Enforcement timeline: After pilot, After 80% adoption, After 95% adoption, Immediate (no grace period)","",Enforcement strategy and grace period
IMPL-004,Implementation Planning,Training,What training will be provided to users?,"Training: Video tutorial, Live webinar, In-person training, Quick-start guide, FAQ, Self-serve knowledge base","",User training and enablement approach
IMPL-005,Implementation Planning,Go-Live Criteria,What criteria must be met before full MFA enforcement?,"Examples: Pilot successful, 80% enrollment, Help desk trained, Backup authentication tested, Executive approval","",Acceptance criteria and project closure
