# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,Number of Users,500 users with MFA tokens,100-250 users,500 users,1000+ users,User base and token quantity
Solution Scope,YubiKey Tokens,YubiKey 5 NFC hardware tokens,YubiKey 5 USB-A,YubiKey 5 NFC,YubiKey Bio (biometric),Token type and features
Integration,VPN Integration,Cisco AnyConnect RADIUS MFA,No VPN,Single VPN platform,Multi-vendor VPN,VPN authentication complexity
Integration,Cloud SSO,Microsoft 365 and AWS SAML SSO,No cloud SSO,1-3 cloud apps,5+ cloud apps,Cloud application SSO scope
User Base,User Distribution,80% on-site 20% remote,100% on-site,Hybrid workforce,100% remote,Token shipping and enrollment logistics
User Base,Compliance Requirement,CMMC Level 2 certification,No compliance,CMMC or NIST 800-63,Multiple standards,Compliance-driven phishing resistance
Data Volume,Authentication Volume,10000 daily authentications,Low volume,Medium volume,High volume,Authentication platform capacity
Data Volume,Audit Retention,3 year audit log retention,1 year,3 years,7 years,Compliance and storage requirements
Technical Environment,Authentication Platform,Dell SafeID Enterprise,SafeID Standard,SafeID Enterprise,HA clustered,Platform tier and HA requirements
Technical Environment,Identity Provider,Active Directory integration,Local accounts,AD LDAP,Azure AD hybrid,Identity management complexity
Technical Environment,Operating Systems,Windows 10 11 workstations,Windows only,Windows + Linux,Windows Linux macOS,Platform diversity and support
Security & Compliance,Phishing Resistance,FIDO2 phishing-resistant MFA,SMS TOTP (not resistant),FIDO2 WebAuthn,FIDO2 + PIV smart card,Compliance and security requirements
Security & Compliance,Privileged Access,Separate admin YubiKeys,Same tokens,Separate admin tokens,PAM integration,Privileged account protection
Performance,User Enrollment Time,<5 minute self-service enrollment,IT-assisted (15 min),Self-service (5 min),Zero-touch pre-configured,User onboarding efficiency
Performance,Authentication Time,<2 second YubiKey tap authentication,<5 sec acceptable,<2 sec target,<1 sec passwordless,User experience and productivity
Environment,Deployment Approach,Phased rollout by department,Pilot only,Phased (100 users/2 weeks),All at once,Rollout risk and complexity
# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,All Discovery phase tasks (User Assessment Compliance Review Integration Analysis)
Planning,PLANNING_MX,1,All Planning phase tasks (MFA Architecture YubiKey Selection Integration Design)
Development,DEVELOPMENT_MX,1,All Development phase tasks (SafeID Deployment Token Distribution Integration)
Testing,TESTING_MX,1,All Testing phase tasks (Pilot Testing Authentication Validation Failover)
Deployment,DEPLOYMENT_MX,1,All Deployment phase tasks (User Rollout Enforcement Production)
Training,TRAINING_MX,1,All Training phase tasks (User Training Help Desk Training)
Closeout,CLOSEOUT_MX,1,All Closeout phase tasks (Compliance Documentation Knowledge Transfer)
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Quarterback/Technical Leadership overhead - 10% of actual engineering hours
# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,User Assessment,Assess user count authentication requirements and use cases,EO Engineer,24,1,=E25*F25,$150,"=TEXT(G25*H25,""$#,##0"")",,Includes user segmentation and rollout planning
Discovery,Compliance Review,Review CMMC NIST 800-63 and phishing-resistance requirements,EO Engineer,16,='Estimate Settings'!$C$3,=$E26*$F26,$175,"=TEXT($G26*$H26,""$#,##0"")",,Customer must provide compliance documentation
Discovery,Integration Analysis,Analyze VPN cloud SSO and identity provider integrations,EO Engineer,24,='Estimate Settings'!$C$3,=$E27*$F27,$175,"=TEXT($G27*$H27,""$#,##0"")",,Identifies integration scope and complexity
Discovery,Current State,Document current authentication and password reset costs,EO Engineer,16,='Estimate Settings'!$C$3,=$E28*$F28,$150,"=TEXT($G28*$H28,""$#,##0"")",,Baseline for ROI calculation and cost savings
Planning,MFA Architecture,Design Dell SafeID architecture with HA and AD integration,EO Engineer,32,='Estimate Settings'!$C$4,=$E29*$F29,$200,"=TEXT($G29*$H29,""$#,##0"")",User Assessment,Deliverable: SafeID architecture with RADIUS and SSO design
Planning,YubiKey Selection,Select YubiKey model and quantity based on requirements,EO Engineer,16,='Estimate Settings'!$C$4,=$E30*$F30,$150,"=TEXT($G30*$H30,""$#,##0"")",Compliance Review,YubiKey 5 NFC for FIDO2 and NFC mobile support
Planning,Integration Design,Design VPN RADIUS and cloud SSO integration architecture,EO Engineer,24,='Estimate Settings'!$C$4,=$E31*$F31,$200,"=TEXT($G31*$H31,""$#,##0"")",Integration Analysis,RADIUS for VPN SAML for cloud apps
Planning,Rollout Planning,Develop phased rollout plan and user communication strategy,EO Engineer,24,='Estimate Settings'!$C$4,=$E32*$F32,$150,"=TEXT($G32*$H32,""$#,##0"")",User Assessment,Deliverable: Rollout timeline by department with milestones
Development,YubiKey Procurement,Order YubiKey 5 NFC tokens for all users,EO Engineer,8,='Estimate Settings'!$C$5,=$E33*$F33,$140,"=TEXT($G33*$H33,""$#,##0"")",YubiKey Selection,Coordinate Dell/Yubico order and track shipping
Development,SafeID Deployment,Deploy Dell SafeID authentication servers in HA configuration,EO Engineer,32,='Estimate Settings'!$C$5,=$E34*$F34,$175,"=TEXT($G34*$H34,""$#,##0"")",MFA Architecture,Install SafeID configure AD connector and policies
Development,VPN Integration,Integrate SafeID with Cisco AnyConnect via RADIUS,EO Engineer,24,='Estimate Settings'!$C$5,=$E35*$F35,$175,"=TEXT($G35*$H35,""$#,##0"")",SafeID Deployment,RADIUS configuration and VPN MFA enforcement
Development,Cloud SSO Setup,Configure Microsoft 365 and AWS SSO with SAML,EO Engineer,24,='Estimate Settings'!$C$5,=$E36*$F36,$175,"=TEXT($G36*$H36,""$#,##0"")",SafeID Deployment,SAML trust and conditional access policies
Development,Enrollment Portal,Deploy self-service YubiKey enrollment web portal,EO Engineer,24,='Estimate Settings'!$C$5,=$E37*$F37,$160,"=TEXT($G37*$H37,""$#,##0"")",SafeID Deployment,User portal with video tutorials and FAQ
Development,Monitoring Setup,Configure authentication monitoring and SIEM integration,EO Engineer,16,='Estimate Settings'!$C$5,=$E38*$F38,$150,"=TEXT($G38*$H38,""$#,##0"")",SafeID Deployment,Dashboards for failed logins and token usage
Testing,Pilot User Enrollment,Enroll 50 pilot users with YubiKey tokens,EO Engineer,16,='Estimate Settings'!$C$6,=$E39*$F39,$140,"=TEXT($G39*$H39,""$#,##0"")",Enrollment Portal,IT and security team pilot validation
Testing,Authentication Testing,Test YubiKey authentication across VPN and cloud apps,EO Engineer,16,='Estimate Settings'!$C$6,=$E40*$F40,$150,"=TEXT($G40*$H40,""$#,##0"")",Pilot User Enrollment,Validate FIDO2 authentication and user experience
Testing,Failover Testing,Test backup authentication and SafeID HA failover,EO Engineer,8,='Estimate Settings'!$C$6,=$E41*$F41,$150,"=TEXT($G41*$H41,""$#,##0"")",Authentication Testing,Validate SMS backup and HA server failover
