Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your CI/CD infrastructure modernization project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this DevOps infrastructure initiative?,"Name, role, and decision-making authority (typically VP Engineering or DevOps Director)","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What challenges are driving the need for on-premises CI/CD infrastructure?,"Common challenges: High cloud CI/CD costs, Data sovereignty requirements, Build queue times, Artifact storage egress fees, Inconsistent performance, Vendor lock-in","",Primary business driver for on-prem CI/CD investment
BUS-004,Business Requirements,Current State,What is your current CI/CD infrastructure?,"Describe CI/CD platform (Jenkins, GitLab CI, GitHub Actions, Azure DevOps), cloud vs on-prem, and pain points","",Current state baseline assessment
BUS-005,Business Requirements,Developer Count,How many developers and daily builds do you have?,"Typical ranges: 10-50 devs (1000 builds/day), 51-100 devs (5000 builds/day), 100-200 devs (10000 builds/day), 200+ devs","",Determines build farm sizing and capacity
BUS-006,Business Requirements,Build Types,What types of builds and workloads do you run?,"Common: Application builds (Maven, Gradle, npm), Container image builds (Docker), Mobile app builds (iOS, Android), Database migrations, Infrastructure as Code (Terraform)","",Workload classification drives resource allocation
BUS-007,Business Requirements,Objectives,What are your primary goals for deploying on-premises CI/CD infrastructure?,"Common goals: Reduce cloud costs, Improve data sovereignty, Accelerate build times, Enable air-gapped environments, Consistent performance, Own infrastructure lifecycle","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure on-premises CI/CD deployment success?,"Define KPIs: Build queue time reduction, Cloud cost savings, Build success rate, Artifact storage costs, Developer satisfaction","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for CI/CD infrastructure deployment?,"Typical ranges: 0-3 months (urgent cost reduction), 3-6 months (planned migration), 6-12 months (phased rollout)","",Project timeline and business urgency
BUS-010,Business Requirements,Budget,What is your approved budget range for CI/CD infrastructure?,"Common ranges: $100K-$300K (small build farm), $300K-$500K (medium), $500K-$1M (large). Include both CapEx and OpEx","",Budget constraints for solution sizing
BUS-011,Business Requirements,Cloud Baseline,What are your current monthly cloud CI/CD costs?,"Calculate: GitHub Actions $21/user/month, GitLab SaaS $29/user/month, AWS CodeBuild compute time, egress fees","",ROI baseline for cost comparison
BUS-012,Business Requirements,Growth Projections,How do you expect developer headcount and build volumes to change over 3 years?,"Provide current team size and projected annual growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,CI/CD Platform,What CI/CD platform do you currently use or plan to use?,"Common platforms: Jenkins (open-source), GitLab CI (self-hosted), GitHub Actions (self-hosted runners), Azure DevOps Server, CircleCI Enterprise, TeamCity","",Platform selection and licensing requirements
TECH-002,Technical Requirements,Source Control,What version control system do you use?,"Common: GitHub Enterprise, GitLab self-hosted, Bitbucket Server, Azure DevOps Git, Gitea","",SCM integration and webhook configuration
TECH-003,Technical Requirements,Build Agents,How many concurrent build agents do you need?,"Calculate: peak concurrent builds × average build duration. Typical: 10-20 agents (small), 50-100 agents (medium), 200+ agents (large)","",Build agent capacity and server sizing
TECH-004,Technical Requirements,Agent OS,What operating systems do build agents require?,"Common: Linux (Ubuntu, RHEL, Amazon Linux), Windows Server (for .NET), macOS (for iOS builds - requires Mac hardware)","",OS licensing and infrastructure requirements
TECH-005,Technical Requirements,Container Builds,Do you build container images (Docker, Podman)?,"Container builds require Docker daemon or Podman. Consider dedicated build nodes for security isolation","",Container runtime and build security
TECH-006,Technical Requirements,Artifact Storage,What artifact storage solution do you need?,"Common: JFrog Artifactory, Sonatype Nexus Repository, GitLab Package Registry, Azure Artifacts, AWS CodeArtifact (hybrid)","",Artifact repository sizing and integration
TECH-007,Technical Requirements,Artifact Retention,What is your artifact retention policy?,"Typical: Keep last 10 builds, 90-day retention, 1-year retention for release artifacts. Drives storage capacity","",Storage sizing and lifecycle management
TECH-008,Technical Requirements,Package Types,What package and artifact types do you manage?,"Common: Maven (Java), npm (Node.js), NuGet (.NET), PyPI (Python), Docker images, Helm charts, Terraform modules","",Artifact repository configuration and proxying
TECH-009,Technical Requirements,Build Languages,What programming languages and build tools do you use?,"Common: Java (Maven, Gradle), JavaScript/TypeScript (npm, Yarn), Python (pip), .NET (MSBuild, NuGet), Go (go build), Rust (cargo)","",Build agent software prerequisites
TECH-010,Technical Requirements,Build Duration,What is your average and peak build duration?,"Average: 5-10 minutes typical for microservices, 30-60 minutes for monoliths. Peak builds drive concurrency needs","",Performance requirements and resource allocation
TECH-011,Technical Requirements,Compute Requirements,What CPU and memory requirements do builds have?,"Java builds: 4vCPU 8GB typical. Container builds: 2vCPU 4GB. .NET: 4vCPU 16GB. Large datasets/ML: 8vCPU 32GB","",Server sizing and VM allocation
TECH-012,Technical Requirements,Storage Performance,What storage I/O performance is required for build workspaces?,"Build clones and artifact writes: 1000+ IOPS recommended. SSD preferred for build performance","",Storage tier selection (SSD vs HDD)
TECH-013,Technical Requirements,Network Connectivity,What network bandwidth is required for artifact downloads?,"Artifact proxying and distribution: 1GbE minimum, 10GbE recommended for large teams","",Network infrastructure and switch requirements
TECH-014,Technical Requirements,Internet Access,Do build agents need internet access or air-gapped?,"Internet access: Maven Central, npm registry, Docker Hub proxying. Air-gapped: Artifact caching required","",Network security and artifact mirroring
TECH-015,Technical Requirements,Integration,What systems need to integrate with CI/CD?,"Common integrations: JIRA, Slack, PagerDuty, SonarQube, Checkmarx, Veracode, Kubernetes, AWS/Azure","",Integration scope and webhook configuration
TECH-016,Technical Requirements,Testing,What testing frameworks and tools do you use?,"Common: JUnit (Java), Jest (JavaScript), pytest (Python), NUnit (.NET), Selenium (E2E), Cypress, k6 (load testing)","",Test environment and agent prerequisites
TECH-017,Technical Requirements,Code Quality,What code quality and security scanning tools do you use?,"Common: SonarQube, Snyk, Checkmarx, Veracode, GitHub Advanced Security, OWASP Dependency-Check","",Security scanning integration and licensing
TECH-018,Technical Requirements,Secrets Management,What secrets management solution do you use for CI/CD?,"Common: HashiCorp Vault, AWS Secrets Manager (hybrid), Azure Key Vault, CyberArk, Jenkins Credentials Plugin","",Secrets injection and security architecture
SEC-001,Security & Compliance,Air-Gapped,Do you require air-gapped CI/CD for classified or sensitive builds?,"Air-gapped: No internet, artifact mirroring required. Common for defense, finance, healthcare","",Network isolation and compliance requirements
SEC-002,Security & Compliance,Build Isolation,What build isolation and security boundaries are required?,"Options: Shared build agents, VM-per-build, Container-per-build, Dedicated agents per team","",Security architecture and multi-tenancy
SEC-003,Security & Compliance,Code Access,What source code access controls and authentication are required?,"SSH keys, personal access tokens (PAT), OAuth apps, SAML SSO for Git access","",Identity management and access control
