#WIDTH:  45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN:  left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,powerswitch-datacenter,powerswitch-datacenter,powerswitch-datacenter,Solution name for resource naming,Yes,String,Valid string value,Public,Network Team,,PSD solution identifier,2025-12-03
solution.abbr,Project,psd,psd,psd,Solution abbreviation (3-4 chars),Yes,String,Valid string value,Public,Network Team,,Used in resource naming prefix,2025-12-03
solution.provider_name,Project,dell,dell,dell,Provider organization name,Yes,String,Valid string value,Public,Network Team,,Dell provider,2025-12-03
solution.category_name,Project,network,network,network,Solution category,Yes,String,Valid string value,Public,Network Team,,Network category,2025-12-03
datacenter.name,Project,Primary Datacenter,Lab Environment,DR Datacenter,Datacenter facility name,Yes,String,Valid string,Public,Infrastructure,,Physical location name,2025-12-03
ownership.cost_center,Project,CC-NET-001,CC-NET-001,CC-NET-001,Cost center,Yes,String,Valid string,Public,Infrastructure,,From SOW cost allocation,2025-12-03
ownership.owner_email,Project,netops@company.com,netops@company.com,netops@company.com,Owner email,Yes,String,Valid email,Confidential,Infrastructure,,Team notifications,2025-12-03
fabric.spine_switch_model,Spine Layer,Z9432F-ON,S5248F-ON,Z9432F-ON,Spine switch model,Yes,String,Valid PowerSwitch model,Public,Network Team,,32x400GbE or 128x100GbE ports,2025-12-03
fabric.spine_switch_count,Spine Layer,4,2,2,Number of spine switches,Yes,Integer,2-8,Public,Network Team,,4-way spine for full redundancy,2025-12-03
fabric.spine_port_config,Spine Layer,100GbE,25GbE,100GbE,Spine port speed configuration,Yes,String,100GbE|400GbE,Public,Network Team,,Breakout to 100GbE for leaf uplinks,2025-12-03
fabric.leaf_switch_model,Leaf Layer,S5248F-ON,S5248F-ON,S5248F-ON,ToR leaf switch model,Yes,String,Valid PowerSwitch model,Public,Network Team,,48x25GbE + 8x100GbE ports,2025-12-03
fabric.leaf_switch_count,Leaf Layer,40,4,20,Number of leaf switches (1 per rack),Yes,Integer,2-100,Public,Network Team,,40 racks in production,2025-12-03
fabric.leaf_uplink_count,Leaf Layer,4,2,4,Number of 100GbE uplinks per leaf,Yes,Integer,2-8,Public,Network Team,,4 uplinks to 4 spines,2025-12-03
fabric.server_port_count,Leaf Layer,48,48,48,Server-facing ports per leaf switch,Yes,Integer,24-48,Public,Network Team,,25GbE server connectivity,2025-12-03
fabric.total_server_ports,Capacity,1920,192,960,Total server ports in fabric,Yes,Integer,100-5000,Public,Network Team,,leafs x 48 ports,2025-12-03
fabric.bandwidth_tbps,Performance,1.6,0.2,0.8,Aggregate fabric bandwidth in Tbps,Yes,Float,0.4-6.4,Public,Network Team,,Aggregate capacity,2025-12-03
fabric.east_west_latency_us,Performance,2,5,2,Target east-west latency in microseconds,Yes,Integer,1-10,Public,Network Team,,<2 microsecond SLA,2025-12-03
bgp.spine_asn,Routing,65000,65100,65200,Spine BGP ASN for underlay,Yes,Integer,64512-65534,Public,Network Team,,Private ASN range,2025-12-03
bgp.leaf_asn_start,Routing,65001,65101,65201,Leaf BGP ASN range start,Yes,Integer,64512-65534,Public,Network Team,,Unique ASN per leaf,2025-12-03
bgp.leaf_asn_end,Routing,65040,65102,65220,Leaf BGP ASN range end,Yes,Integer,64512-65534,Public,Network Team,,Unique ASN per leaf,2025-12-03
bgp.keepalive,Routing,3,3,3,BGP keepalive timer seconds,Yes,Integer,1-60,Public,Network Team,,Fast convergence,2025-12-03
bgp.holdtime,Routing,9,9,9,BGP holdtime timer seconds,Yes,Integer,3-180,Public,Network Team,,3x keepalive,2025-12-03
evpn.enabled,Overlay,true,false,true,Enable EVPN control plane,Yes,Boolean,true|false,Public,Network Team,,Type-2 and Type-5 routes,2025-12-03
evpn.vni_range_start,Overlay,10000,10000,10000,VXLAN VNI range start,Yes,Integer,1-16777215,Public,Network Team,,VNI allocation start,2025-12-03
evpn.vni_range_end,Overlay,19999,19999,19999,VXLAN VNI range end,Yes,Integer,1-16777215,Public,Network Team,,10000 VNI capacity,2025-12-03
network.vlan_count,Network Segmentation,500,50,500,Number of VLANs supported,Yes,Integer,100-4000,Public,Network Team,,Extended via VXLAN,2025-12-03
authentication.tacacs_enabled,Authentication,true,false,true,Enable TACACS+ authentication,Yes,Boolean,true|false,Public,Security Team,,Centralized authentication,2025-12-03
authentication.tacacs_server,Authentication,[tacacs.domain.com],,[tacacs.domain.com],TACACS+ server address,No,String,Valid FQDN,Confidential,Security Team,,Central AAA server,2025-12-03
authentication.ssh_enabled,Management,true,true,true,Enable SSH management access,Yes,Boolean,true|false,Public,Network Team,,SSHv2 only,2025-12-03
management.snmp_version,Monitoring,v3,v3,v3,SNMP version for monitoring,Yes,String,v2c|v3,Public,Network Team,,SNMPv3 for security,2025-12-03
management.syslog_server,Logging,[syslog.domain.com],[syslog.domain.com],[syslog.domain.com],Centralized syslog server,Yes,String,Valid FQDN,Public,Network Team,,All switch logs,2025-12-03
management.ntp_server,Time Sync,[ntp.domain.com],[ntp.domain.com],[ntp.domain.com],NTP server address,Yes,String,Valid FQDN,Public,Network Team,,Required for logging,2025-12-03
management.openmanage_enabled,Management,true,false,true,Enable OpenManage Enterprise integration,Yes,Boolean,true|false,Public,Network Team,,Centralized management,2025-12-03
security.ztp_enabled,Automation,true,true,true,Enable Zero Touch Provisioning,Yes,Boolean,true|false,Public,Network Team,,DHCP-based provisioning,2025-12-03
