Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your data center network modernization project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this network infrastructure project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What network challenges are you trying to solve with PowerSwitch infrastructure?,"Common challenges: Aging Cisco infrastructure end-of-life, High SmartNet costs, Insufficient bandwidth for cloud-native apps, Lack of automation, Complex multi-vendor management","",Primary business driver for network modernization
BUS-004,Business Requirements,Current State,What is your current data center network infrastructure?,"Describe core/distribution/access layers, switch vendors (Cisco, Arista, Juniper), bandwidth, and pain points","",Current state baseline assessment
BUS-005,Business Requirements,Data Center Size,How many server racks are in your data center?,Typical ranges: 10-20 racks, 21-40 racks, 41-100 racks, 100+ racks","",Determines spine-leaf scale and switch quantity
BUS-006,Business Requirements,Workload Types,What applications run in your data center?,"Common types: Virtualization (VMware, Hyper-V), Kubernetes/containers, Storage (SAN/NAS), Database clusters, Cloud-native microservices","",Workload classification drives bandwidth and latency requirements
BUS-007,Business Requirements,Objectives,What are your primary goals for deploying PowerSwitch network?,"Common goals: Reduce Cisco costs, Increase bandwidth (25/100GbE), Enable automation, Support VXLAN multi-tenancy, Simplify operations","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure network deployment success?,"Define KPIs: Cost savings vs Cisco baseline, Latency reduction, Zero outages during migration, Automation adoption, Time to provision new VLANs","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for network deployment and migration?,"Typical ranges: 0-4 weeks pilot, 1-3 months phased rollout, 3-6 months full deployment","",Project timeline expectations and migration windows
BUS-010,Business Requirements,Budget,What is your approved budget range for network infrastructure?,"Common ranges: $500K-$1M, $1M-$2M, $2M-$5M, $5M+. Include both CapEx (hardware) and OpEx (support)","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for data center networking?,"Consider expansion to more racks, multi-site interconnect, hybrid cloud, SDN orchestration","",Future roadmap and scalability planning
BUS-012,Business Requirements,Growth Projections,How do you expect rack count and bandwidth needs to change over 3 years?,"Provide current rack count and projected annual growth rate (10%, 25%, 50%)","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Network Architecture,What network topology do you currently use?,"Common topologies: Traditional 3-tier (core/distribution/access), Spine-leaf (Clos), Collapsed core, Hybrid","",Current architecture baseline for migration planning
TECH-002,Technical Requirements,Network Architecture,Are you interested in spine-leaf (Clos) fabric architecture?,"Spine-leaf provides 3:1 oversubscription with any-to-any bandwidth and horizontal scalability","",Determines architecture design approach
TECH-003,Technical Requirements,Bandwidth Requirements,What server uplink bandwidth is required per rack?,"Options: 1GbE adequate, 10GbE standard, 25GbE preferred, 40GbE high-performance","",Leaf switch port speed selection
TECH-004,Technical Requirements,Bandwidth Requirements,What spine fabric bandwidth is required?,"Options: 40GbE spines, 100GbE spines (standard), 400GbE spines (future-ready)","",Spine switch and optics selection
TECH-005,Technical Requirements,Server Density,How many servers per rack on average?,"Typical: 10-20 servers/rack (enterprise), 30-40 servers/rack (dense), 40+ servers/rack (hyperscale)","",Determines leaf switch port count (48-port vs 96-port)
TECH-006,Technical Requirements,Network Services,What network services must the fabric support?,"Services: VLANs only, VXLAN overlay, BGP EVPN, Multi-tenancy, QoS, Multicast","",Feature requirements for OS10 configuration
TECH-007,Technical Requirements,Routing Protocol,What routing protocol preference do you have?,"Options: OSPF (traditional), BGP (modern spine-leaf standard), EIGRP (Cisco legacy), IS-IS","",Routing protocol design for underlay
TECH-008,Technical Requirements,Overlay Technology,Do you need network virtualization (VXLAN overlay)?,"VXLAN with EVPN provides multi-tenancy and Layer 2 stretch across spine-leaf fabric","",Overlay network requirements
TECH-009,Technical Requirements,Management Preference,What network management approach do you prefer?,"Options: CLI only, Web GUI (OS10 Enterprise), Centralized (SmartFabric), Automation (Ansible/Python)","",Management tooling and automation requirements
TECH-010,Technical Requirements,Automation Requirements,What network automation capabilities do you need?,"Capabilities: Zero-touch provisioning (ZTP), Configuration templates, Ansible playbooks, Python scripting, GitOps","",Automation maturity and requirements
TECH-011,Technical Requirements,Legacy Infrastructure,What existing network vendor equipment will be replaced?,"Common vendors: Cisco (Nexus, Catalyst), Arista, Juniper, HP/Aruba, Brocade","",Migration source and compatibility considerations
TECH-012,Technical Requirements,Cisco Dependency,Do you have dependencies on Cisco-specific features?,"Cisco features: vPC (use VLT on Dell), FabricPath (use VXLAN), Nexus 1000V (use NSX)","",Feature parity analysis and workarounds
TECH-013,Technical Requirements,Interoperability,Must PowerSwitch interoperate with existing vendor equipment during migration?,"Common: Cisco core during transition, Arista leaf, Juniper WAN edge","",Multi-vendor interoperability requirements
TECH-014,Technical Requirements,OS Version,What Dell OS10 version and features are required?,"OS10 versions: Enterprise (full features), Enterprise Lite (subset), consider automation needs","",Software licensing and feature requirements
TECH-015,Technical Requirements,Optics and Cabling,What cabling infrastructure exists in the data center?,"Cabling: Copper DAC (short-reach), Fiber multimode (100m), Fiber singlemode (long-reach 10km+)","",Optics selection and cabling constraints
TECH-016,Technical Requirements,Redundancy,What network redundancy is required?,"Redundancy: Single ToR acceptable, Dual ToR per rack (standard), N+1 spine, Dual-plane spine-leaf","",High availability architecture requirements
TECH-017,Technical Requirements,Latency SLA,What latency requirements do your applications have?,"Latency: <10ms adequate (standard apps), <2ms preferred (databases), <1ms required (HFT/HPC)","",Performance requirements for spine-leaf design
TECH-018,Technical Requirements,Throughput,What aggregate fabric throughput is required?,"Throughput: 400Gbps (10 racks 10GbE), 1Tbps (20 racks 25GbE), 1.6Tbps+ (40 racks 25GbE)","",Spine-leaf bandwidth sizing
TECH-019,Technical Requirements,Port Count,How many total server ports are needed across all racks?,"Calculate: racks × servers/rack × ports/server. Example: 40 racks × 30 servers × 2 ports = 2400 ports","",Total leaf switch port quantity
TECH-020,Technical Requirements,Out-of-Band Management,Do you need out-of-band management network?,"OOB provides dedicated management access independent of production fabric","",Management network requirements
SEC-001,Security & Compliance,Network Segmentation,What network segmentation is required?,"Segmentation: VLANs only, VXLAN multi-tenancy, Micro-segmentation, PCI DSS zones, DMZ isolation","",Security architecture and compliance requirements
SEC-002,Security & Compliance,Access Control,What network access control requirements apply?,"Access control: 802.1X NAC, MAC authentication, TACACS+ (Cisco ACS), RADIUS, Certificate-based","",Authentication and authorization requirements
SEC-003,Security & Compliance,Compliance Standards,What compliance standards must the network infrastructure meet?,"Common standards: SOC 2, ISO 27001, PCI DSS, HIPAA, FedRAMP, NIST 800-53","",Compliance controls and audit requirements
SEC-004,Security & Compliance,Encryption,What encryption is required for network traffic?,"Encryption: MACsec (Layer 2), IPsec (Layer 3), TLS (application), No encryption","",Data protection and encryption requirements
SEC-005,Security & Compliance,Audit Logging,What audit and logging requirements do you have?,"Requirements: Syslog, SNMP traps, Configuration change audit, User access logs, Compliance reporting","",Audit trail and compliance reporting needs
