#WIDTH: 45,14,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,github-advanced-security,github-advanced-security,github-advanced-security,Solution name for resource naming,Yes,String,Valid string value,Public,Security Team,,Solution identifier,2025-12-03
solution.abbr,Project,ghas,ghas,ghas,Solution abbreviation (3-4 chars),Yes,String,3-8 lowercase,Public,Security Team,,Used in resource naming,2025-12-03
solution.version,Project,1.0.0,1.0.0,1.0.0,Current GHAS deployment version,Yes,String,Semantic versioning,Public,Security Team,,Release version,2025-12-03
solution.provider_name,Project,github,github,github,Provider organization name,Yes,String,Valid string value,Public,Security Team,,GitHub provider,2025-12-03
solution.category_name,Project,cyber-security,cyber-security,cyber-security,Solution category,Yes,String,Valid string value,Public,Security Team,,Security category,2025-12-03
ownership.cost_center,Project,CC-SEC-001,CC-SEC-001,CC-SEC-001,Cost center for billing,Yes,String,CC format,Public,Security Team,,Billing allocation,2025-12-03
ownership.owner_email,Project,security-team@company.com,dev-team@company.com,security-team@company.com,Team email for ownership,Yes,String,Valid email,Confidential,Security Team,,Alert notifications,2025-12-03
ownership.project_code,Project,PRJ-GHAS-2025,PRJ-GHAS-2025,PRJ-GHAS-2025,Project tracking code,Yes,String,PRJ format,Public,Security Team,,Tracking code,2025-12-03
github.enterprise_url,GitHub,https://github.com,https://github.com,https://github.com,GitHub Enterprise Cloud base URL,Yes,String,Valid HTTPS URL,Public,GitHub Admin,,Enterprise Cloud uses github.com,2025-12-03
github.organization_name,GitHub,[organization-name],[organization-name-test],[organization-name],GitHub organization name,Yes,String,Valid GitHub org name,Confidential,GitHub Admin,,Primary organization,2025-12-03
github.enterprise_license,GitHub,[license-id],[license-id-test],[license-id],GitHub Enterprise Cloud license identifier,Yes,String,Valid license ID,Secret,GitHub Admin,,License key,2025-12-03
github.ghas_committers,GitHub,80,20,80,GHAS active committers (90-day rolling),Yes,Integer,1-1000,Confidential,GitHub Admin,,Licensed seats,2025-12-03
github.total_repositories,GitHub,200,50,200,Total repositories in organization,Yes,Integer,1-10000,Public,GitHub Admin,,Scope of scanning,2025-12-03
github.total_developers,GitHub,100,25,100,Total active developers,Yes,Integer,1-10000,Public,GitHub Admin,,User count,2025-12-03
auth.api_token,Authentication,[github-pat-token],[github-pat-test-token],[github-pat-token],GitHub PAT for API access,Yes,String,ghp_* format,Secret,Security Team,,Rotate quarterly,2025-12-03
auth.app_id,Authentication,[app-id],[app-id-test],[app-id],GitHub App ID for authentication,No,String,Numeric,Confidential,Security Team,,App authentication,2025-12-03
auth.app_private_key,Authentication,[app-private-key],[app-private-key-test],[app-private-key],GitHub App private key,No,String,Valid RSA key,Secret,Security Team,,App authentication,2025-12-03
auth.saml_entity_id,Authentication,[idp-entity-id],[idp-entity-id],[idp-entity-id],SAML Identity Provider entity ID,Yes,String,Valid entity ID URI,Confidential,Security Team,,SSO configuration,2025-12-03
auth.saml_sso_url,Authentication,[sso-login-url],[sso-login-url],[sso-login-url],SAML Single Sign-On URL,Yes,String,Valid HTTPS URL,Confidential,Security Team,,IdP login URL,2025-12-03
auth.saml_certificate,Authentication,[base64-certificate],[base64-certificate],[base64-certificate],SAML signing certificate,Yes,String,Valid X.509 base64,Secret,Security Team,,IdP certificate,2025-12-03
auth.mfa_enforcement,Authentication,required,required,required,Multi-factor authentication requirement,Yes,String,required|optional,Public,Security Team,,Security policy,2025-12-03
codeql.enabled,CodeScanning,true,true,true,Enable CodeQL analysis,Yes,Boolean,true|false,Public,Security Team,,Core scanning,2025-12-03
codeql.languages,CodeScanning,"javascript,python,java,csharp,go","javascript,python","javascript,python,java,csharp,go",Languages enabled for CodeQL,Yes,String,Comma-separated,Public,Security Team,,Full coverage for prod,2025-12-03
codeql.query_suites,CodeScanning,security-extended,security-extended,security-extended,CodeQL query suite,Yes,String,default|security-extended|security-and-quality,Public,Security Team,,Extended rules,2025-12-03
codeql.schedule,CodeScanning,"0 2 * * *","0 3 * * *","0 2 * * *",Cron schedule for full scans,Yes,String,Valid cron expression,Public,Security Team,,Daily at 2 AM,2025-12-03
codeql.timeout_minutes,CodeScanning,60,45,60,Maximum scan duration (minutes),Yes,Integer,15-120,Public,Security Team,,Timeout protection,2025-12-03
codeql.ram_mb,CodeScanning,4096,2048,4096,Memory allocation (MB),Yes,Integer,2048-16384,Public,Security Team,,Analysis resources,2025-12-03
codeql.threads,CodeScanning,2,2,2,CPU threads for analysis,Yes,Integer,1-4,Public,Security Team,,Parallelism,2025-12-03
codeql.custom_queries_repo,CodeScanning,[org]/codeql-custom-queries,[org]/codeql-test-queries,[org]/codeql-custom-queries,Custom queries repository,Yes,String,Valid repo path,Confidential,Security Team,,Custom rules,2025-12-03
codeql.custom_queries_path,CodeScanning,queries,queries,queries,Path to custom queries,Yes,String,Valid directory,Public,Security Team,,Queries location,2025-12-03
codeql.custom_queries_count,CodeScanning,15,5,15,Number of custom queries,Yes,Integer,0-100,Public,Security Team,,Custom rule count,2025-12-03
secret_scanning.enabled,SecretScanning,true,true,true,Enable secret scanning,Yes,Boolean,true|false,Public,Security Team,,Secret detection,2025-12-03
secret_scanning.push_protection_enabled,SecretScanning,true,false,true,Enable push protection,Yes,Boolean,true|false,Public,Security Team,,Block secrets on push,2025-12-03
secret_scanning.custom_patterns_count,SecretScanning,5,2,5,Number of custom patterns,Yes,Integer,0-100,Public,Security Team,,Custom secret patterns,2025-12-03
secret_scanning.bypass_workflow,SecretScanning,require-approval,self-approve,require-approval,Push protection bypass workflow,Yes,String,require-approval|self-approve,Confidential,Security Team,,Bypass controls,2025-12-03
secret_scanning.alert_threshold,SecretScanning,0,5,0,Alert threshold before blocking,Yes,Integer,0-100,Public,Security Team,,Zero tolerance prod,2025-12-03
dependabot.enabled,Dependabot,true,true,true,Enable Dependabot alerts,Yes,Boolean,true|false,Public,Security Team,,Vulnerability alerts,2025-12-03
dependabot.security_updates,Dependabot,true,true,true,Enable security update PRs,Yes,Boolean,true|false,Public,Security Team,,Auto-remediation,2025-12-03
dependabot.version_updates,Dependabot,false,false,false,Enable version updates,Yes,Boolean,true|false,Public,Security Team,,Non-security updates,2025-12-03
dependabot.schedule,Dependabot,daily,weekly,daily,Check frequency,Yes,String,daily|weekly|monthly,Public,Security Team,,Scan cadence,2025-12-03
dependabot.package_ecosystems,Dependabot,"npm,pip,maven,nuget,go","npm,pip","npm,pip,maven,nuget,go",Package ecosystems,Yes,String,Comma-separated,Public,Security Team,,Dependency types,2025-12-03
branch_protection.enabled,SecurityPolicy,true,false,true,Enable branch protection,Yes,Boolean,true|false,Public,Security Team,,Policy enforcement,2025-12-03
branch_protection.require_codeql_pass,SecurityPolicy,true,false,true,Require CodeQL to pass,Yes,Boolean,true|false,Public,Security Team,,Merge gate,2025-12-03
branch_protection.required_reviews,SecurityPolicy,2,1,2,Required PR approvals,Yes,Integer,0-6,Public,Security Team,,Review count,2025-12-03
branch_protection.require_codeowner_review,SecurityPolicy,true,false,true,Require code owner review,Yes,Boolean,true|false,Public,Security Team,,CODEOWNERS,2025-12-03
branch_protection.dismiss_stale_reviews,SecurityPolicy,true,true,true,Dismiss stale reviews,Yes,Boolean,true|false,Public,Security Team,,Re-review on changes,2025-12-03
branch_protection.require_linear_history,SecurityPolicy,true,false,true,Require linear history,Yes,Boolean,true|false,Public,Security Team,,Clean history,2025-12-03
branch_protection.allow_force_pushes,SecurityPolicy,false,false,false,Allow force pushes,Yes,Boolean,true|false,Public,Security Team,,Always disabled,2025-12-03
branch_protection.allow_deletions,SecurityPolicy,false,false,false,Allow branch deletions,Yes,Boolean,true|false,Public,Security Team,,Protected deletion,2025-12-03
sla.critical_hours,VulnerabilitySLA,24,48,24,Critical vulnerability SLA (hours),Yes,Integer,1-168,Public,Security Team,,24-hour response,2025-12-03
sla.high_hours,VulnerabilitySLA,168,336,168,High vulnerability SLA (hours),Yes,Integer,24-720,Public,Security Team,,7-day response,2025-12-03
sla.medium_hours,VulnerabilitySLA,720,1440,720,Medium vulnerability SLA (hours),Yes,Integer,168-2160,Public,Security Team,,30-day response,2025-12-03
sla.low_hours,VulnerabilitySLA,2160,4320,2160,Low vulnerability SLA (hours),Yes,Integer,720-8760,Public,Security Team,,90-day response,2025-12-03
detection.confidence_threshold,Detection,0.85,0.80,0.85,Minimum confidence for auto-processing,Yes,Float,0.0-1.0,Public,Security Team,,Auto-triage threshold,2025-12-03
detection.accuracy_target,Detection,0.95,0.90,0.95,Target detection accuracy rate,Yes,Float,0.80-0.99,Public,Security Team,,Quality target,2025-12-03
detection.false_positive_threshold,Detection,0.10,0.15,0.10,Maximum false positive rate,Yes,Float,0.01-0.20,Public,Security Team,,Noise tolerance,2025-12-03
integration.siem_webhook_url,Integration,[siem-webhook-endpoint],[siem-test-endpoint],[siem-webhook-endpoint],SIEM webhook URL,Yes,String,Valid HTTPS URL,Secret,Security Team,,Alert forwarding,2025-12-03
integration.siem_webhook_secret,Integration,[webhook-secret],[webhook-test-secret],[webhook-secret],SIEM webhook secret,Yes,String,Min 32 characters,Secret,Security Team,,Webhook validation,2025-12-03
integration.siem_event_types,Integration,"code-scanning,secret-scanning,dependabot","code-scanning,secret-scanning","code-scanning,secret-scanning,dependabot",Event types to forward,Yes,String,Comma-separated,Confidential,Security Team,,Event filtering,2025-12-03
integration.siem_platform,Integration,Splunk,Azure Sentinel,Splunk,SIEM platform type,Yes,String,Splunk|Azure Sentinel|both,Public,Security Team,,Integration target,2025-12-03
integration.splunk_hec_url,Integration,[splunk-hec-url],[splunk-test-url],[splunk-hec-url],Splunk HEC URL,No,String,Valid HTTPS URL,Secret,Security Team,,Splunk integration,2025-12-03
integration.splunk_hec_token,Integration,[splunk-hec-token],[splunk-test-token],[splunk-hec-token],Splunk HEC token,No,String,Valid token,Secret,Security Team,,HEC authentication,2025-12-03
integration.sentinel_workspace_id,Integration,[sentinel-workspace-id],[sentinel-test-workspace],[sentinel-workspace-id],Azure Sentinel workspace ID,No,String,GUID format,Confidential,Security Team,,Sentinel integration,2025-12-03
integration.sentinel_shared_key,Integration,[sentinel-shared-key],[sentinel-test-key],[sentinel-shared-key],Azure Sentinel shared key,No,String,Base64 encoded,Secret,Security Team,,Sentinel authentication,2025-12-03
integration.jira_base_url,Integration,[jira-instance-url],[jira-test-url],[jira-instance-url],JIRA instance base URL,Yes,String,Valid HTTPS URL,Confidential,Security Team,,Ticket integration,2025-12-03
integration.jira_project_key,Integration,[project-key],[test-project-key],[project-key],JIRA project key,Yes,String,Valid project key,Confidential,Security Team,,Security project,2025-12-03
integration.jira_api_token,Integration,[jira-api-token],[jira-test-token],[jira-api-token],JIRA API token,Yes,String,Valid API token,Secret,Security Team,,JIRA authentication,2025-12-03
integration.servicenow_url,Integration,[servicenow-url],[servicenow-test-url],[servicenow-url],ServiceNow instance URL,No,String,Valid HTTPS URL,Confidential,Security Team,,ITSM integration,2025-12-03
integration.servicenow_api_key,Integration,[servicenow-key],[servicenow-test-key],[servicenow-key],ServiceNow API key,No,String,Valid API key,Secret,Security Team,,ServiceNow auth,2025-12-03
notifications.slack_webhook_url,Notifications,[slack-webhook-url],[slack-test-webhook],[slack-webhook-url],Slack webhook URL,No,String,Valid Slack webhook,Secret,Security Team,,Slack alerts,2025-12-03
notifications.teams_webhook_url,Notifications,[teams-webhook-url],[teams-test-webhook],[teams-webhook-url],Teams webhook URL,No,String,Valid Teams webhook,Secret,Security Team,,Teams alerts,2025-12-03
notifications.pagerduty_routing_key,Notifications,[pagerduty-key],[pagerduty-test-key],[pagerduty-key],PagerDuty routing key,No,String,Valid routing key,Secret,Security Team,,Incident routing,2025-12-03
notifications.alert_email_recipients,Notifications,security-team@company.com,dev-team@company.com,security-team@company.com,Alert email distribution,Yes,String,Valid emails,Confidential,Security Team,,Email alerts,2025-12-03
notifications.email_enabled,Notifications,true,true,true,Enable email notifications,Yes,Boolean,true|false,Public,Security Team,,Email toggle,2025-12-03
notifications.slack_enabled,Notifications,true,true,true,Enable Slack notifications,Yes,Boolean,true|false,Public,Security Team,,Slack toggle,2025-12-03
notifications.teams_enabled,Notifications,false,false,false,Enable Teams notifications,Yes,Boolean,true|false,Public,Security Team,,Teams toggle,2025-12-03
notifications.pagerduty_enabled,Notifications,true,false,true,Enable PagerDuty integration,Yes,Boolean,true|false,Public,Security Team,,PagerDuty toggle,2025-12-03
monitoring.audit_log_retention_days,Monitoring,365,90,365,Audit log retention (days),Yes,Integer,90-730,Public,Security Team,,Compliance retention,2025-12-03
monitoring.metrics_enabled,Monitoring,true,true,true,Enable metrics collection,Yes,Boolean,true|false,Public,Security Team,,Security metrics,2025-12-03
monitoring.security_overview_enabled,Monitoring,true,true,true,Enable Security Overview dashboard,Yes,Boolean,true|false,Public,Security Team,,Dashboard toggle,2025-12-03
monitoring.alerts_enabled,Monitoring,true,false,true,Enable monitoring alerts,Yes,Boolean,true|false,Public,Security Team,,Alert toggle,2025-12-03
monitoring.dashboard_enabled,Monitoring,true,false,true,Enable monitoring dashboard,Yes,Boolean,true|false,Public,Security Team,,Dashboard toggle,2025-12-03
monitoring.log_level,Monitoring,INFO,DEBUG,INFO,Logging verbosity level,Yes,String,DEBUG|INFO|WARN|ERROR,Public,Security Team,,Log detail,2025-12-03
monitoring.health_check_interval,Monitoring,300,600,300,Health check frequency (seconds),Yes,Integer,60-3600,Public,Security Team,,Health polling,2025-12-03
compliance.frameworks,Compliance,"SOC2,PCI-DSS","SOC2","SOC2,PCI-DSS",Compliance frameworks,Yes,String,Comma-separated,Public,Security Team,,Applicable standards,2025-12-03
