# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0),,,,,,,,,,
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes,,,,,
Solution Scope,Active Developers,100 developers,100 developers,250 developers,500+ developers,GitHub Enterprise user count,,,,,
Solution Scope,Active Committers (GHAS),80 committers (90-day),80 committers,200 committers,400+ committers,GHAS pricing based on commit activity,,,,,
Integration,Total Repositories,200 repositories,200 repositories,500 repositories,1000+ repositories,Code scanning coverage scope,,,,,
Integration,Programming Languages,5-7 languages,5-7 languages,8-12 languages,15+ languages,CodeQL language support required,,,,,
Integration,CI/CD Platform,GitHub Actions,GitHub Actions only,GitHub Actions + Jenkins,Multi-platform CI/CD,Pipeline integration complexity,,,,,
Integration,SIEM Integration,Splunk Azure Sentinel,1 SIEM,2 SIEMs,3+ security platforms,Security event aggregation,,,,,
User Base,Security Team Size,3-5 security engineers,3-5 engineers,8-12 engineers,20+ engineers,AppSec and security operations,,,,,
User Base,Development Teams,8-10 teams,8-10 teams,15-20 teams,30+ teams,Team onboarding and training scope,,,,,
Data Volume,Code Scanning Frequency,Per pull request,Per PR,Per commit,Continuous scanning,CodeQL analysis frequency,,,,,
Technical Environment,CodeQL Custom Queries,10-15 custom queries,10-15 queries,25-40 queries,60+ queries,Org-specific security patterns,,,,,
Technical Environment,GitHub Platform,Enterprise Cloud,Enterprise Cloud,Enterprise Server,Hybrid Cloud + Server,Deployment model complexity,,,,,
Security & Compliance,Compliance Frameworks,SOC 2 PCI-DSS,2 frameworks,3-4 frameworks,5+ frameworks,Regulatory compliance requirements,,,,,
Security & Compliance,Secret Scanning,Partner + custom patterns,Standard patterns,Advanced patterns,Enterprise + ML patterns,Secret detection scope,,,,,
Performance,Deployment Environments,Dev staging production,3 environments,4 environments,6+ environments,Environment management complexity,,,,,
# ESTIMATE SETTINGS,,,,,,,,,,
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks,,,,,,,
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Security Assessment, Repository Analysis, GHAS Evaluation, Compliance Review)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (GHAS Architecture, CodeQL Strategy, Integration Design, Project Planning)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (GHAS Setup, CodeQL Configuration, Custom Queries, CI/CD Integration, SIEM Integration)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (CodeQL Testing, False Positive Analysis, Performance Testing, Security Validation)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Rollout, Repository Enablement, Go-Live Support)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (Security Champion Training, Developer Training, Administrator Training, Documentation)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Security Baseline)",,,,,,,
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours,,,,,,,
Leadership,LEADERSHIP_MX,1,Quarterback/Technical Leadership overhead - 10% of actual engineering hours,,,,,,,
# Level of Effort,
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Security Assessment,Conduct current state security posture and vulnerability assessment,EO Engineer,32,='Estimate Settings'!$C$3,=$E33*$F33,$225,"=TEXT($G33*$H33,""$#,##0"")",,Includes security debt analysis and current tooling evaluation
Discovery,Repository Analysis,Analyze repository structure languages and scanning requirements,EO Engineer,24,='Estimate Settings'!$C$3,=$E34*$F34,$200,"=TEXT($G34*$H34,""$#,##0"")",,Customer must provide repository inventory and access
Discovery,GHAS Evaluation,Evaluate GitHub Advanced Security features and requirements,EO Engineer,24,='Estimate Settings'!$C$3,=$E35*$F35,$200,"=TEXT($G35*$H35,""$#,##0"")",,Assess CodeQL secret scanning dependency scanning needs
Discovery,Compliance Review,Assess security compliance and regulatory requirements,EO Engineer,16,='Estimate Settings'!$C$3,=$E36*$F36,$175,"=TEXT($G36*$H36,""$#,##0"")",,Identifies SOC 2 PCI-DSS HIPAA compliance drivers
Planning,GHAS Architecture Design,Design GitHub Advanced Security architecture and workflow,EO Engineer,40,='Estimate Settings'!$C$4,=$E37*$F37,$225,"=TEXT($G37*$H37,""$#,##0"")",Security Assessment,Deliverable: GHAS architecture with scanning workflow design
Planning,CodeQL Strategy Design,Design CodeQL configuration and custom query requirements,EO Engineer,32,='Estimate Settings'!$C$4,=$E38*$F38,$225,"=TEXT($G38*$H38,""$#,##0"")",Repository Analysis,Custom queries for org-specific security patterns
Planning,Integration Design,Design CI/CD integration and SIEM security event routing,EO Engineer,24,='Estimate Settings'!$C$4,=$E39*$F39,$200,"=TEXT($G39*$H39,""$#,##0"")",GHAS Evaluation,GitHub Actions workflows and Splunk/Sentinel integration
Planning,Project Planning,Develop implementation timeline and phased rollout plan,EO Engineer,24,='Estimate Settings'!$C$4,=$E40*$F40,$140,"=TEXT($G40*$H40,""$#,##0"")",GHAS Architecture Design,Deliverable: Phased rollout by team and repository priority
Development,GHAS Platform Setup,Configure GitHub Advanced Security and organization settings,EO Engineer,40,='Estimate Settings'!$C$5,=$E41*$F41,$225,"=TEXT($G41*$H41,""$#,##0"")",GHAS Architecture Design,Enable GHAS code scanning secret scanning for organization
Development,CodeQL Configuration,Configure CodeQL analysis for JavaScript Python Java C# Go,EO Engineer,48,='Estimate Settings'!$C$5,=$E42*$F42,$225,"=TEXT($G42*$H42,""$#,##0"")",GHAS Platform Setup,CodeQL setup for 5-7 languages with standard queries
Development,Custom Query Development,Develop 10-15 custom CodeQL queries for org security policies,EO Engineer,60,='Estimate Settings'!$C$5,=$E43*$F43,$225,"=TEXT($G43*$H43,""$#,##0"")",CodeQL Configuration,Company-specific patterns framework rules business logic
Development,Secret Scanning Setup,Configure secret scanning with partner and custom patterns,EO Engineer,24,='Estimate Settings'!$C$5,=$E44*$F44,$200,"=TEXT($G44*$H44,""$#,##0"")",GHAS Platform Setup,API keys tokens credentials with push protection
Development,Dependency Scanning,Configure Dependabot alerts and automated updates,EO Engineer,24,='Estimate Settings'!$C$5,=$E45*$F45,$180,"=TEXT($G45*$H45,""$#,##0"")",GHAS Platform Setup,Software composition analysis and CVE monitoring
Development,Policy Configuration,Configure branch protection PR checks and merge blocking,EO Engineer,30,='Estimate Settings'!$C$5,=$E46*$F46,$200,"=TEXT($G46*$H46,""$#,##0"")",Custom Query Development,Security policies and required status checks
Development,CI/CD Integration,Integrate security scanning into GitHub Actions workflows,EO Engineer,40,='Estimate Settings'!$C$5,=$E47*$F47,$200,"=TEXT($G47*$H47,""$#,##0"")",Policy Configuration,Automated scanning in build and deployment pipelines
Development,SIEM Integration,Integrate GHAS with Splunk Azure Sentinel for events,EO Engineer,24,='Estimate Settings'!$C$5,=$E48*$F48,$225,"=TEXT($G48*$H48,""$#,##0"")",CI/CD Integration,Security event forwarding and alert aggregation
Testing,CodeQL Testing,Test CodeQL queries across repository sample set,EO Engineer,32,='Estimate Settings'!$C$6,=$E49*$F49,$200,"=TEXT($G49*$H49,""$#,##0"")",Custom Query Development,Validate detection accuracy across languages
Testing,False Positive Analysis,Analyze and tune CodeQL queries to reduce false positives,EO Engineer,32,='Estimate Settings'!$C$6,=$E50*$F50,$200,"=TEXT($G50*$H50,""$#,##0"")",CodeQL Testing,Customer must provide feedback on alert accuracy
Testing,Performance Testing,Test scanning performance and pipeline impact,EO Engineer,16,='Estimate Settings'!$C$6,=$E51*$F51,$175,"=TEXT($G51*$H51,""$#,##0"")",False Positive Analysis,Ensure scans complete within acceptable timeframes
Testing,Security Validation,Validate vulnerability detection and policy enforcement,EO Engineer,24,='Estimate Settings'!$C$6,=$E52*$F52,$225,"=TEXT($G52*$H52,""$#,##0"")",Performance Testing,Test coverage across CWE patterns and secret types
Deployment,Repository Enablement,Enable GHAS on 200 repositories in phased rollout,EO Engineer,32,='Estimate Settings'!$C$7,=$E53*$F53,$200,"=TEXT($G53*$H53,""$#,##0"")",Security Validation,Phased by team with monitoring and support
Deployment,Production Rollout,Deploy GHAS to production with full scanning enabled,EO Engineer,24,='Estimate Settings'!$C$7,=$E54*$F54,$200,"=TEXT($G54*$H54,""$#,##0"")",Repository Enablement,Enable code scanning secret scanning dependency scanning
Deployment,Go-Live Support,Provide support during initial GHAS rollout and adoption,EO Engineer,48,='Estimate Settings'!$C$7,=$E55*$F55,$175,"=TEXT($G55*$H55,""$#,##0"")",Production Rollout,Daily monitoring alert triage developer support
