Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
GITHUB_SOLUTION_NAME,Application,All,GitHub Actions Enterprise CI/CD,GitHub Actions enterprise solution identifier,Yes,String,Max 50 characters,Public,DevOps Team,None,Used in workflow names and reports,[DATE]
GITHUB_ENTERPRISE_VERSION,Application,All,3.10.0,GitHub Enterprise Server version,Yes,String,Valid GHES version,Public,Platform Team,None,Latest stable enterprise release,[DATE]
GITHUB_ENTERPRISE_URL,GitHub Configuration,All,[github-enterprise-url],GitHub Enterprise Server URL,Yes,String,Valid HTTPS URL,Confidential,Platform Team,DNS resolution,Primary Git hosting platform,[DATE]
GITHUB_API_VERSION,GitHub Configuration,All,2022-11-28,GitHub REST API version,Yes,String,Valid API version,Public,Development,GitHub integration,Latest stable API,[DATE]
GITHUB_GRAPHQL_ENABLED,GitHub Configuration,All,true,Enable GitHub GraphQL API,Yes,Boolean,true|false,Public,Development,Advanced queries,Better performance for complex queries,[DATE]
GITHUB_ACTIONS_RUNNERS_PER_ORG,GitHub Actions,All,50,Self-hosted runners per organization,Yes,Integer,10-1000,Public,DevOps Team,Infrastructure capacity,Scale based on concurrent jobs,[DATE]
GITHUB_RUNNER_GROUP_CONFIG,GitHub Actions,All,enterprise-runners,Default runner group name,Yes,String,Valid group name,Public,DevOps Team,Runner organization,Enterprise-wide runner pool,[DATE]
GITHUB_RUNNER_OS_DISTRIBUTION,GitHub Actions,All,ubuntu-22.04,Runner operating system,Yes,String,Valid OS distribution,Public,DevOps Team,Toolchain compatibility,Latest LTS Ubuntu,[DATE]
GITHUB_RUNNER_MACHINE_TYPE,GitHub Actions,All,Standard_D4s_v3,Runner VM/instance type,Yes,String,Valid machine type,Public,Infrastructure,Cost optimization,4 vCPU 16GB RAM baseline,[DATE]
GITHUB_RUNNER_AUTOSCALING,GitHub Actions,All,enabled,Enable runner autoscaling,Yes,String,enabled|disabled,Public,DevOps Team,Dynamic scaling,Scale runners based on queue,[DATE]
GITHUB_RUNNER_MIN_INSTANCES,GitHub Actions,All,5,Minimum runner instances,Yes,Integer,1-50,Public,DevOps Team,Always-on capacity,Immediate job execution,[DATE]
GITHUB_RUNNER_MAX_INSTANCES,GitHub Actions,All,100,Maximum runner instances,Yes,Integer,10-500,Public,DevOps Team,Cost control,Prevent runaway scaling,[DATE]
GITHUB_ACTIONS_TIMEOUT_MINUTES,GitHub Actions,All,360,Default job timeout in minutes,Yes,Integer,60-1440,Public,DevOps Team,Resource management,6 hours maximum default,[DATE]
GITHUB_ARTIFACTS_RETENTION_DAYS,GitHub Actions,All,90,Artifact retention period in days,Yes,Integer,7-400,Public,DevOps Team,Storage management,Balance compliance and cost,[DATE]
GITHUB_LOGS_RETENTION_DAYS,GitHub Actions,All,90,Workflow logs retention in days,Yes,Integer,7-400,Public,DevOps Team,Troubleshooting needs,Extended retention for debugging,[DATE]
