Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your Google Cloud Landing Zone project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this GCP Landing Zone project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What cloud infrastructure challenges are you trying to solve?,"Common challenges: Lack of governance, Inconsistent security controls, Shadow IT, Complex compliance requirements, Multi-team coordination issues, Slow provisioning","",Primary business driver for landing zone investment
BUS-004,Business Requirements,Current State,What is your current Google Cloud setup?,"Describe existing GCP projects, organization structure, and governance gaps","",Current state baseline assessment
BUS-005,Business Requirements,Team Structure,How many application teams will use the landing zone?,"Typical ranges: 1-5 teams, 6-15 teams, 16-30 teams, 30+ teams","",Determines organization and folder structure complexity
BUS-006,Business Requirements,Project Volume,How many GCP projects do you expect to manage?,"Typical ranges: 5-20 projects, 21-50 projects, 51-100 projects, 100+ projects","",Project scale drives automation and governance requirements
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing a GCP Landing Zone?,"Common goals: Standardize security controls, Enable team self-service, Ensure compliance, Reduce provisioning time, Control costs, Enable hybrid cloud","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure landing zone success?,"Define KPIs: project provisioning time, security compliance %, cost visibility, team satisfaction","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for landing zone implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget range for this landing zone?,"Common ranges: $50K-100K, $100K-250K, $250K-500K, $500K+. Include both implementation and ongoing operations","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for multi-cloud or hybrid cloud?,"Consider future AWS/Azure adoption, on-premises integration, or GCP-only strategy","",Future roadmap and multi-cloud planning
BUS-012,Business Requirements,Growth Projections,How do you expect cloud adoption to grow over 3 years?,"Provide current project count and projected annual growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,GCP Environment,What Google Cloud services are you currently using?,"GCP services: Compute Engine, GKE, Cloud Storage, Cloud SQL, BigQuery, None, Other","",Current GCP footprint and existing infrastructure
TECH-002,Technical Requirements,GCP Environment,What GCP region(s) do you prefer for primary workloads?,"Consider data residency, latency, and compliance requirements","",Regional deployment requirements
TECH-003,Technical Requirements,Organization Structure,Do you have an existing GCP Organization or need to create one?,"Options: Existing org ID, Need to create new organization, Unsure","",Organization foundation setup requirements
