#WIDTH: 45,14,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,google-workspace,google-workspace,google-workspace,Solution name for resource naming,Yes,String,Valid string value,Public,Infrastructure,,From solution object,2025-12-03
solution.abbr,Project,gws,gws,gws,Solution abbreviation (3-4 chars),Yes,String,3-4 alphanumeric chars,Public,Infrastructure,,From solution object,2025-12-03
solution.provider_name,Project,google,google,google,Provider organization name,Yes,String,Valid string value,Public,Infrastructure,,From solution object,2025-12-03
solution.category_name,Project,modern-workspace,modern-workspace,modern-workspace,Solution category,Yes,String,Valid string value,Public,Infrastructure,,From solution object,2025-12-03
ownership.cost_center,Project,CC-12345,CC-12345,CC-12345,Cost center for billing,Yes,String,Valid string value,Public,Finance,,From ownership object,2025-12-03
ownership.owner_email,Project,workspace-admin@example.com,workspace-admin@example.com,workspace-admin@example.com,Owner email for notifications,Yes,String,Valid email address,Confidential,Infrastructure,,From ownership object,2025-12-03
ownership.project_code,Project,PRJ-GWS-001,PRJ-GWS-001,PRJ-GWS-001,Project tracking code,Yes,String,Valid string value,Public,Infrastructure,,From ownership object,2025-12-03
workspace.domain,Workspace,example.com,test.example.com,example.com,Primary Workspace domain,Yes,String,Valid domain name,Public,Infrastructure,,Verified in Google Admin,2025-12-03
workspace.customer_id,Workspace,[CUSTOMER_ID],[CUSTOMER_ID],[CUSTOMER_ID],Workspace customer ID,Yes,String,Format Cxxxxxxxx,Confidential,Infrastructure,,From Admin Console,2025-12-03
workspace.edition,Workspace,Business Plus,Business Starter,Business Plus,Workspace edition/SKU,Yes,String,Valid Workspace edition,Public,Infrastructure,,Determines features,2025-12-03
workspace.user_count,Workspace,500,25,500,Total licensed users,Yes,Integer,1 to 300000,Public,Infrastructure,,SOW scope,2025-12-03
workspace.storage_per_user,Workspace,5 TB,30 GB,5 TB,Storage allocation per user,Yes,String,Based on edition,Public,Infrastructure,,Edition dependent,2025-12-03
workspace.admin_email,Workspace,admin@example.com,admin@test.example.com,admin@example.com,Super admin email,Yes,String,Valid email,Confidential,Security,,Must be super admin,2025-12-03
migration.source_system,Migration,Exchange 2016,Exchange Online,Exchange 2016,Source email system,Yes,String,Valid source system,Public,Infrastructure,,Current email platform,2025-12-03
migration.mailbox_count,Migration,500,25,500,Mailboxes to migrate,Yes,Integer,Positive integer,Public,Infrastructure,,SOW scope,2025-12-03
migration.mailbox_total_gb,Migration,2500,50,2500,Total mailbox data (GB),Yes,Integer,Valid integer,Public,Infrastructure,,Capacity planning,2025-12-03
migration.mailbox_avg_gb,Migration,5,2,5,Average mailbox size (GB),Yes,Integer,Valid integer,Public,Infrastructure,,Planning metric,2025-12-03
migration.file_source,Migration,Windows File Server,SharePoint,Windows File Server,Source file storage,Yes,String,Valid source,Public,Infrastructure,,Current file platform,2025-12-03
migration.file_total_gb,Migration,3000,100,3000,Total file data (GB),Yes,Integer,Valid integer,Public,Infrastructure,,Drive migration scope,2025-12-03
migration.distribution_lists,Migration,150,10,150,Distribution lists to migrate,Yes,Integer,Valid integer,Public,Infrastructure,,Google Groups scope,2025-12-03
migration.pilot_users,Migration,25,5,25,Pilot migration users,Yes,Integer,Valid integer,Public,Infrastructure,,First wave,2025-12-03
migration.waves,Migration,5,2,5,Number of migration waves,Yes,Integer,1 to 10,Public,Infrastructure,,Phased rollout,2025-12-03
migration.users_per_wave,Migration,95,10,95,Users per migration wave,Yes,Integer,Valid integer,Public,Infrastructure,,Wave sizing,2025-12-03
migration.coexistence_weeks,Migration,4,2,4,Coexistence period (weeks),Yes,Integer,Valid integer,Public,Infrastructure,,Parallel operation,2025-12-03
migration.tool,Migration,GWMT,GWMT,GWMT,Primary migration tool,Yes,String,GWMT or Third-party,Public,Infrastructure,,Google native,2025-12-03
identity.sso_enabled,Identity,true,false,true,Enable SAML SSO,Yes,Boolean,true|false,Public,Security,,Enterprise auth,2025-12-03
identity.idp_type,Identity,Azure AD,None,Azure AD,Identity provider type,Yes,String,ADFS or Azure AD or Okta or None,Public,Security,,Client IdP platform,2025-12-03
identity.idp_entity_id,Identity,[IDP_ENTITY_ID],,[IDP_ENTITY_ID],IdP Entity ID for SAML,No,String,Valid URI,Confidential,Security,,From IdP metadata,2025-12-03
identity.idp_sso_url,Identity,[IDP_SSO_URL],,[IDP_SSO_URL],IdP SSO URL,No,String,Valid HTTPS URL,Confidential,Security,,From IdP metadata,2025-12-03
identity.idp_certificate,Identity,[IDP_CERT],,[IDP_CERT],IdP signing certificate,No,String,Base64 X.509 cert,Secret,Security,,From IdP metadata,2025-12-03
identity.mfa_enabled,Identity,true,false,true,Enforce 2-Step Verification,Yes,Boolean,true|false,Public,Security,,Security baseline,2025-12-03
identity.mfa_enforcement,Identity,ENFORCED,OPTIONAL,ENFORCED,2SV enforcement level,Yes,String,OFF or OPTIONAL or ENFORCED,Public,Security,,Required for admins,2025-12-03
identity.mfa_methods,Identity,Any,Any,Any,Allowed 2SV methods,Yes,String,Any or Security Key Only or Phone Only,Public,Security,,Method restriction,2025-12-03
identity.directory_sync_enabled,Identity,true,false,true,Enable GCDS directory sync,Yes,Boolean,true|false,Public,Security,,Automated provisioning,2025-12-03
identity.gcds_sync_interval,Identity,4 hours,24 hours,4 hours,Directory sync interval,Yes,String,Valid interval,Public,Security,,Sync frequency,2025-12-03
security.dlp_enabled,Security,true,false,true,Enable Data Loss Prevention,Yes,Boolean,true|false,Public,Security,,Data protection,2025-12-03
security.dlp_rules_count,Security,15,0,15,Number of DLP rules,Yes,Integer,0 to 100,Public,Security,,Policy count,2025-12-03
security.dlp_pii_detection,Security,true,false,true,Enable PII detection,Yes,Boolean,true|false,Public,Security,,SSN credit card,2025-12-03
security.dlp_financial_detection,Security,true,false,true,Enable financial data detection,Yes,Boolean,true|false,Public,Security,,Bank accounts,2025-12-03
security.dlp_action,Security,Warn and Block,Warn,Warn and Block,Default DLP action,Yes,String,Warn or Block or Warn and Block,Public,Security,,Violation response,2025-12-03
security.vault_enabled,Security,true,false,true,Enable Google Vault,Yes,Boolean,true|false,Public,Security,,eDiscovery and retention,2025-12-03
security.vault_retention_years,Security,7,1,7,Vault retention period (years),Yes,Integer,1 to 25,Public,Security,,Compliance requirement,2025-12-03
security.vault_gmail_retention,Security,true,false,true,Enable Gmail retention in Vault,Yes,Boolean,true|false,Public,Security,,Email archival,2025-12-03
security.vault_drive_retention,Security,true,false,true,Enable Drive retention in Vault,Yes,Boolean,true|false,Public,Security,,File archival,2025-12-03
security.vault_legal_hold_enabled,Security,true,false,true,Enable legal hold capability,Yes,Boolean,true|false,Public,Security,,Legal compliance,2025-12-03
security.mobile_management,Security,Advanced,Basic,Advanced,Mobile device management level,Yes,String,Basic or Advanced,Public,Security,,MDM tier,2025-12-03
security.mdm_require_passcode,Security,true,true,true,Require device passcode,Yes,Boolean,true|false,Public,Security,,Mobile security,2025-12-03
security.mdm_passcode_length,Security,6,4,6,Minimum passcode length,Yes,Integer,4 to 16,Public,Security,,PIN requirement,2025-12-03
security.mdm_remote_wipe,Security,true,true,true,Enable remote wipe capability,Yes,Boolean,true|false,Public,Security,,Device security,2025-12-03
security.mdm_managed_devices,Security,300,15,300,Expected managed device count,Yes,Integer,Valid integer,Public,Security,,60% of users,2025-12-03
security.context_aware_access,Security,true,false,true,Enable context-aware access,Yes,Boolean,true|false,Public,Security,,Zero trust,2025-12-03
applications.gmail_enabled,Applications,true,true,true,Enable Gmail for users,Yes,Boolean,true|false,Public,Infrastructure,,Primary email,2025-12-03
applications.gmail_storage_gb,Applications,30,15,30,Gmail storage per user (GB),Yes,Integer,Based on edition,Public,Infrastructure,,Edition dependent,2025-12-03
applications.drive_enabled,Applications,true,true,true,Enable Google Drive for users,Yes,Boolean,true|false,Public,Infrastructure,,File storage,2025-12-03
applications.drive_shared_drives,Applications,15,3,15,Number of Shared Drives,Yes,Integer,Valid integer,Public,Infrastructure,,Team collaboration,2025-12-03
applications.meet_enabled,Applications,true,true,true,Enable Google Meet for users,Yes,Boolean,true|false,Public,Infrastructure,,Video conferencing,2025-12-03
applications.meet_recording,Applications,true,false,true,Enable Meet recording,Yes,Boolean,true|false,Public,Infrastructure,,Meeting recordings,2025-12-03
applications.meet_max_participants,Applications,500,100,500,Max Meet participants,Yes,Integer,Based on edition,Public,Infrastructure,,Edition dependent,2025-12-03
applications.chat_enabled,Applications,true,true,true,Enable Google Chat for users,Yes,Boolean,true|false,Public,Infrastructure,,Team messaging,2025-12-03
sharing.external_sharing,Sharing,Whitelist,Disabled,Whitelist,External sharing policy,Yes,String,Disabled or Whitelist or Anyone,Public,Security,,Drive sharing,2025-12-03
sharing.allow_domains,Sharing,"[""partner.com"", ""vendor.com""]",[],"[""partner.com"", ""vendor.com""]",Allowed external domains,No,List(String),Valid domain names,Confidential,Security,,Trusted domains,2025-12-03
sharing.link_sharing_default,Sharing,Domain,Private,Domain,Default link sharing,Yes,String,Private or Domain or Anyone,Public,Security,,New file default,2025-12-03
sharing.file_access_checker,Sharing,true,false,true,Enable file access checker,Yes,Boolean,true|false,Public,Security,,Access monitoring,2025-12-03
org_units.root,Org Units,/,/,/,Root organizational unit,Yes,String,Valid OU path,Public,Infrastructure,,Top-level OU,2025-12-03
org_units.sales,Org Units,/Sales,/Sales,/Sales,Sales department OU,Yes,String,Valid OU path,Public,Infrastructure,,95 users,2025-12-03
org_units.marketing,Org Units,/Marketing,/Marketing,/Marketing,Marketing department OU,Yes,String,Valid OU path,Public,Infrastructure,,95 users,2025-12-03
org_units.operations,Org Units,/Operations,/Operations,/Operations,Operations department OU,Yes,String,Valid OU path,Public,Infrastructure,,95 users,2025-12-03
org_units.finance,Org Units,/Finance,/Finance,/Finance,Finance department OU,Yes,String,Valid OU path,Public,Infrastructure,,95 users,2025-12-03
org_units.executive,Org Units,/Executive,/Executive,/Executive,Executive department OU,Yes,String,Valid OU path,Public,Infrastructure,,95 users,2025-12-03
groups.create_default_groups,Groups,true,false,true,Create default security groups,Yes,Boolean,true|false,Public,Infrastructure,,Security groups,2025-12-03
groups.default_groups,Groups,"[""all-users"", ""workspace-admins"", ""drive-managers"", ""vault-users""]","[""all-users""]","[""all-users"", ""workspace-admins"", ""drive-managers"", ""vault-users""]",Default groups to create,Yes,List(String),Valid group names,Public,Infrastructure,,Initial groups,2025-12-03
groups.external_members_allowed,Groups,false,false,false,Allow external group members,Yes,Boolean,true|false,Public,Security,,Security setting,2025-12-03
training.admin_training_hours,Training,8,4,8,Admin training hours,Yes,Integer,Valid integer,Public,Operations,,SOW commitment,2025-12-03
training.end_user_sessions,Training,10,2,10,End-user training sessions,Yes,Integer,Valid integer,Public,Operations,,SOW commitment,2025-12-03
training.materials_included,Training,true,true,true,Include training materials,Yes,Boolean,true|false,Public,Operations,,Deliverable,2025-12-03
training.change_champions,Training,10,2,10,Number of change champions,Yes,Integer,Valid integer,Public,Operations,,Super users,2025-12-03
hypercare.duration_days,Hypercare,30,14,30,Hypercare support duration (days),Yes,Integer,Valid integer,Public,Operations,,SOW commitment,2025-12-03
hypercare.support_hours,Hypercare,8AM-6PM,8AM-5PM,8AM-6PM,Support hours during hypercare,Yes,String,Valid time range,Public,Operations,,Business hours,2025-12-03
hypercare.response_time_hours,Hypercare,4,8,4,Response time SLA (hours),Yes,Integer,Valid integer,Public,Operations,,Support SLA,2025-12-03
budget.license_cost_monthly,Budget,9000,450,9000,Monthly license cost (USD),Yes,Integer,Valid integer,Public,Finance,,500 users x $18,2025-12-03
budget.professional_services,Budget,38400,9600,38400,Professional services cost (USD),Yes,Integer,Valid integer,Public,Finance,,Migration services,2025-12-03
budget.training_budget,Budget,5000,1000,5000,Training budget (USD),Yes,Integer,Valid integer,Public,Finance,,Training allocation,2025-12-03
automation.deployment_method,Automation,Platform-Native,Platform-Native,Platform-Native,Deployment automation type,Yes,String,Platform-Native or Manual,Public,Development,,Script-based,2025-12-03
automation.gam_enabled,Automation,true,false,true,Enable GAM for bulk operations,Yes,Boolean,true|false,Public,Development,,Admin scripting,2025-12-03
automation.admin_sdk_enabled,Automation,true,false,true,Enable Admin SDK Python scripts,Yes,Boolean,true|false,Public,Development,,API automation,2025-12-03
