Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your Google Workspace deployment project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this Google Workspace project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What collaboration and productivity challenges are you trying to solve?,"Common challenges: Inefficient email systems, Limited file collaboration, High IT infrastructure costs, Poor mobile experience, Compliance gaps, Version control issues","",Primary business driver for Google Workspace investment
BUS-004,Business Requirements,Current State,What is your current productivity and collaboration platform?,"Describe existing systems: Microsoft Office/Exchange, Gmail legacy, G Suite Basic, Other, None","",Current state baseline assessment
BUS-005,Business Requirements,User Base,How many users will be migrated to Google Workspace?,"Typical ranges: 50-250 users, 251-1000 users, 1001-5000 users, 5000+ users","",User count drives licensing and migration planning
BUS-006,Business Requirements,User Types,What types of users do you have?,"User types: Full-time employees, Contractors, Partners, External collaborators, Students/Faculty","",License tier and access requirements
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing Google Workspace?,"Common goals: Enable remote work, Improve collaboration, Reduce IT costs, Modernize productivity tools, Enhance security, Support mobile workforce","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure Google Workspace success?,"Define KPIs: user adoption %, collaboration metrics, IT cost reduction, user satisfaction, mobile usage","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for Google Workspace deployment?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget range for this workspace deployment?,"Common ranges: $25K-75K, $75K-150K, $150K-300K, $300K+. Include migration, licenses, and training","",Budget constraints for solution sizing
BUS-011,Business Requirements,Remote Work,What percentage of your workforce is remote or hybrid?,"Options: 0-25%, 25-50%, 50-75%, 75-100%","",Remote collaboration requirements
BUS-012,Business Requirements,Growth Projections,How do you expect your user base to grow over 3 years?,"Provide current user count and projected annual growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Workspace Edition,What Google Workspace edition do you need?,"Options: Business Starter ($6/user), Business Standard ($12/user), Business Plus ($18/user), Enterprise Standard ($20/user), Enterprise Plus ($30/user)","",Edition selection based on features and storage
TECH-002,Technical Requirements,Domain Setup,Do you own a domain for Google Workspace?,"Options: Yes - existing domain, Yes - need to purchase, No - need guidance","",Domain ownership and verification requirements
TECH-003,Technical Requirements,Email Migration,What email system are you migrating from?,"Options: Microsoft Exchange (on-premises), Exchange Online, POP3/IMAP, G Suite legacy, None - new deployment","",Email migration complexity and approach
TECH-004,Technical Requirements,Email Volume,What is your total email volume to migrate?,"Typical ranges: <100 GB, 100-500 GB, 500 GB-2 TB, 2 TB+","",Migration timeline and resource requirements
TECH-005,Technical Requirements,File Migration,What file storage systems need to migrate to Google Drive?,"Common sources: File servers, SharePoint, OneDrive, Box, Dropbox, Network drives","",File migration scope and complexity
TECH-006,Technical Requirements,File Volume,What is your total file storage volume to migrate?,"Typical ranges: <500 GB, 500 GB-2 TB, 2-10 TB, 10 TB+","",Storage requirements and migration effort
TECH-007,Technical Requirements,Calendar Migration,Do you need to migrate calendars and contacts?,"Options: Yes - Exchange calendars, Yes - Outlook contacts, Yes - other system, No migration needed","",Calendar and contact migration requirements
TECH-008,Technical Requirements,Distribution Lists,How many distribution lists or groups need migration?,"Typical ranges: 1-50 groups, 51-200 groups, 201-500 groups, 500+ groups","",Group migration and structure preservation
TECH-009,Technical Requirements,Identity Provider,What identity provider do you use for authentication?,"Options: Google Cloud Identity, Microsoft Azure AD, Okta, OneLogin, On-premises Active Directory, None","",Identity and SSO integration requirements
TECH-010,Technical Requirements,SSO Requirements,Do you need Single Sign-On (SSO) integration?,"Options: Yes - SAML SSO required, Yes - OAuth/OpenID Connect, No - Google credentials only","",Authentication and user access requirements
TECH-011,Technical Requirements,Directory Sync,Do you need Active Directory or LDAP synchronization?,"Options: Yes - AD sync with GCDS, Yes - LDAP sync, No - manual user management","",User provisioning and directory integration
TECH-012,Technical Requirements,Mobile Devices,What mobile device management is required?,"Options: Basic mobile management (included), Advanced mobile management, Third-party MDM (VMware AirWatch, MobileIron)","",Mobile security and management requirements
TECH-013,Technical Requirements,Meeting Requirements,What video conferencing capabilities do you need?,"Options: Standard Meet (100 participants), Large meetings (250 participants), Webinars (10,000+ viewers), Recording and live streaming","",Google Meet feature requirements
TECH-014,Technical Requirements,Drive Storage,How much Google Drive storage per user is required?,"Options: 30 GB (Business Starter), 2 TB (Business Standard), 5 TB (Business Plus), Unlimited (Enterprise)","",Storage tier selection and cost planning
TECH-015,Technical Requirements,Shared Drives,Do you need Google Shared Drives (Team Drives)?,"Options: Yes - extensive use, Yes - limited use, No - My Drive only","",Shared Drive structure and permissions design
TECH-016,Technical Requirements,Chrome Browser,Will users adopt Chrome browser as standard?,"Options: Yes - Chrome required, Yes - Chrome recommended, No - user choice","",Browser standardization and policy management
TECH-017,Technical Requirements,Chromebook Deployment,Are you deploying Chromebooks to users?,"Options: Yes - full deployment, Yes - pilot group, No - Windows/Mac only","",Endpoint strategy and device management
TECH-018,Technical Requirements,Third-Party Integration,What third-party tools need to integrate with Workspace?,"Common integrations: Salesforce, DocuSign, Slack, Zoom, SAP, Oracle, Custom applications","",API and integration requirements
TECH-019,Technical Requirements,Legacy Systems,What legacy systems must continue to work during migration?,"Examples: Custom email clients, Legacy applications, Specialized software, Compliance systems","",Compatibility and coexistence requirements
SEC-001,Security & Compliance,Data Classification,What is the highest data classification level in your organization?,"Levels: Public, Internal, Confidential, Restricted","",Determines encryption and access control requirements
SEC-002,Security & Compliance,Sensitive Data,What sensitive data types will be stored in Google Workspace?,"Sensitive data types: PII, PHI, Payment card data, Financial records, IP/Trade secrets, Student records, No sensitive data","",Data protection and DLP requirements
