#WIDTH: 45,14,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Application,multi-cloud-platform,multi-cloud-platform,multi-cloud-platform,Solution name for resource naming,Yes,String,Valid string value,Public,Platform Team,,From solution object,2025-12-03
solution.abbr,Application,mcp,mcp,mcp,Solution abbreviation (3-4 chars),Yes,String,Valid string value,Public,Platform Team,,From solution object,2025-12-03
solution.provider_name,Application,hashicorp,hashicorp,hashicorp,Provider organization name,Yes,String,Valid string value,Public,Platform Team,,From solution object,2025-12-03
solution.category_name,Application,cloud,cloud,cloud,Solution category,Yes,String,Valid string value,Public,Platform Team,,From solution object,2025-12-03
tfc.organization,Terraform Cloud,client-organization,client-organization,client-organization,Terraform Cloud organization name,Yes,String,Valid organization name,Public,Platform Team,,Must be unique across TFC,2025-12-03
tfc.hostname,Terraform Cloud,app.terraform.io,app.terraform.io,app.terraform.io,Terraform Cloud hostname,Yes,String,Valid hostname,Public,Platform Team,,Use custom for TFE,2025-12-03
tfc.workspace_prefix,Terraform Cloud,client-prod,client-test,client-dr,Workspace naming prefix convention,Yes,String,Alphanumeric with dashes,Public,Platform Team,,Follow naming standards,2025-12-03
tfc.vcs_provider,Terraform Cloud,github,github,github,VCS provider for workspace linking,Yes,String,github|gitlab|bitbucket|azure-devops,Public,Platform Team,,GitHub Enterprise supported,2025-12-03
tfc.concurrent_runs,Terraform Cloud,15,5,15,Maximum concurrent Terraform runs,Yes,Integer,1-100,Public,Platform Team,,Size workers accordingly,2025-12-03
tfc.user_count,Terraform Cloud,50,25,50,Number of platform users,Yes,Integer,1-500,Public,Platform Team,,License capacity,2025-12-03
tfc.workspace_count,Terraform Cloud,100,50,100,Target workspace count for platform,Yes,Integer,1-500,Public,Platform Team,,Matches SOW scope,2025-12-03
vault.enabled,HashiCorp Vault,true,true,true,Enable HashiCorp Vault integration,Yes,Boolean,true|false,Public,Security Team,,From vault object,2025-12-03
vault.namespace,HashiCorp Vault,admin,admin,admin,Vault namespace for platform,Yes,String,Valid namespace,Public,Security Team,,Root namespace for admin,2025-12-03
vault.auto_unseal_enabled,HashiCorp Vault,true,false,true,Enable KMS auto-unseal,Yes,Boolean,true|false,Public,Security Team,,Enable auto-unseal,2025-12-03
vault.aws_secrets_enabled,HashiCorp Vault,true,true,true,Enable AWS secrets engine,Yes,Boolean,true|false,Public,Security Team,,Dynamic AWS credentials,2025-12-03
vault.azure_secrets_enabled,HashiCorp Vault,true,true,true,Enable Azure secrets engine,Yes,Boolean,true|false,Public,Security Team,,Dynamic Azure credentials,2025-12-03
vault.gcp_secrets_enabled,HashiCorp Vault,true,true,true,Enable GCP secrets engine,Yes,Boolean,true|false,Public,Security Team,,Dynamic GCP credentials,2025-12-03
vault.credential_ttl_seconds,HashiCorp Vault,3600,7200,3600,Dynamic credential TTL in seconds,Yes,Integer,300-86400,Public,Security Team,,1 hour default,2025-12-03
vault.node_count,HashiCorp Vault,3,1,3,Number of Vault nodes,Yes,Integer,1-5,Public,Security Team,,HA requires 3+,2025-12-03
consul.enabled,HashiCorp Consul,true,false,true,Enable HashiCorp Consul service mesh,Yes,Boolean,true|false,Public,Platform Team,,Service mesh,2025-12-03
consul.datacenter,HashiCorp Consul,dc1,dc1,dc1,Consul datacenter name,Yes,String,Valid datacenter name,Public,Platform Team,,Primary datacenter,2025-12-03
consul.connect_enabled,HashiCorp Consul,true,false,true,Enable Consul Connect service mesh,Yes,Boolean,true|false,Public,Platform Team,,Encrypted service-to-service,2025-12-03
consul.acl_enabled,HashiCorp Consul,true,false,true,Enable Consul ACL system,Yes,Boolean,true|false,Public,Platform Team,,Security tokens,2025-12-03
consul.mesh_gateway_enabled,HashiCorp Consul,true,false,true,Enable mesh gateways for federation,Yes,Boolean,true|false,Public,Platform Team,,Cross-cloud mesh,2025-12-03
sentinel.enabled,Sentinel,true,false,true,Enable Sentinel policy enforcement,Yes,Boolean,true|false,Public,Security Team,,Policy as code,2025-12-03
sentinel.policy_count,Sentinel,50,20,50,Target Sentinel policy count,Yes,Integer,1-100,Public,Security Team,,Security and cost and compliance,2025-12-03
sentinel.enforcement_level,Sentinel,hard-mandatory,advisory,hard-mandatory,Default policy enforcement level,Yes,String,advisory|soft-mandatory|hard-mandatory,Public,Security Team,,Policy strictness,2025-12-03
aws.region,Project,us-east-1,us-east-1,us-west-2,Primary AWS region,Yes,String,Valid AWS region,Public,Infrastructure Team,,EKS deployment region,2025-12-03
aws.dr_region,Project,us-west-2,us-west-2,us-east-1,DR AWS region for failover,Yes,String,Valid AWS region,Public,Infrastructure Team,,Cross-region DR,2025-12-03
aws.account_id,Project,123456789012,123456789012,123456789012,AWS account ID for platform,Yes,String,12-digit account ID,Confidential,Infrastructure Team,,Platform account,2025-12-03
azure.subscription_id,Project,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,Azure subscription ID,Yes,String,Valid GUID,Confidential,Infrastructure Team,,Azure platform,2025-12-03
azure.location,Project,eastus,eastus,westus2,Azure region for resources,Yes,String,Valid Azure location,Public,Infrastructure Team,,Primary location,2025-12-03
gcp.project_id,Project,client-project-prod,client-project-test,client-project-dr,GCP project ID,Yes,String,Valid project ID,Confidential,Infrastructure Team,,GCP platform,2025-12-03
gcp.region,Project,us-central1,us-central1,us-west1,GCP region for resources,Yes,String,Valid GCP region,Public,Infrastructure Team,,Primary region,2025-12-03
ownership.cost_center,Project,CC-HASHICORP-001,CC-HASHICORP-001,CC-HASHICORP-001,Cost center for billing,Yes,String,Valid string value,Public,Finance,,From ownership object,2025-12-03
ownership.owner_email,Project,platform-team@example.com,platform-team@example.com,platform-team@example.com,Owner email for notifications,Yes,String,Valid email address,Confidential,Platform Team,,From ownership object,2025-12-03
ownership.project_code,Project,PRJ-MCP-001,PRJ-MCP-001,PRJ-MCP-001,Project tracking code,Yes,String,Valid string value,Public,Platform Team,,From ownership object,2025-12-03
network.vpc_cidr,Networking,10.100.0.0/16,10.101.0.0/16,10.102.0.0/16,VPC CIDR block for platform,Yes,String,Valid CIDR notation,Confidential,Network Team,,256 addresses minimum,2025-12-03
network.private_subnet_cidrs,Networking,"[""10.100.10.0/24"", ""10.100.11.0/24"", ""10.100.12.0/24""]","[""10.101.10.0/24"", ""10.101.11.0/24""]","[""10.102.10.0/24"", ""10.102.11.0/24"", ""10.102.12.0/24""]",Private subnet CIDR blocks,Yes,List(String),Valid CIDR list,Confidential,Network Team,,Multi-AZ deployment,2025-12-03
network.public_subnet_cidrs,Networking,"[""10.100.1.0/24"", ""10.100.2.0/24"", ""10.100.3.0/24""]","[""10.101.1.0/24"", ""10.101.2.0/24""]","[""10.102.1.0/24"", ""10.102.2.0/24"", ""10.102.3.0/24""]",Public subnet CIDR blocks,Yes,List(String),Valid CIDR list,Confidential,Network Team,,ALB deployment,2025-12-03
network.enable_nat_gateway,Networking,true,true,true,Enable NAT Gateway for private subnets,Yes,Boolean,true|false,Public,Network Team,,Internet access,2025-12-03
network.single_nat_gateway,Networking,false,true,false,Use single NAT (cost) vs HA NAT (reliability),Yes,Boolean,true|false,Public,Network Team,,Cost optimization,2025-12-03
network.enable_flow_logs,Networking,true,false,true,Enable VPC Flow Logs,Yes,Boolean,true|false,Public,Network Team,,Network monitoring,2025-12-03
network.flow_log_retention_days,Networking,90,30,90,Flow log retention period in days,Yes,Integer,Positive integer (days),Public,Network Team,,Audit requirements,2025-12-03
compute.eks_cluster_name,Compute,mcp-prod-cluster,mcp-test-cluster,mcp-dr-cluster,EKS cluster name for Terraform Cloud,Yes,String,Valid EKS cluster name,Public,Infrastructure Team,,3-node cluster,2025-12-03
compute.eks_node_instance_type,Compute,t3.xlarge,t3.large,t3.xlarge,EKS worker node instance type,Yes,String,Valid EC2 instance type,Public,Infrastructure Team,,4 vCPU 16GB minimum,2025-12-03
compute.eks_node_count,Compute,3,2,3,Number of EKS worker nodes,Yes,Integer,1-10,Public,Infrastructure Team,,HA requires 3+,2025-12-03
compute.eks_node_min_count,Compute,2,1,2,Minimum EKS worker nodes for autoscaling,Yes,Integer,1-10,Public,Infrastructure Team,,Minimum capacity,2025-12-03
compute.eks_node_max_count,Compute,6,3,6,Maximum EKS worker nodes for autoscaling,Yes,Integer,1-20,Public,Infrastructure Team,,Scale limit,2025-12-03
compute.vault_instance_type,Compute,t3.medium,t3.small,t3.medium,Vault EC2 instance type,Yes,String,Valid EC2 instance type,Public,Infrastructure Team,,2 vCPU 4GB,2025-12-03
database.rds_instance_class,Database,db.t3.large,db.t3.medium,db.t3.large,RDS instance class for TFC backend,Yes,String,Valid RDS instance class,Public,Infrastructure Team,,2 vCPU 8GB minimum,2025-12-03
database.rds_storage_gb,Database,100,50,100,RDS allocated storage in GB,Yes,Integer,20-1000,Public,Infrastructure Team,,Scale as needed,2025-12-03
database.rds_database_name,Database,terraform_cloud,terraform_cloud,terraform_cloud,PostgreSQL database name,Yes,String,Valid database name,Confidential,Infrastructure Team,,TFC backend DB,2025-12-03
database.rds_multi_az,Database,true,false,true,Enable RDS Multi-AZ,Yes,Boolean,true|false,Public,Infrastructure Team,,High availability,2025-12-03
database.rds_backup_retention,Database,30,7,30,RDS backup retention days,Yes,Integer,1-35,Public,Infrastructure Team,,Backup policy,2025-12-03
database.rds_deletion_protection,Database,true,false,true,Enable RDS deletion protection,Yes,Boolean,true|false,Public,Infrastructure Team,,Safety setting,2025-12-03
security.enable_kms_encryption,Security,true,true,true,Enable KMS encryption for resources,Yes,Boolean,true|false,Public,Security Team,,From security object,2025-12-03
security.kms_deletion_window,Security,30,7,30,KMS key deletion window (days),Yes,Integer,7-30,Public,Security Team,,Protection period,2025-12-03
security.enable_waf,Security,true,false,false,Enable AWS WAF on ALB,Yes,Boolean,true|false,Public,Security Team,,Web application firewall,2025-12-03
security.waf_rate_limit,Security,2000,10000,2000,WAF rate limit per IP (5-min window),Yes,Integer,Valid integer,Public,Security Team,,Rate limiting,2025-12-03
