Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your multi-cloud platform initiative?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this multi-cloud initiative?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What multi-cloud challenges are you trying to solve?,"Common challenges: Manual infrastructure provisioning, Inconsistent configurations across clouds, Cloud vendor lock-in concerns, High operational overhead, Lack of governance and compliance, Infrastructure drift and state management issues","",Primary business driver for multi-cloud investment
BUS-004,Business Requirements,Current State,What is your current infrastructure management workflow?,"Describe manual steps, tools used, pain points, and team responsibilities","",Current state baseline assessment
BUS-005,Business Requirements,Cloud Strategy,Which cloud providers are you currently using or planning to use?,"AWS, Azure, GCP, Oracle Cloud, IBM Cloud, On-premises VMware, OpenStack, Other","",Multi-cloud provider scope
BUS-006,Business Requirements,Scale,How many infrastructure resources do you manage across all clouds?,"Typical ranges: 1-100, 101-1000, 1001-10000, 10000+","",Infrastructure scale drives platform sizing
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing a multi-cloud platform?,"Common goals: Standardize infrastructure as code, Enable self-service provisioning, Implement policy as code governance, Reduce cloud costs through optimization, Accelerate application delivery, Ensure compliance and security, Avoid vendor lock-in","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure multi-cloud platform success?,"Define KPIs: Infrastructure deployment speed, Policy compliance %, Cost reduction %, Team productivity improvement, Infrastructure drift reduction","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for multi-cloud platform implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget range for this multi-cloud solution?,"Include: HashiCorp licenses, Professional services, Infrastructure costs, Training. Common ranges: $50K-250K, $250K-1M, $1M+","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for infrastructure automation?,"Consider expansion to additional clouds, workloads, teams, and automation capabilities","",Future roadmap and scalability planning
BUS-012,Business Requirements,Growth Projections,How do you expect infrastructure scale to change over 3 years?,"Provide current resource count and projected annual growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Current IaC Usage,What Infrastructure as Code tools are you currently using?,"Options: Terraform Open Source, CloudFormation, ARM Templates, Deployment Manager, Ansible, Chef, Puppet, Custom scripts, None","",Current IaC footprint and migration needs
TECH-002,Technical Requirements,Terraform Experience,What is your current Terraform experience level?,"Options: No experience, Basic (simple modules), Intermediate (workspaces state mgmt), Advanced (complex modules providers), Expert (custom providers enterprise)","",Team skill level for training planning
TECH-003,Technical Requirements,Cloud Environments,Which cloud environments need to be managed by this platform?,"AWS: Account count, Azure: Subscription count, GCP: Project count, On-prem: Data center count","",Cloud environment scope and complexity
TECH-004,Technical Requirements,Infrastructure Complexity,What types of infrastructure resources need to be provisioned?,"Resource types: Compute (VMs containers serverless), Networking (VPC subnets firewalls), Storage (block object database), Security (IAM encryption secrets), Kubernetes, Databases, Load balancers, CDN","",Infrastructure scope and module requirements
TECH-005,Technical Requirements,Workload Types,What types of workloads will be deployed on this infrastructure?,"Workload types: Web applications, Microservices, Databases, Analytics and data processing, Machine learning, Legacy applications, Container-based applications, Serverless functions","",Workload patterns for architecture design
TECH-006,Technical Requirements,Environment Strategy,How many environments do you need to manage per application?,"Common patterns: Dev/Staging/Production, Feature branches, Multiple regions, Multi-tenant environments","",Environment strategy and workspace planning
TECH-007,Technical Requirements,State Management,What are your Terraform state management requirements?,"Options: Remote state in S3/Azure/GCS, State locking, State encryption, Multi-region replication, State versioning and rollback","",State backend architecture requirements
TECH-008,Technical Requirements,VCS Integration,What version control system do you use for infrastructure code?,"Options: GitHub, GitLab, Bitbucket, Azure DevOps, Other","",VCS integration requirements
TECH-009,Technical Requirements,Module Strategy,What is your Terraform module organization approach?,"Options: Public registry modules only, Private module registry, Custom in-house modules, Combination approach","",Module governance and reusability strategy
TECH-010,Technical Requirements,Secrets Management,What secrets management approach do you need?,"Options: HashiCorp Vault integration, Cloud-native (AWS Secrets Manager Azure Key Vault GCP Secret Manager), Environment variables, Other","",Secrets and credentials handling requirements
TECH-011,Technical Requirements,Integration,What systems need to integrate with the infrastructure platform?,"Integration targets: CI/CD pipelines, Monitoring tools (Datadog Splunk), ITSM (ServiceNow Jira), CMDB, Cloud cost management, Security scanning tools","",Integration scope and API requirements
TECH-012,Technical Requirements,Networking,What networking and connectivity requirements exist across clouds?,"Requirements: Cross-cloud VPN/interconnects, Network peering, Direct Connect/ExpressRoute, Hybrid connectivity, Bandwidth and latency needs","",Multi-cloud network architecture needs
TECH-013,Technical Requirements,Service Mesh,Do you require service mesh capabilities across clouds?,"Options: Yes - need Consul service mesh, Yes - already use Consul, No - networking only, Unsure - need guidance","",Service mesh and service discovery requirements
TECH-014,Technical Requirements,Performance,What are your infrastructure provisioning speed requirements?,"Specify: Target time for full environment deployment, Maximum acceptable plan/apply duration, Concurrent workspace runs needed","",Performance targets for sizing
TECH-015,Technical Requirements,Automation Level,What level of infrastructure automation do you need?,"Options: Self-service with approval workflows, Fully automated via CI/CD, Scheduled provisioning/deprovisioning, Event-driven automation, API-driven programmatic access","",Automation maturity and workflow requirements
TECH-016,Technical Requirements,Custom Providers,Do you need custom Terraform providers for internal systems?,"Options: Yes - have internal APIs to integrate, No - cloud providers only, Unsure - need assessment","",Custom provider development requirements
TECH-017,Technical Requirements,Workspaces,How many Terraform workspaces do you expect to manage?,"Ranges: 1-50, 51-200, 201-1000, 1000+. Consider environments x applications x teams","",Workspace count for sizing and organization
TECH-018,Technical Requirements,Concurrent Operations,How many concurrent Terraform operations do you need to support?,"Consider: Peak concurrent runs, Queue depth, Team distribution, CI/CD parallelism","",Concurrency requirements for infrastructure sizing
SEC-001,Security & Compliance,Data Classification,What is the highest data classification level for infrastructure metadata?,"Levels: Public, Internal, Confidential, Restricted","",Determines encryption and access control requirements
SEC-002,Security & Compliance,Sensitive Data,What sensitive data is managed through infrastructure provisioning?,"Sensitive data types: Cloud credentials and API keys, Database connection strings, Application secrets, Encryption keys, Compliance data, Customer data","",Data protection and masking requirements
SEC-003,Security & Compliance,Compliance Standards,What compliance standards must the platform meet?,"Common standards: SOC 2 Type II, ISO 27001, PCI DSS, HIPAA, FedRAMP, GDPR, NIST Cybersecurity Framework, CIS Benchmarks","",Compliance controls and audit requirements
SEC-004,Security & Compliance,Encryption,What encryption requirements apply to infrastructure state and secrets?,"Requirements: State encryption at rest (AES-256), State encryption in transit (TLS 1.2+), Vault transit encryption, Customer-managed encryption keys (CMK)","",Security architecture and key management
SEC-005,Security & Compliance,Access Control,What authentication and authorization requirements apply?,"Options: SSO (SAML/OIDC), MFA required, RBAC with team-based permissions, Attribute-based access control, Service account management, Just-in-time access","",Identity and access management requirements
SEC-006,Security & Compliance,Audit Logging,What audit and logging requirements do you have?,"Requirements: All API calls logged, Infrastructure change audit trail, Policy evaluation logs, Compliance reports, SIEM integration (Splunk Datadog)","",Audit trail and compliance reporting needs
SEC-007,Security & Compliance,Policy Enforcement,What infrastructure policy enforcement do you need?,"Policy types: Security policies (required encryption tagging), Cost policies (resource size limits region restrictions), Compliance policies (data residency approved resources), Naming conventions, Tagging standards","",Policy as code and governance requirements
SEC-008,Security & Compliance,Data Residency,Do you have data residency or sovereignty requirements?,"Specify regions/countries for: State storage, Secrets storage, Application data, Compliance drivers","",Geographic data sovereignty requirements
SEC-009,Security & Compliance,Network Security,What network security controls are required?,"Controls: Private network connectivity, VPN access only, IP whitelisting, Network segmentation, TLS mutual authentication, Certificate management","",Network security architecture requirements
SEC-010,Security & Compliance,Secret Rotation,What secret rotation and lifecycle management is required?,"Requirements: Automated secret rotation, Dynamic credentials with TTL, Credential revocation on changes, Secrets versioning, Break-glass procedures","",Secrets lifecycle management approach
GOV-001,Governance & Policy,Approval Workflows,What approval workflows are needed for infrastructure changes?,"Workflow types: Peer review required, Manager approval for production, Change advisory board for critical systems, Auto-approve for dev environments, Security team review","",Change management and approval requirements
GOV-002,Governance & Policy,Policy Framework,What policy as code framework do you prefer?,"Options: Sentinel (HashiCorp native), OPA (Open Policy Agent), Cloud-native policies, Custom policy engine, Multiple frameworks","",Policy framework selection and integration
GOV-003,Governance & Policy,Cost Management,What cost governance and optimization features do you need?,"Features: Cost estimation pre-apply, Budget alerts and limits, Resource tagging enforcement, Rightsizing recommendations, Unused resource detection, Multi-cloud cost comparison","",Cost governance and FinOps requirements
GOV-004,Governance & Policy,Workspace Organization,How should workspaces be organized and governed?,"Organization models: By team, By application, By environment, By cloud provider, By business unit, Combination approach","",Workspace structure and governance model
GOV-005,Governance & Policy,RBAC Strategy,What role-based access control model do you need?,"Roles: Read-only viewers, Terraform operators, Workspace admins, Organization owners, Custom roles with granular permissions","",RBAC design and permission requirements
GOV-006,Governance & Policy,Change Management,What change management processes must be followed?,"Processes: Change tickets required, Maintenance windows, Rollback procedures, Emergency change procedures, Compliance documentation","",Change control integration requirements
OPS-001,Operations & Support,Availability,What uptime requirements do you have for the infrastructure platform?,"Common targets: 99% (Business hours), 99.5% (Extended hours), 99.9% (24x7), 99.95% (Mission critical)","",SLA requirements drive architecture design
OPS-002,Operations & Support,RTO/RPO,What are your Recovery Time Objective and Recovery Point Objective?,"RTO: Maximum acceptable platform downtime, RPO: Maximum acceptable data/state loss, DR testing frequency","",Disaster recovery architecture requirements
OPS-003,Operations & Support,Support Coverage,What support coverage do you require for the platform?,"Options: Business hours (8x5), Extended (24x5), Full (24x7), Follow-the-sun support","",Support staffing and cost planning
OPS-004,Operations & Support,Monitoring,What monitoring and observability is required?,"Monitoring needs: Run status and duration, Policy compliance, State health checks, Workspace activity, Resource provisioning metrics, Cost tracking, Performance dashboards","",Operational visibility and alerting needs
OPS-005,Operations & Support,Alerting,What alerting and notification requirements do you have?,"Alerts: Failed runs, Policy violations, Cost threshold exceeded, Security events, Slack/Teams/PagerDuty integration","",Notification and incident management integration
OPS-006,Operations & Support,Backup Strategy,What backup and recovery strategy is needed?,"Requirements: State backup frequency, State retention period, Cross-region backup, Point-in-time recovery, Workspace configuration backup","",Backup architecture and data protection
OPS-007,Operations & Support,Drift Detection,How should infrastructure drift be detected and managed?,"Options: Scheduled drift detection scans, Alert on drift detection, Auto-remediation of drift, Manual drift correction, Drift reporting and analytics","",Drift management and reconciliation approach
OPS-008,Operations & Support,Runbook Automation,What operational runbooks need automation?,"Common runbooks: Environment provisioning, Disaster recovery, Security incident response, Cost optimization, Resource cleanup, Compliance reporting","",Operational automation requirements
OPS-009,Operations & Support,Self-Service,What self-service capabilities do you need for teams?,"Capabilities: Workspace creation, Variable management, Run triggering, State management, Module discovery, Documentation access","",Self-service portal and UX requirements
OPS-010,Operations & Support,Migration Support,What migration support do you need from existing infrastructure?,"Migration scope: Existing Terraform state import, CloudFormation/ARM conversion, Manual infrastructure discovery, Brownfield environment assessment","",Migration strategy and lift-and-shift planning
TEAM-001,Team & Training,Team Structure,How is your infrastructure team currently structured?,"Team composition: Infrastructure engineers, DevOps engineers, Platform engineers, Cloud architects, Application developers, Security engineers","",Team organization for access control design
TEAM-002,Team & Training,Team Size,How many people will use the multi-cloud platform?,"Ranges: 1-10, 11-50, 51-200, 200+. Include: Operators, Developers, Viewers","",User count for licensing and training
TEAM-003,Team & Training,Skill Level,What is your team's current infrastructure automation skill level?,"Levels: Beginner (manual processes), Intermediate (basic scripting), Advanced (IaC experience), Expert (Terraform/automation mastery)","",Training needs assessment
TEAM-004,Team & Training,Training Needs,What training and enablement do you need?,"Training types: HashiCorp Terraform certification, Vault administration, Policy as code with Sentinel, Multi-cloud architecture, Platform administration, Custom module development","",Training program design and delivery
TEAM-005,Team & Training,Knowledge Transfer,What knowledge transfer and documentation do you require?,"Deliverables: Architecture documentation, Runbooks and procedures, Module development guide, Policy templates, Video tutorials, Best practices guide","",Documentation and enablement materials
TEAM-006,Team & Training,Support Model,What ongoing support model do you prefer post-implementation?,"Options: Managed services (full platform management), Co-managed (shared responsibility), Self-managed with advisory, Training and handoff only","",Post-implementation support requirements
