# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,Managed Cloud Providers,3 clouds (AWS Azure GCP),2 clouds,3 clouds,4+ clouds + on-prem,Number of cloud platforms to manage
Solution Scope,Infrastructure Resources,2500 total resources,500 resources,2500 resources,10000+ resources,Total managed infrastructure across all clouds
Solution Scope,Terraform Workspaces,100 workspaces,25 workspaces,100 workspaces,500+ workspaces,Isolated environment and team workspaces
Integration,External System Integrations,4 integrations (GitHub Datadog Slack ServiceNow),2 integrations,4-6 integrations,8+ integrations,VCS monitoring ITSM tools
Integration,VCS Platform,GitHub,GitHub or GitLab,Multiple VCS platforms,Complex multi-VCS with custom workflows,Version control system integration
User Base,Total Platform Users,50 users,10 users,50 users,200+ users,Platform operators and developers
User Base,User Roles,5 roles (viewer operator admin security auditor),3 roles,5 roles,8+ roles with complex permissions,RBAC and access control structure
Data Volume,Concurrent Infrastructure Runs,15 concurrent runs,5 concurrent,15 concurrent,50+ concurrent,Parallel Terraform operations
Data Volume,State Storage Volume,2 TB,500 GB,2 TB,10+ TB,Terraform state files and backups
Technical Environment,Deployment Regions,Multi-region (us-east-1 eu-west-1 ap-southeast-1),Single region,Multi-region,Global multi-region HA,Platform deployment footprint
Technical Environment,Availability Requirements,High (99.9%),Standard (99.5%),High (99.9%),Mission critical (99.95%+),Platform uptime SLA
Technical Environment,Infrastructure Complexity,Multi-cloud with networking,Single cloud basic,Multi-cloud with networking,Multi-cloud with service mesh,Terraform Vault Consul integration
Security & Compliance,Security Requirements,Enterprise (Vault SSO RBAC),Basic IAM,Enterprise security,Advanced with HSM,Secrets management and access control
Security & Compliance,Compliance Frameworks,SOC2 ISO27001,1-2 basic standards,2-3 standards,Multiple complex frameworks,Governance and audit requirements
Performance,Policy Governance,50 Sentinel policies,10 policies,50 policies,200+ policies,Policy as code enforcement rules
Performance,Processing Mode,Self-service with approvals,Manual approval,Self-service with approvals,Fully automated GitOps,Infrastructure provisioning workflow
Environment,Deployment Environments,3 environments (dev staging prod),2 environments,3 environments,4+ environments,Platform environment management
# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Requirements Gathering, Current State Assessment, HashiCorp Assessment, Multi-Cloud Strategy)"
Planning,PLANNING_MX,1,"All Planning phase tasks (Platform Architecture, Vault Design, Consul Design, Network Design, Migration Planning)"
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Terraform Cloud Setup, Vault Implementation, Consul Deployment, Policy Development, Integration)"
Testing,TESTING_MX,1,"All Testing phase tasks (Unit Testing, Integration Testing, Policy Testing, Security Testing, Multi-Cloud Testing)"
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Deployment, Workspace Migration, Go-Live Support)"
Training,TRAINING_MX,1,"All Training phase tasks (Platform Training, Vault Training, Policy Training, Documentation)"
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)"
Management,MANAGEMENT_MX,1.5,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1.5,Quarterback/Technical Leadership overhead - 10% of actual engineering hours
# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Requirements Gathering,Conduct stakeholder interviews for multi-cloud platform requirements,EO Engineer,40,1,=$E38*$F38,$150,"=TEXT($G38*$H38,""$#,##0"")",,Includes requirements documentation and current state analysis
Discovery,Current State Assessment,Analyze existing infrastructure automation and cloud environments,EO Engineer,32,1,=$E39*$F39,$200,"=TEXT($G39*$H39,""$#,##0"")",,Customer must provide access to existing Terraform code and cloud accounts
Discovery,HashiCorp Assessment,Evaluate HashiCorp product usage and enterprise readiness,EO Engineer,24,1,=$E40*$F40,$200,"=TEXT($G40*$H40,""$#,##0"")",,Assess current Terraform Vault Consul usage and licensing
Discovery,Multi-Cloud Strategy,Define multi-cloud strategy and workload distribution,EO Engineer,16,1,=$E41*$F41,$175,"=TEXT($G41*$H41,""$#,##0"")",,Includes cloud provider selection and governance model
Planning,Platform Architecture Design,Design Terraform Cloud/Enterprise architecture and deployment,EO Engineer,48,1,=$E42*$F42,$200,"=TEXT($G42*$H42,""$#,##0"")",,Includes workspace organization state management and HA design
Planning,Vault Architecture Design,Design HashiCorp Vault secrets management architecture,EO Engineer,32,1,=$E43*$F43,$180,"=TEXT($G43*$H43,""$#,##0"")",,Includes auth methods secrets engines and multi-cloud integration
Planning,Consul Architecture Design,Design HashiCorp Consul service mesh and discovery architecture,EO Engineer,24,1,=$E44*$F44,$175,"=TEXT($G44*$H44,""$#,##0"")",,Includes service mesh networking and cross-cloud connectivity
Planning,Network Architecture Design,Design multi-cloud networking VPN and connectivity,EO Engineer,24,1,=$E45*$F45,$175,"=TEXT($G45*$H45,""$#,##0"")",,Includes VPC/VNet peering VPN and network security
Planning,Migration Planning,Develop Terraform state migration and workspace transition plan,EO Engineer,24,1,=$E46*$F46,$140,"=TEXT($G46*$H46,""$#,##0"")",,Plan for migrating existing Terraform to centralized platform
Planning,Policy Development,Design Sentinel policies for security cost and compliance,EO Engineer,32,1,=$E47*$F47,$150,"=TEXT($G47*$H47,""$#,##0"")",,Develop policy as code framework and governance rules
Development,Terraform Cloud Setup,Deploy and configure Terraform Cloud/Enterprise platform,EO Engineer,48,1,=$E48*$F48,$160,"=TEXT($G48*$H48,""$#,##0"")",,Includes Kubernetes deployment database setup and HA configuration
Development,Workspace Migration,Migrate Terraform workspaces and state to centralized platform,EO Engineer,60,1,=$E49*$F49,$145,"=TEXT($G49*$H49,""$#,##0"")",,Customer must provide existing Terraform code and state files
Development,Vault Implementation,Deploy HashiCorp Vault and configure secrets management,EO Engineer,40,1,=$E50*$F50,$160,"=TEXT($G50*$H50,""$#,##0"")",,Includes Vault cluster deployment unsealing and auth configuration
Development,Vault Integration,Integrate Vault with Terraform and cloud providers,EO Engineer,32,1,=$E51*$F51,$150,"=TEXT($G51*$H51,""$#,##0"")",,Configure dynamic credentials for AWS Azure GCP
Development,Consul Deployment,Deploy HashiCorp Consul service mesh across clouds,EO Engineer,32,1,=$E52*$F52,$145,"=TEXT($G52*$H52,""$#,##0"")",,Includes Consul server deployment and agent configuration
Development,Policy Implementation,Implement Sentinel policies and governance controls,EO Engineer,40,1,=$E53*$F53,$140,"=TEXT($G53*$H53,""$#,##0"")",,Deploy security cost and compliance policies
Development,VCS Integration,Configure GitHub/GitLab integration and webhooks,EO Engineer,24,1,=$E54*$F54,$140,"=TEXT($G54*$H54,""$#,##0"")",,Setup GitOps workflow and PR automation
Development,CI/CD Integration,Integrate platform with CI/CD pipelines,EO Engineer,24,1,=$E55*$F55,$135,"=TEXT($G55*$H55,""$#,##0"")",,Connect to Jenkins GitHub Actions GitLab CI
