#WIDTH: 45,14,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Application,terraform-enterprise,terraform-enterprise,terraform-enterprise,Solution name for resource naming,Yes,String,Valid string value,Public,Platform Team,,From solution object,2025-12-03
solution.abbr,Application,tfe,tfe,tfe,Solution abbreviation (3-4 chars),Yes,String,Valid string value,Public,Platform Team,,From solution object,2025-12-03
solution.provider_name,Application,hashicorp,hashicorp,hashicorp,Provider organization name,Yes,String,Valid string value,Public,Platform Team,,From solution object,2025-12-03
solution.category_name,Application,devops,devops,devops,Solution category,Yes,String,Valid string value,Public,Platform Team,,From solution object,2025-12-03
tfe.organization,TFE Platform,client-organization,client-organization,client-organization,TFE organization name,Yes,String,Valid organization name,Public,Platform Team,,Must be unique across TFE,2025-12-03
tfe.hostname,TFE Platform,tfe.client.example.com,tfe-test.client.example.com,tfe-dr.client.example.com,TFE hostname (FQDN),Yes,String,Valid hostname,Public,Platform Team,,Use FQDN with TLS,2025-12-03
tfe.license_path,TFE Platform,/secrets/tfe-license.rli,/secrets/tfe-license.rli,/secrets/tfe-license.rli,Path to TFE license file,Yes,String,Valid file path,Secret,Platform Team,,Store securely,2025-12-03
tfe.admin_email,TFE Platform,admin@example.com,admin@example.com,admin@example.com,Initial admin user email,Yes,String,Valid email address,Confidential,Platform Team,,For initial setup,2025-12-03
tfe.operational_mode,TFE Platform,active-active,standalone,active-active,TFE operational mode,Yes,String,standalone|mounted-disk|active-active,Public,Platform Team,,Enterprise modes,2025-12-03
tfe.concurrent_runs,TFE Platform,10,5,10,Maximum concurrent Terraform runs,Yes,Integer,1-50,Public,Platform Team,,Size workers accordingly,2025-12-03
tfe.workspace_count,TFE Platform,50,25,50,Target workspace count for platform,Yes,Integer,1-500,Public,Platform Team,,Matches SOW scope,2025-12-03
tfe.user_count,TFE Platform,25,15,25,Number of platform users,Yes,Integer,1-500,Public,Platform Team,,License capacity,2025-12-03
aws.region,Project,us-east-1,us-east-1,us-west-2,Primary AWS region,Yes,String,Valid AWS region,Public,Infrastructure Team,,EKS deployment region,2025-12-03
aws.dr_region,Project,us-west-2,us-west-2,us-east-1,DR AWS region for failover,Yes,String,Valid AWS region,Public,Infrastructure Team,,Cross-region DR,2025-12-03
aws.account_id,Project,123456789012,123456789012,123456789012,AWS account ID for platform,Yes,String,12-digit account ID,Confidential,Infrastructure Team,,Platform account,2025-12-03
ownership.cost_center,Project,CC-TFE-001,CC-TFE-001,CC-TFE-001,Cost center for billing,Yes,String,Valid string value,Public,Finance,,From ownership object,2025-12-03
ownership.owner_email,Project,platform-team@example.com,platform-team@example.com,platform-team@example.com,Owner email for notifications,Yes,String,Valid email address,Confidential,Platform Team,,From ownership object,2025-12-03
ownership.project_code,Project,PRJ-TFE-001,PRJ-TFE-001,PRJ-TFE-001,Project tracking code,Yes,String,Valid string value,Public,Platform Team,,From ownership object,2025-12-03
network.vpc_cidr,Networking,10.50.0.0/16,10.51.0.0/16,10.52.0.0/16,VPC CIDR block for platform,Yes,String,Valid CIDR notation,Confidential,Network Team,,256 addresses minimum,2025-12-03
network.private_subnet_cidrs,Networking,"[""10.50.10.0/24"", ""10.50.11.0/24"", ""10.50.12.0/24""]","[""10.51.10.0/24"", ""10.51.11.0/24""]","[""10.52.10.0/24"", ""10.52.11.0/24"", ""10.52.12.0/24""]",Private subnet CIDR blocks,Yes,List(String),Valid CIDR list,Confidential,Network Team,,Multi-AZ deployment,2025-12-03
network.public_subnet_cidrs,Networking,"[""10.50.1.0/24"", ""10.50.2.0/24"", ""10.50.3.0/24""]","[""10.51.1.0/24"", ""10.51.2.0/24""]","[""10.52.1.0/24"", ""10.52.2.0/24"", ""10.52.3.0/24""]",Public subnet CIDR blocks,Yes,List(String),Valid CIDR list,Confidential,Network Team,,ALB deployment,2025-12-03
network.enable_nat_gateway,Networking,true,true,true,Enable NAT Gateway for private subnets,Yes,Boolean,true|false,Public,Network Team,,Internet access,2025-12-03
network.single_nat_gateway,Networking,false,true,false,Use single NAT (cost) vs HA NAT (reliability),Yes,Boolean,true|false,Public,Network Team,,Cost optimization,2025-12-03
network.enable_flow_logs,Networking,true,false,true,Enable VPC Flow Logs,Yes,Boolean,true|false,Public,Network Team,,Network monitoring,2025-12-03
network.flow_log_retention_days,Networking,90,30,90,Flow log retention period in days,Yes,Integer,Positive integer (days),Public,Network Team,,Audit requirements,2025-12-03
compute.eks_cluster_name,Compute,tfe-prod-cluster,tfe-test-cluster,tfe-dr-cluster,EKS cluster name for TFE,Yes,String,Valid EKS cluster name,Public,Infrastructure Team,,3-node cluster,2025-12-03
compute.eks_node_instance_type,Compute,t3.large,t3.medium,t3.large,EKS worker node instance type,Yes,String,Valid EC2 instance type,Public,Infrastructure Team,,2 vCPU 8GB minimum,2025-12-03
compute.eks_node_count,Compute,3,2,3,Number of EKS worker nodes,Yes,Integer,1-10,Public,Infrastructure Team,,HA requires 3+,2025-12-03
compute.eks_node_min_count,Compute,2,1,2,Minimum EKS worker nodes for autoscaling,Yes,Integer,1-10,Public,Infrastructure Team,,Minimum capacity,2025-12-03
compute.eks_node_max_count,Compute,6,3,6,Maximum EKS worker nodes for autoscaling,Yes,Integer,1-20,Public,Infrastructure Team,,Scale limit,2025-12-03
database.rds_instance_class,Database,db.t3.medium,db.t3.small,db.t3.medium,RDS instance class for TFE state,Yes,String,Valid RDS instance class,Public,Infrastructure Team,,2 vCPU 4GB,2025-12-03
database.rds_storage_gb,Database,50,20,50,RDS allocated storage in GB,Yes,Integer,20-500,Public,Infrastructure Team,,Scale as needed,2025-12-03
database.rds_database_name,Database,tfe_state,tfe_state,tfe_state,PostgreSQL database name,Yes,String,Valid database name,Confidential,Infrastructure Team,,TFE state backend,2025-12-03
database.rds_multi_az,Database,true,false,true,Enable RDS Multi-AZ,Yes,Boolean,true|false,Public,Infrastructure Team,,High availability,2025-12-03
database.rds_backup_retention,Database,7,1,7,RDS backup retention days,Yes,Integer,1-35,Public,Infrastructure Team,,Backup policy,2025-12-03
