Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your Terraform Enterprise initiative?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this Terraform Enterprise project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What infrastructure automation challenges are you trying to solve?,"Common challenges: Inconsistent infrastructure provisioning, Lack of collaboration on infrastructure code, No policy enforcement or governance, Manual approval processes, Cloud cost overruns, Compliance and audit gaps","",Primary business driver for Terraform Enterprise investment
BUS-004,Business Requirements,Current State,What is your current infrastructure as code workflow?,"Describe: Terraform usage (open source vs cloud), State management approach, Team collaboration methods, Approval processes","",Current state baseline assessment
BUS-005,Business Requirements,IaC Experience,What Infrastructure as Code tools are you currently using?,"Tools: Terraform Open Source, Terraform Cloud Free, CloudFormation, ARM Templates, Ansible, Custom scripts, None","",Current IaC maturity and migration needs
BUS-006,Business Requirements,Scale,How many infrastructure resources do you manage with Terraform?,"Ranges: 1-100, 101-1000, 1001-10000, 10000+","",Infrastructure scale drives workspace and run capacity
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing Terraform Enterprise?,"Common goals: Centralize Terraform state management, Enable team collaboration on infrastructure code, Implement policy as code governance, Provide self-service infrastructure provisioning, Improve security and compliance posture, Reduce infrastructure deployment time, Support multi-cloud strategy","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure Terraform Enterprise success?,"Define KPIs: Infrastructure deployment time reduction, Policy compliance rate, Number of self-service workspace runs, Infrastructure drift reduction, Team productivity improvement","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for Terraform Enterprise implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget for this Terraform Enterprise solution?,"Include: Terraform Enterprise licenses (per-seat or per-run), Infrastructure costs (hosting), Professional services, Training. Common ranges: $50K-250K, $250K-1M, $1M+","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for infrastructure automation?,"Consider expansion to: Additional teams and workloads, More cloud providers, Advanced automation (drift detection policy enforcement), Integration with CI/CD and ITSM","",Future roadmap and scalability planning
BUS-012,Business Requirements,Growth Projections,How do you expect Terraform usage to grow over 3 years?,"Provide: Current workspace count, Current user count, Projected growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Terraform Usage,What is your current Terraform experience and usage level?,"Options: No Terraform experience, Basic Terraform OSS usage, Intermediate (modules workspaces), Advanced (remote backends providers), Terraform Cloud Free","",Team skill level and migration complexity
TECH-002,Technical Requirements,Terraform Version,What Terraform version(s) are you currently using?,"Specify versions: 0.12.x, 0.13.x, 0.14.x, 0.15.x, 1.0+, 1.1+, 1.2+, Mixed versions","",Compatibility and upgrade requirements
TECH-003,Technical Requirements,State Management,How are you currently managing Terraform state?,"Options: Local state files, Remote backend (S3 Azure GCS), Terraform Cloud Free, Consul, No state management yet","",State migration and backend requirements
TECH-004,Technical Requirements,Cloud Providers,Which cloud providers do you use with Terraform?,"Providers: AWS, Azure, GCP, Oracle Cloud, VMware, OpenStack, Kubernetes, Other","",Multi-cloud provider support needs
TECH-005,Technical Requirements,Infrastructure Scope,What types of infrastructure do you provision with Terraform?,"Resource types: Compute (VMs containers), Networking (VPC subnets load balancers), Storage (block object database), Security (IAM firewalls), Kubernetes, Databases, Serverless, SaaS integrations","",Infrastructure module and provider requirements
TECH-006,Technical Requirements,Workspaces,How many Terraform workspaces do you expect to manage?,"Ranges: 1-25, 26-100, 101-500, 500+. Consider: environments x applications x teams","",Workspace capacity planning
TECH-007,Technical Requirements,Modules,What is your Terraform module strategy?,"Options: No modules (flat configs), In-house private modules, Public registry modules, Combination of public and private, Module versioning and testing","",Module governance and reusability
TECH-008,Technical Requirements,VCS Integration,What version control system do you use for Terraform code?,"Options: GitHub, GitLab, Bitbucket, Azure DevOps, Other, None currently","",VCS integration and GitOps requirements
TECH-009,Technical Requirements,Deployment,Where will you deploy Terraform Enterprise?,"Options: Kubernetes (EKS AKS GKE), Virtual machines (AWS Azure GCP on-prem), Docker containers, Cloud-managed (Terraform Cloud SaaS)","",Hosting platform and architecture
TECH-010,Technical Requirements,Networking,What networking and connectivity requirements exist?,"Requirements: Private network access only, VPN connectivity, Internet access restrictions, Proxy requirements, Air-gapped environment","",Network architecture and security needs
TECH-011,Technical Requirements,Integration,What systems need to integrate with Terraform Enterprise?,"Integration targets: CI/CD (Jenkins GitLab CI GitHub Actions), Monitoring (Datadog Splunk), ITSM (ServiceNow Jira), Vault (secrets), Sentinel (policies), Cost management tools","",Integration scope and API requirements
TECH-012,Technical Requirements,Concurrent Runs,How many concurrent Terraform runs do you need to support?,"Ranges: 1-5, 6-15, 16-50, 50+. Consider: Peak usage, Team distribution, CI/CD automation","",Concurrency requirements for sizing
