Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your OpenShift Container Platform project?,Provide internal project reference name,,Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this OpenShift project?,"Name, role, and decision-making authority",,Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What application modernization challenges are you trying to solve?,"Common challenges: Slow deployment cycles, Inconsistent environments, Infrastructure bottlenecks, Cloud vendor lock-in, Lack of developer self-service, High operational costs",,Primary business driver for OpenShift investment
BUS-004,Business Requirements,Current State,What is your current application deployment workflow?,"Describe manual steps, systems involved, and pain points",,Current state baseline assessment
BUS-005,Business Requirements,Application Portfolio,How many applications do you plan to containerize?,"Typical ranges: 1-10, 11-50, 51-100, 100+",,Application scope and migration planning
BUS-006,Business Requirements,Deployment Frequency,How often do you currently deploy applications to production?,"Typical frequencies: Daily, Weekly, Monthly, Quarterly, Ad-hoc",,Deployment velocity drives CI/CD requirements
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing OpenShift?,"Common goals: Accelerate deployment cycles, Enable developer self-service, Improve resource utilization, Support hybrid cloud, Modernize legacy apps, Reduce infrastructure costs",,Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure OpenShift success?,"Define KPIs: deployment frequency increase, time-to-market reduction, infrastructure cost savings, developer productivity gains",,Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for OpenShift implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months",,Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget range for this OpenShift solution?,"Common ranges: $100K-500K, $500K-1M, $1M-3M, $3M+. Include both infrastructure and services",,Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for container platform adoption?,"Consider expansion to additional teams, applications, and environments",,Future roadmap and scalability planning
BUS-012,Business Requirements,Growth Projections,How do you expect containerized workload growth over 3 years?,Provide current container count and projected annual growth rate,,Scalability requirements and capacity planning
TECH-001,Technical Requirements,Development Team,How many developers will use the OpenShift platform?,"Typical ranges: 1-25, 26-100, 101-500, 500+",,Developer seat count for RBAC and resource quotas
TECH-002,Technical Requirements,Development Team,What is your team's experience level with Kubernetes and containers?,"Experience levels: None - new to containers, Basic - using Docker, Intermediate - some Kubernetes, Advanced - production Kubernetes",,Training requirements assessment
TECH-003,Technical Requirements,Application Specifications,What types of applications will run on OpenShift?,"Common types: Web apps, APIs/microservices, Batch jobs, Databases, Message queues, AI/ML workloads, Legacy apps",,Workload classification and requirements
TECH-004,Technical Requirements,Application Architecture,Are your applications monolithic or microservices-based?,"Architecture types: Monolithic, Microservices, Mixed, Planning to modernize",,Architecture pattern affects cluster design
TECH-005,Technical Requirements,Technology Stack,What programming languages and frameworks do you use?,"Common stacks: Java/Spring, .NET, Node.js, Python, Go, Ruby, PHP",,Runtime and build strategy requirements
TECH-006,Technical Requirements,Database Requirements,What databases will you run on or connect to from OpenShift?,"Database types: PostgreSQL, MySQL, MongoDB, Oracle, SQL Server, Redis, Elasticsearch",,Stateful workload and storage requirements
TECH-007,Technical Requirements,Container Registry,Do you need a private container registry?,"Options: Use OpenShift integrated registry, External registry (Quay Harbor DockerHub), Hybrid approach",,Container image storage and management
TECH-008,Technical Requirements,Deployment Platform,What is your target deployment platform for OpenShift?,"Platform options: Bare metal servers, VMware vSphere, AWS (ROSA), Azure (ARO), Google Cloud, IBM Cloud, Multi-cloud",,Infrastructure provider and deployment model
TECH-009,Technical Requirements,Cluster Sizing,What is your expected OpenShift cluster size?,"Sizing categories: Small (3 control + 3 worker nodes), Medium (3 control + 6-12 workers), Large (3 control + 12+ workers), Multi-cluster",,Cluster capacity and node count
TECH-010,Technical Requirements,Compute Requirements,What are your total compute resource requirements?,Specify total vCPUs and RAM needed across all nodes,,Infrastructure sizing for workload capacity
TECH-011,Technical Requirements,Storage Requirements,What are your persistent storage requirements?,"Storage types needed: Block storage (RWO), File storage (RWX), Object storage (S3), No persistent storage",,Storage class and volume requirements
TECH-012,Technical Requirements,Storage Volume,What is your estimated total persistent storage capacity?,"Typical ranges: 1-10 TB, 10-50 TB, 50-100 TB, 100+ TB",,Storage capacity planning and costs
TECH-013,Technical Requirements,High Availability,What are your high availability requirements?,"HA levels: Single cluster, Multi-AZ cluster, Multi-cluster active-active, Multi-region DR",,Availability architecture design
TECH-014,Technical Requirements,Disaster Recovery,What are your Recovery Time Objective (RTO) and Recovery Point Objective (RPO)?,"RTO: Maximum acceptable downtime, RPO: Maximum acceptable data loss (in hours)",,DR strategy and backup requirements
TECH-015,Technical Requirements,Networking,What networking model do you prefer?,"Network plugins: OpenShift SDN, OVN-Kubernetes, Calico, Cilium",,Network architecture and policy requirements
TECH-016,Technical Requirements,Load Balancing,What load balancing requirements do you have?,"Load balancer types: OpenShift Router, External load balancer (F5 NGINX), Cloud load balancer, Service mesh (Istio)",,Ingress and traffic management
TECH-017,Technical Requirements,Service Mesh,Do you need service mesh capabilities?,"Service mesh features: Traffic management, Security (mTLS), Observability, Circuit breaking",,Microservices communication requirements
TECH-018,Technical Requirements,Multi-tenancy,Do you need to support multiple teams or environments on the same cluster?,"Multi-tenancy options: Shared cluster with namespaces, Dedicated clusters per team, Hybrid approach",,Tenant isolation and resource allocation
TECH-019,Technical Requirements,CI/CD Integration,What CI/CD tools do you currently use?,"CI/CD tools: Jenkins, GitLab, GitHub Actions, Azure DevOps, Tekton, ArgoCD, None",,Pipeline integration requirements
TECH-020,Technical Requirements,GitOps,Are you interested in GitOps deployment model?,"GitOps tools: ArgoCD (included), Flux, Manual deployment",,Application deployment methodology
SEC-001,Security & Compliance,Security Standards,What security and compliance standards must you meet?,"Common standards: SOC 2, ISO 27001, PCI DSS, HIPAA, GDPR, NIST 800-53, FedRAMP, STIGs",,Compliance controls and audit requirements
SEC-002,Security & Compliance,Data Classification,What is the highest data classification level in your applications?,"Levels: Public, Internal use, Confidential, Restricted/Regulated",,Determines security controls and encryption
SEC-003,Security & Compliance,Identity Provider,What identity provider do you use for authentication?,"Identity providers: Active Directory, LDAP, Okta, Azure AD, Google Workspace, AWS IAM, OAuth/OIDC",,SSO and RBAC integration
SEC-004,Security & Compliance,Access Control,What role-based access control (RBAC) requirements do you have?,"RBAC needs: Developer roles, Admin roles, Read-only roles, Custom roles, External user access",,Authorization model design
SEC-005,Security & Compliance,Container Security,What container security scanning do you require?,"Security scanning: Image vulnerability scanning, Compliance scanning, Runtime security, Admission control",,Security tooling and policies
SEC-006,Security & Compliance,Network Security,What network security policies are required?,"Network policies: Namespace isolation, Ingress/egress rules, Zero-trust networking, Encryption in transit",,Network segmentation and controls
SEC-007,Security & Compliance,Secrets Management,How do you currently manage application secrets and credentials?,"Secret management: Kubernetes secrets, HashiCorp Vault, AWS Secrets Manager, Azure Key Vault, CyberArk",,Secrets storage and rotation strategy
SEC-008,Security & Compliance,Certificate Management,What SSL/TLS certificate management requirements do you have?,"Certificate needs: Wildcard certs, Per-route certs, Let's Encrypt integration, Corporate CA",,Certificate provisioning and renewal
SEC-009,Security & Compliance,Encryption,What encryption requirements apply?,"Encryption needs: Encryption at rest (LUKS), Encryption in transit (TLS), Key management (KMIP)",,Data protection and key management
SEC-010,Security & Compliance,Audit Logging,What audit and logging requirements do you have?,"Logging needs: API audit logs, Application logs, Security events, Compliance reporting",,Audit trail and compliance reporting
OPS-001,Operations & Support,Monitoring,What monitoring and observability tools do you use?,"Monitoring tools: Prometheus/Grafana (included), Datadog, New Relic, Dynatrace, Splunk, ELK Stack",,Platform and application monitoring
OPS-002,Operations & Support,Logging,What centralized logging solution do you require?,"Logging platforms: OpenShift Logging (EFK), Splunk, Elastic, Datadog, CloudWatch",,Log aggregation and retention
OPS-003,Operations & Support,Alerting,What alerting and incident management tools do you use?,"Alert systems: Alertmanager (included), PagerDuty, OpsGenie, VictorOps, Email/Slack",,Incident response and on-call
OPS-004,Operations & Support,Backup & Recovery,What backup and recovery procedures are required?,"Backup scope: etcd cluster data, Persistent volumes, Application configs, Disaster recovery testing",,Data protection and recovery strategy
OPS-005,Operations & Support,Upgrade Strategy,How do you plan to handle OpenShift version upgrades?,"Upgrade approaches: Automated rolling upgrades, Scheduled maintenance windows, Blue-green cluster strategy",,Platform lifecycle management
OPS-006,Operations & Support,Support Coverage,What support coverage do you require?,"Support levels: Business hours (8x5), Extended (24x5), Full (24x7), Self-support",,Support staffing and SLA requirements
OPS-007,Operations & Support,Day 2 Operations,Who will manage day-to-day OpenShift operations?,"Operations model: Internal platform team, Managed services, Hybrid approach, Vendor support",,Operational responsibility and staffing
