Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your Ansible Automation Platform project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this Ansible automation project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What manual IT operations challenges are you trying to solve?,"Common challenges: Time-consuming manual server configuration, Configuration drift and inconsistency, Error-prone manual changes, Lack of standardization, Slow provisioning times, Audit and compliance gaps","",Primary business driver for automation investment
BUS-004,Business Requirements,Current State,What is your current approach to infrastructure and application management?,"Describe manual processes, scripts used, and operational pain points","",Current state baseline assessment
BUS-005,Business Requirements,Scope,How many servers and network devices do you need to manage with Ansible?,"Typical ranges: 1-100 nodes, 101-500 nodes, 501-1000 nodes, 1000+ nodes","",Total managed node count drives licensing
BUS-006,Business Requirements,Automation Use Cases,What IT operations do you want to automate?,"Common use cases: Server provisioning, Application deployment, Configuration management, Patch management, Security hardening, Network automation, Cloud provisioning, Compliance enforcement","",Automation scope and playbook requirements
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing Ansible Automation Platform?,"Common goals: Reduce manual configuration time, Eliminate configuration errors, Standardize deployments across environments, Accelerate application delivery, Improve compliance and audit readiness, Enable self-service automation","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure automation success?,"Define KPIs: time savings per task, error reduction rate, automation adoption percentage, compliance score improvement","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for Ansible implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget range for this Ansible solution?,"Common ranges: $50K-200K, $200K-500K, $500K-1M, $1M+. Include both software and services","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for IT automation?,"Consider expansion to additional systems, teams, and automation use cases","",Future roadmap and scalability planning
BUS-012,Business Requirements,Growth Projections,How do you expect managed infrastructure to grow over 3 years?,"Provide current node count and projected annual growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Managed Infrastructure,How many Linux servers need Ansible automation?,"Provide count of RHEL, CentOS, Ubuntu, other Linux distributions","",Linux server inventory and scope
TECH-002,Technical Requirements,Managed Infrastructure,How many Windows servers need Ansible automation?,"Provide count of Windows Server instances requiring management","",Windows server inventory and PowerShell requirements
