#WIDTH: 45,14,50,50,50,55,8,12,35,14,14,12,40,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,mist-ai-network,mist-ai-network,mist-ai-network,Solution name for resource naming,Yes,String,Valid string value,Public,Wireless Team,,Mist AI Network solution identifier,2025-12-04
solution.abbr,Project,mist,mist,mist,Solution abbreviation (3-4 chars),Yes,String,3-4 alphanumeric chars,Public,Wireless Team,,Used in resource naming prefix,2025-12-04
solution.provider_name,Project,juniper,juniper,juniper,Provider organization name,Yes,String,Valid string value,Public,Wireless Team,,Juniper Networks provider,2025-12-04
solution.category_name,Project,network,network,network,Solution category,Yes,String,Valid string value,Public,Wireless Team,,Network category,2025-12-04
ownership.cost_center,Project,CC-MIST-001,CC-MIST-001,CC-MIST-001,Cost center code,Yes,String,Valid cost center,Public,Finance,,Cost allocation tracking,2025-12-04
ownership.owner_email,Project,wireless-team@example.com,wireless-team@example.com,wireless-team@example.com,Owner email for notifications,Yes,String,Valid email,Confidential,Wireless Team,,Team notifications,2025-12-04
ownership.project_code,Project,PRJ-MIST-2025,PRJ-MIST-2025,PRJ-MIST-2025,Project tracking code,Yes,String,Valid string,Public,Wireless Team,,Project management tracking,2025-12-04
mist.org_id,Cloud,[vault:mist_org_id],[vault:mist_org_id],[vault:mist_org_id],Mist organization ID,Yes,String,Valid UUID,Secret,Wireless Team,Mist account,From Mist dashboard,2025-12-04
mist.api_token,Cloud,[vault:mist_api_token],[vault:mist_api_token],[vault:mist_api_token],Mist API token,Yes,String,Valid API token,Secret,Wireless Team,mist.org_id,API authentication,2025-12-04
mist.cloud_region,Cloud,Global 01,Global 01,Global 01,Mist Cloud region,Yes,String,Valid region,Public,Wireless Team,,Primary cloud region,2025-12-04
mist.country_code,Cloud,US,US,US,Country code for regulatory domain,Yes,String,Valid ISO country code,Public,Wireless Team,,Affects available channels,2025-12-04
mist.timezone,Cloud,America/New_York,America/New_York,America/Los_Angeles,Timezone for scheduled operations,Yes,String,Valid IANA timezone,Public,Wireless Team,,Affects auto-upgrade schedule,2025-12-04
site.name,Site,headquarters,test-lab,dr-site,Site name in Mist,Yes,String,Valid string,Public,Wireless Team,,Site identifier,2025-12-04
site.address,Site,"123 Corporate Drive, NYC","456 Test Lab Ave","789 DR Center Blvd",Physical site address,Yes,String,Valid address,Public,Wireless Team,,Location tracking,2025-12-04
site.latitude,Site,40.7128,40.7500,34.0522,Site latitude coordinate,Yes,Float,Valid latitude,Public,Wireless Team,,GPS location,2025-12-04
site.longitude,Site,-74.0060,-73.9000,-118.2437,Site longitude coordinate,Yes,Float,Valid longitude,Public,Wireless Team,,GPS location,2025-12-04
site.rf_template,Site,enterprise-high-density,lab-basic,enterprise-high-density,RF template to apply,Yes,String,Valid template name,Public,Wireless Team,Mist templates,RF configuration,2025-12-04
site.network_template,Site,enterprise-standard,lab-basic,enterprise-standard,Network template to apply,Yes,String,Valid template name,Public,Wireless Team,Mist templates,VLAN/Network config,2025-12-04
wlan.ssid_corporate,WLAN,Corp-WiFi,Test-Corp,DR-Corp-WiFi,Corporate employee SSID name,Yes,String,Valid SSID 1-32 chars,Public,Wireless Team,RADIUS configured,802.1X authentication,2025-12-04
wlan.ssid_corporate_enabled,WLAN,true,true,true,Enable corporate SSID,Yes,Boolean,true|false,Public,Wireless Team,,Main employee network,2025-12-04
wlan.ssid_corporate_hidden,WLAN,false,false,false,Hide corporate SSID from broadcast,Yes,Boolean,true|false,Public,Wireless Team,,Visible SSID,2025-12-04
wlan.ssid_corporate_band,WLAN,dual,dual,dual,Corporate SSID frequency bands,Yes,String,2.4|5|6|dual|all,Public,Wireless Team,,2.4GHz and 5GHz,2025-12-04
wlan.ssid_corporate_vlan_id,WLAN,200,200,200,Corporate SSID VLAN,Yes,Integer,1-4094,Public,Network Team,VLAN configured,Employee traffic VLAN,2025-12-04
wlan.ssid_guest,WLAN,Guest-WiFi,Test-Guest,DR-Guest-WiFi,Guest visitor SSID name,Yes,String,Valid SSID 1-32 chars,Public,Wireless Team,Portal configured,Captive portal authentication,2025-12-04
wlan.ssid_guest_enabled,WLAN,true,true,true,Enable guest SSID,Yes,Boolean,true|false,Public,Wireless Team,,Guest network,2025-12-04
wlan.ssid_guest_hidden,WLAN,false,false,false,Hide guest SSID from broadcast,Yes,Boolean,true|false,Public,Wireless Team,,Visible SSID,2025-12-04
wlan.ssid_guest_band,WLAN,dual,dual,dual,Guest SSID frequency bands,Yes,String,2.4|5|6|dual|all,Public,Wireless Team,,2.4GHz and 5GHz,2025-12-04
wlan.ssid_guest_vlan_id,WLAN,300,300,300,Guest SSID VLAN,Yes,Integer,1-4094,Public,Network Team,VLAN configured,Isolated guest VLAN,2025-12-04
wlan.ssid_guest_portal_enabled,WLAN,true,true,true,Enable captive portal for guest,Yes,Boolean,true|false,Public,Wireless Team,,Portal authentication,2025-12-04
wlan.ssid_guest_portal_expire_hours,WLAN,24,4,24,Guest portal session expiration hours,Yes,Integer,1-168,Public,Wireless Team,wlan.ssid_guest_portal_enabled,Session timeout,2025-12-04
wlan.ssid_iot,WLAN,IoT-Network,,DR-IoT-Network,IoT device SSID name,No,String,Valid SSID 1-32 chars,Public,Wireless Team,PSK configured,Hidden SSID optional,2025-12-04
wlan.ssid_iot_enabled,WLAN,true,false,true,Enable IoT SSID,Yes,Boolean,true|false,Public,Wireless Team,,IoT network,2025-12-04
wlan.ssid_iot_hidden,WLAN,true,true,true,Hide IoT SSID from broadcast,Yes,Boolean,true|false,Public,Wireless Team,,Security measure,2025-12-04
wlan.ssid_iot_band,WLAN,2.4,2.4,2.4,IoT SSID frequency band,Yes,String,2.4|5|6|dual|all,Public,Wireless Team,,2.4GHz for IoT compatibility,2025-12-04
wlan.ssid_iot_vlan_id,WLAN,400,400,400,IoT SSID VLAN,Yes,Integer,1-4094,Public,Network Team,VLAN configured,Isolated IoT VLAN,2025-12-04
network.vlan_mgmt_id,Network,100,100,100,Management VLAN for APs,Yes,Integer,1-4094,Public,Network Team,Switch configuration,AP management traffic,2025-12-04
network.vlan_corporate_id,Network,200,200,200,Corporate wireless client VLAN,Yes,Integer,1-4094,Public,Network Team,DHCP scope configured,Employee wireless clients,2025-12-04
