Phase,Work Package,Task Description,Resource Type,Estimated Hours,Rate,Cost Estimate,Dependencies,Risk Level,Notes
Discovery,Wireless Requirements Assessment,Analyze current wireless infrastructure coverage and performance issues,EO Engineer,32,$200,"=TEXT(E2*F2,""$#,##0"")",,Medium,Document WiFi dead zones user complaints and capacity needs
Discovery,Facility Assessment,Review building layouts construction materials and coverage requirements,EO Engineer,24,$200,"=TEXT(E3*F3,""$#,##0"")",,Medium,Building floor plans and RF propagation analysis
Discovery,Network Integration Analysis,Assess existing wired network VLANs and authentication infrastructure,EO Engineer,16,$175,"=TEXT(E4*F4,""$#,##0"")",,Medium,VLAN design DHCP and RADIUS integration requirements
Planning,RF Site Survey,Conduct predictive RF site survey using Mist AI planning tools,EO Engineer,40,$200,"=TEXT(E5*F5,""$#,##0"")",,High,AP placement design for optimal coverage and capacity
Planning,WLAN Architecture Design,Design SSID strategy VLAN segmentation and security policies,EO Engineer,32,$200,"=TEXT(E6*F6,""$#,##0"")",,Medium,Corporate guest IoT and voice wireless networks
Planning,Location Services Design,Design vBLE indoor positioning wayfinding and asset tracking,EO Engineer,24,$200,"=TEXT(E7*F7,""$#,##0"")",,Medium,Location-based services and analytics requirements
Planning,Implementation Planning,Develop AP installation schedule and cutover strategy,EO Engineer,16,$150,"=TEXT(E8*F8,""$#,##0"")",,Low,Minimize business disruption during deployment
Development,Switch Infrastructure Deployment,Deploy and configure EX4400 PoE switches for AP power and connectivity,EO Engineer,32,$200,"=TEXT(E9*F9,""$#,##0"")",,Medium,4 switches with uplinks to existing network
Development,Mist Cloud Configuration,Configure Mist cloud with SSIDs VLANs RF policies and security settings,EO Engineer,40,$200,"=TEXT(E10*F10,""$#,##0"")",,Medium,WLAN profiles RF templates and policy deployment
Development,AP Installation,Mount cable and deploy 50 Juniper AP45 WiFi 6E access points,EO Engineer,100,$150,"=TEXT(E11*F11,""$#,##0"")",,High,Physical installation across multiple buildings and floors
Development,Authentication Integration,Integrate Mist with RADIUS Active Directory or SSO for enterprise auth,EO Engineer,24,$200,"=TEXT(E12*F12,""$#,##0"")",,Medium,802.1X configuration and user authentication testing
Development,Marvis AI Activation,Enable Marvis VNA for AI-driven troubleshooting and anomaly detection,EO Engineer,16,$200,"=TEXT(E13*F13,""$#,##0"")",,Medium,AI virtual assistant configuration and SLE baseline
Development,Location Services Setup,Configure vBLE indoor positioning wayfinding maps and asset tracking,EO Engineer,32,$200,"=TEXT(E14*F14,""$#,##0"")",,Medium,Virtual BLE beacons and location analytics setup
Development,Wired Assurance Config,Onboard EX4400 switches to Wired Assurance for unified management,EO Engineer,16,$180,"=TEXT(E15*F15,""$#,##0"")",,Low,Wired network visibility and AI-driven operations
Testing,RF Validation Testing,Conduct coverage testing throughput validation and roaming verification,EO Engineer,40,$200,"=TEXT(E16*F16,""$#,##0"")",,High,Walk-through testing with spectrum analyzer and client devices
Testing,Client Connectivity Testing,Test authentication client onboarding and application performance,EO Engineer,24,$175,"=TEXT(E17*F17,""$#,##0"")",,Medium,Validate corporate guest IoT and voice wireless networks
Testing,Location Services Testing,Validate vBLE accuracy wayfinding navigation and asset tracking,EO Engineer,16,$175,"=TEXT(E18*F18,""$#,##0"")",,Medium,Indoor positioning accuracy and mobile app integration
Testing,Performance Testing,Conduct throughput testing with high-density client load,EO Engineer,16,$200,"=TEXT(E19*F19,""$#,##0"")",,Medium,Validate capacity and performance under real-world conditions
Testing,User Acceptance Testing,Coordinate UAT with IT and business users for production readiness,EO Engineer,24,$150,"=TEXT(E20*F20,""$#,##0"")",,Medium,End-user validation and feedback collection
Deployment,Legacy AP Decommissioning,Decommission old wireless infrastructure and migrate to Mist APs,EO Engineer,32,$175,"=TEXT(E21*F21,""$#,##0"")",,Medium,Incremental cutover with minimal business disruption
Deployment,Go-Live Support,Provide on-site support during production cutover and initial operation,EO Engineer,40,$200,"=TEXT(E22*F22,""$#,##0"")",,High,First week post-deployment support and issue resolution
Training,Mist Dashboard Training,Train IT administrators on Mist cloud dashboard and configuration,EO Engineer,16,$200,"=TEXT(E23*F23,""$#,##0"")",,Medium,2-day hands-on training for network administrators
Training,Marvis AI Training,Train IT staff on Marvis VNA conversational AI and troubleshooting,EO Engineer,8,$200,"=TEXT(E24*F24,""$#,##0"")",,Medium,AI-driven operations and proactive monitoring training
Training,Documentation Development,Create as-built RF maps configuration guides and troubleshooting runbooks,EO Engineer,32,$150,"=TEXT(E25*F25,""$#,##0"")",,Medium,Operational documentation and knowledge transfer
Closeout,Knowledge Transfer,Transfer solution ownership to IT operations and support teams,EO Engineer,16,$175,"=TEXT(E26*F26,""$#,##0"")",,Medium,Operational procedures escalation and ongoing management
Closeout,SLE Baseline Establishment,Establish Service Level Expectation baselines for client experience monitoring,EO Engineer,8,$150,"=TEXT(E27*F27,""$#,##0"")",,Low,Successful connects time to connect throughput roaming capacity
Management,Technical Leadership,Wireless architecture oversight and RF design review,EO Quarterback,"=ROUND(SUM(E2:E27)*0.25,0)",$200,"=TEXT(E28*F28,""$#,##0"")",,Medium,25% of engineering effort for technical guidance
Management,Project Management,Project coordination stakeholder management and timeline oversight,EO Project Manager,"=ROUND(SUM(E2:E27)*0.20,0)",$150,"=TEXT(E29*F29,""$#,##0"")",,Low,20% of engineering effort for project delivery
,,,     TOTAL HOURS,1032,   TOTAL COST,"=TEXT(E2*F2+E3*F3+E4*F4+E5*F5+E6*F6+E7*F7+E8*F8+E9*F9+E10*F10+E11*F11+E12*F12+E13*F13+E14*F14+E15*F15+E16*F16+E17*F17+E18*F18+E19*F19+E20*F20+E21*F21+E22*F22+E23*F23+E24*F24+E25*F25+E26*F26+E27*F27+E28*F28+E29*F29,""$#,##0"")",,,Total Juniper Mist AI Network professional services
