# Phase 1: Gap Assessment & Design
#WIDTH: 14,20,45,25,18,18
#ALIGN: left,left,left,left,center,center
Milestone ID,Target Date,Milestone,Deliverables,Owner,Status
MS-1.1,[DATE+2w],NIST 800-171 Gap Assessment Complete,Gap assessment report; Initial SPRS score,Security Architect,Not Started
MS-1.2,[DATE+4w],System Security Plan Draft Complete,SSP with 110 control narratives; Evidence mapping,ISSO/ISSM,Not Started
MS-1.3,[DATE+6w],GCC High Architecture Finalized,Detailed design document; Network diagrams; Cost model,Solution Architect,Not Started
MS-1.4,[DATE+8w],Phase 1 Design Approval,Signed design approval; ExpressRoute ordered,Project Manager,Not Started

# Phase 2: GCC High Deployment
#WIDTH: 14,20,45,25,18,18
#ALIGN: left,left,left,left,center,center
Milestone ID,Target Date,Milestone,Deliverables,Owner,Status
MS-2.1,[DATE+10w],M365 GCC High Tenant Configured,Tenant configured; Conditional Access policies; DLP,M365 Engineer,Not Started
MS-2.2,[DATE+12w],Azure Government Resources Deployed,VNet deployed; Key Vault; Sentinel workspace,Azure Engineer,Not Started
MS-2.3,[DATE+13w],Pilot Migration Complete (10 Users),10 users migrated; CAC/PIV validated; Pilot report,Migration Lead,Not Started
MS-2.4,[DATE+16w],Production Migration Complete (50 Users),All 50 users migrated; Email/files migrated; DNS cutover,Migration Lead,Not Started
MS-2.5,[DATE+17w],Sentinel SIEM Operational,Data connectors enabled; Playbooks deployed; Dashboards,Security Engineer,Not Started

# Phase 3: CMMC Preparation
#WIDTH: 14,20,45,25,18,18
#ALIGN: left,left,left,left,center,center
Milestone ID,Target Date,Milestone,Deliverables,Owner,Status
MS-3.1,[DATE+20w],Pre-Assessment Validation Complete,All 110 controls validated; Evidence package complete,ISSO/ISSM,Not Started
MS-3.2,[DATE+21w],C3PAO Readiness Review,Pre-assessment completed; Remediation items addressed,Security Architect,Not Started
MS-3.3,[DATE+24w],C3PAO Assessment Complete,Assessment completed; Findings documented,C3PAO,Not Started
MS-3.4,[DATE+25w],CMMC Level 2 Certification Achieved,CMMC certificate issued; SPRS score +110 submitted,Project Manager,Not Started
MS-3.5,[DATE+26w],Hypercare Complete and Handover,30-day hypercare complete; Training delivered; Runbooks,Project Manager,Not Started

