Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your CMMC GCC High Enclave project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this CMMC compliance project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What DoD contract opportunities require CMMC Level 2 certification?,"List contract values and timelines for CMMC compliance requirements","",Primary business driver for CMMC investment
BUS-004,Business Requirements,Current State,What is your current approach to handling Controlled Unclassified Information (CUI)?,"Describe on-premises systems, manual processes, or existing cloud solutions","",Current state baseline assessment
BUS-005,Business Requirements,Compliance Status,What is your current CMMC compliance status?,"Options: No compliance, Self-assessment started, C3PAO engaged, Certified Level 1, Pursuing Level 2","",CMMC certification readiness and timeline
BUS-006,Business Requirements,CUI Volume,How many users will access CUI in this environment?,"Typical ranges: 1-25, 26-50, 51-100, 100-250, 250+","",User licensing and access control sizing
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing GCC High Enclave?,"Common goals: Win DoD contracts, Meet CMMC certification, Secure CUI data, Reduce compliance costs, Enable remote collaboration","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure CMMC enclave success?,"Define KPIs: CMMC certification achieved, contract awards won, compliance cost reduction, audit pass rate","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for CMMC Level 2 certification?,"Typical ranges: 0-6 months, 6-12 months, 12-18 months, 18+ months","",Certification timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget for CMMC compliance implementation?,"Common ranges: $100K-250K, $250K-500K, $500K-1M, $1M+. Include software licenses and professional services","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for DoD contracting and CUI handling?,"Consider expansion to additional contracts, agencies, or classification levels","",Future roadmap and scalability planning
BUS-012,Business Requirements,Growth Projections,How do you expect CUI user count and data volume to change over 3 years?,"Provide current users and projected annual growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Microsoft 365 Environment,What Microsoft 365 services are you currently using?,"Options: Commercial M365, GCC, GCC High, None, Other cloud collaboration","",Current Microsoft footprint and migration scope
TECH-002,Technical Requirements,Azure Environment,What Azure cloud environment are you currently using?,"Options: Azure Commercial, Azure Government, None, Other cloud provider","",Current Azure footprint and hybrid connectivity
TECH-003,Technical Requirements,CUI Data Classification,What types of CUI data will be stored in this environment?,"Common types: Export-controlled technical data (ITAR/EAR), DoD contract data, Critical infrastructure, Law enforcement, Privacy Act data","",CUI classification affects compliance controls
TECH-004,Technical Requirements,NIST 800-171 Compliance,Which NIST 800-171 control families require implementation?,"Control families: Access Control (AC), Audit & Accountability (AU), Configuration Management (CM), Identification & Authentication (IA), Incident Response (IR), Maintenance (MA), Media Protection (MP), Personnel Security (PS), Physical Protection (PE), Risk Assessment (RA), Security Assessment (SA), System & Communications Protection (SC), System & Information Integrity (SI)","",Determines scope of security controls and automation
TECH-005,Technical Requirements,Authentication Requirements,What authentication methods do you require for CUI access?,"Options: CAC/PIV smart cards, Azure AD MFA, FIDO2 security keys, Conditional Access, Privileged Access Workstations (PAW)","",Identity and authentication architecture design
TECH-006,Technical Requirements,Network Connectivity,What network connectivity is required for the GCC High Enclave?,"Options: ExpressRoute to Azure Gov, Site-to-Site VPN, Internet-only, Hybrid connectivity to on-premises","",Network architecture and security requirements
TECH-007,Technical Requirements,Data Migration,What data needs to be migrated to the GCC High environment?,"List data sources: Email, SharePoint, file servers, databases, applications","",Migration scope and approach planning
TECH-008,Technical Requirements,Email Migration,What email system are you currently using?,"Options: Exchange on-premises, Exchange Online Commercial, Gmail, Other email system","",Email migration strategy and timeline
TECH-009,Technical Requirements,File Storage,What file storage and collaboration systems are currently used?,"Options: On-premises file servers, SharePoint on-prem, SharePoint Online Commercial, Box, Dropbox, Other","",File migration and SharePoint Online GCC High deployment
TECH-010,Technical Requirements,Application Integration,What business applications need to integrate with GCC High?,"List applications requiring SSO, data synchronization, or API integration","",Application compatibility and integration requirements
TECH-011,Technical Requirements,Identity Integration,How will user identities be managed in GCC High?,"Options: Cloud-only Azure AD, Azure AD Connect sync from on-prem AD, Federated with ADFS, Hybrid identity","",Identity architecture and directory synchronization
TECH-012,Technical Requirements,Workload Migration,What workloads will run in Azure Government?,"Common workloads: Virtual machines, Web applications, Databases, Storage accounts, Backup/DR","",Azure Government infrastructure sizing
TECH-013,Technical Requirements,Monitoring Requirements,What security monitoring and logging capabilities do you need?,"Requirements: SIEM (Sentinel), CloudWatch, Threat detection, Compliance dashboards, Audit reporting","",Security operations and compliance monitoring design
TECH-014,Technical Requirements,Backup and Recovery,What backup and disaster recovery requirements apply?,"Specify: RPO (Recovery Point Objective), RTO (Recovery Time Objective), Geo-redundancy requirements","",Business continuity and disaster recovery planning
SEC-001,Security & Compliance,CMMC Level,What CMMC Level certification are you pursuing?,"Options: Level 1 (Basic Cyber Hygiene), Level 2 (Advanced Cyber Hygiene), Level 3 (Expert Cyber Hygiene)","",Determines security control requirements
SEC-002,Security & Compliance,Assessment Timeline,When do you need to complete your CMMC assessment?,"Provide target assessment date and C3PAO engagement status","",Assessment readiness and preparation timeline
SEC-003,Security & Compliance,C3PAO Selection,Have you selected a CMMC Third-Party Assessment Organization (C3PAO)?,"Options: Already selected, Evaluating options, Need recommendations, Not yet started","",Assessment planning and preparation support
SEC-004,Security & Compliance,NIST 800-171 Gaps,What gaps exist in your current NIST 800-171 compliance?,"Describe findings from self-assessment or gaps identified in SPRS score","",Gap remediation scope and timeline
SEC-005,Security & Compliance,SPRS Score,What is your current Supplier Performance Risk System (SPRS) score?,"Provide current score (0-110) and target score","",Compliance baseline and improvement targets
SEC-006,Security & Compliance,Encryption Requirements,What encryption standards must be implemented?,"Requirements: FIPS 140-2 validated encryption, AES-256 at rest, TLS 1.2+ in transit","",Encryption architecture and key management
SEC-007,Security & Compliance,Audit Logging,What audit and logging retention is required?,"CMMC typically requires 1-year online + 6-year archive for audit logs","",Log retention and compliance reporting design
SEC-008,Security & Compliance,Incident Response,What incident response capabilities are required?,"Requirements: 24/7 SOC monitoring, Automated playbooks, Incident investigation, Threat hunting, Forensics","",Security operations center design and staffing
