# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0),,,,,,,,,,
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes,,,,,
CMMC Requirements,CMMC Level,Level 2 (Advanced Cyber Hygiene),Level 2,Level 3,Level 4 or 5,CMMC certification level and NIST control requirements,,,,,
CMMC Requirements,NIST 800-171 Controls,110 security requirements,110 controls,110 + Level 3,Additional Level 4/5 controls,Security control implementation complexity,,,,,
User Base,CUI User Count,50 users accessing CUI,50 users,100-200 users,300+ users,Users requiring CUI access and GCC High licenses,,,,,
User Base,User Roles,3 roles (CUI processor admin reviewer),2-3 standard roles,4-6 roles,8+ roles with complex permissions,CUI processor administrator reviewer roles,,,,,
M365 GCC High,M365 Tenant,GCC High (FedRAMP High),GCC High only,GCC High + DoD,Multiple tenants or complex federation,Microsoft 365 GCC High tenant complexity,,,,,
M365 GCC High,M365 Services,Exchange SharePoint Teams OneDrive Purview,Core services,Core + advanced,Full suite + custom,GCC High services and features enabled,,,,,
M365 GCC High,Email Migration Volume,100 GB total mailbox data,100 GB,250 GB,1+ TB,Email migration from commercial or on-premises,,,,,
M365 GCC High,File Migration Volume,500 GB SharePoint and OneDrive,500 GB,2 TB,10+ TB,File migration to GCC High SharePoint,,,,,
Azure Government,Azure Gov Resources,5 VMs 2TB storage VNet ExpressRoute,Basic infrastructure,Standard infrastructure,Complex multi-tier,Azure Government compute storage network,,,,,
Azure Government,Sentinel Capacity,100GB/month log ingestion,100GB/month,250GB/month,1+ TB/month,Sentinel SIEM log ingestion and retention,,,,,
Azure Government,Defender Coverage,All Azure resources and M365 workloads,Basic coverage,Standard coverage,Advanced threat protection,Defender for Cloud coverage scope,,,,,
Security & Compliance,Authentication,CAC/PIV smart card with MFA,CAC/PIV basic,CAC/PIV + biometric,Advanced federated identity,DoD smart card authentication complexity,,,,,
Security & Compliance,Identity Platform,Azure AD GCC High with SSO,Azure AD GCC High,Federated multi-forest,Complex hybrid identity,Identity and access management complexity,,,,,
Security & Compliance,Data Encryption,FIPS 140-2 encryption at rest and transit,FIPS 140-2 basic,FIPS 140-2 advanced,Custom encryption + HSM,Encryption and cryptographic requirements,,,,,
Technical Environment,Availability Requirements,99.9% (GCC High SLA),99.9% standard,99.95% high availability,99.99% mission critical,GCC High and Azure Government SLA,,,,,
Technical Environment,Infrastructure Complexity,Azure Gov + M365 GCC High hybrid,Basic hybrid,Standard hybrid,Complex multi-cloud,Hybrid cloud architecture complexity,,,,,
Technical Environment,Deployment Regions,Single Azure Gov region (us-gov-virginia),Single region,2 regions,Multi-region global,Azure Government geographic distribution,,,,,
C3PAO Assessment,Assessment Timeline,Month 6 C3PAO assessment,Month 6,Month 9,Month 12+,CMMC certification timeline,,,,,
Environment,Deployment Environments,2 environments (dev prod),2 environments (dev prod),3 environments (dev staging prod),4+ environments with pipelines,Environment management for CMMC,,,,,
# ESTIMATE SETTINGS,,,,,,,,,,
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks,,,,,,,
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (NIST Gap Assessment, Architecture Design, C3PAO Selection)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (GCC High Deployment, Azure Gov Infrastructure, CAC/PIV Authentication)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Sentinel SIEM, Security Monitoring, CMMC Controls Implementation)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Control Testing, Compliance Validation, C3PAO Preparation)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Deployment, C3PAO Assessment, Certification)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (ISSO/ISSM Training, Security Operations Training, Documentation)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Ongoing Compliance Management)",,,,,,,
Management,MANAGEMENT_MX,1,"Project Management overhead - 10% of actual engineering hours",,,,,,,
Leadership,LEADERSHIP_MX,1,"Quarterback/Technical Leadership overhead - 10% of actual engineering hours",,,,,,,
# Level of Effort,
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,NIST 800-171 Gap Assessment,Conduct comprehensive gap assessment across 14 control families,EO Engineer,40,='Estimate Settings'!$C$3,=$E33*$F33,$175,"=TEXT($G33*$H33,""$#,##0"")",,Evaluate current SPRS score and NIST 800-171 compliance posture
Discovery,GCC High Architecture Design,Design Microsoft 365 GCC High tenant and services architecture,EO Engineer,32,='Estimate Settings'!$C$3,=$E34*$F34,$200,"=TEXT($G34*$H34,""$#,##0"")",,GCC High tenant Exchange SharePoint Teams OneDrive architecture
Discovery,Azure Government Design,Design Azure Government infrastructure for CUI workloads,EO Engineer,24,='Estimate Settings'!$C$3,=$E35*$F35,$200,"=TEXT($G35*$H35,""$#,##0"")",,VMs storage networking ExpressRoute design
Discovery,C3PAO Selection,Research and select CMMC Third-Party Assessment Organization,EO Engineer,16,='Estimate Settings'!$C$3,=$E36*$F36,$150,"=TEXT($G36*$H36,""$#,##0"")",,C3PAO qualification and engagement planning
Planning,GCC High Tenant Provisioning,Provision and configure Microsoft 365 GCC High tenant,EO Engineer,24,='Estimate Settings'!$C$4,=$E37*$F37,$180,"=TEXT($G37*$H37,""$#,##0"")",GCC High Architecture Design,Domain verification licensing and tenant configuration
Planning,Exchange Online Deployment,Deploy Exchange Online GCC High with archiving and eDiscovery,EO Engineer,32,='Estimate Settings'!$C$4,=$E38*$F38,$175,"=TEXT($G38*$H38,""$#,##0"")",GCC High Tenant Provisioning,CUI email with 10-year retention and compliance
Planning,SharePoint Teams Deployment,Deploy SharePoint and Teams for CUI collaboration,EO Engineer,24,='Estimate Settings'!$C$4,=$E39*$F39,$175,"=TEXT($G39*$H39,""$#,##0"")",Exchange Online Deployment,Secure collaboration meeting CMMC requirements
