#WIDTH: 45,18,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,M365 Enterprise Deployment,M365 Enterprise Deployment,M365 Enterprise Deployment,Full solution name for tagging,Yes,String,Max 50 characters,Public,Project Team,None,Display name in dashboards,2025-12-04
solution.abbr,Project,m365,m365,m365,Solution abbreviation for resource naming,Yes,String,Max 10 characters,Public,Project Team,None,Used in all resource names,2025-12-04
solution.provider_name,Project,microsoft,microsoft,microsoft,Technology provider name,Yes,String,microsoft,Public,Project Team,None,EO Framework provider,2025-12-04
solution.category_name,Project,modern-workspace,modern-workspace,modern-workspace,Solution category,Yes,String,Valid category,Public,Project Team,None,EO Framework category,2025-12-04
azure_ad.tenant_id,Project,[TENANT_ID],[TENANT_ID],[TENANT_ID],Azure AD tenant identifier,Yes,String,GUID format,Secret,Platform Team,Azure subscription,Commercial tenant,2025-12-04
azure_ad.tenant_domain,Project,[company].onmicrosoft.com,[company].onmicrosoft.com,[company].onmicrosoft.com,Azure AD tenant primary domain,Yes,String,Valid domain,Confidential,Platform Team,Tenant provisioning,Primary .onmicrosoft.com domain,2025-12-04
azure_ad.custom_domain,Project,company.com,company.com,company.com,Custom domain for users,Yes,String,Valid domain,Public,Platform Team,DNS verification,User UPN suffix,2025-12-04
ownership.cost_center,Project,CC-M365-001,CC-M365-001,CC-M365-001,Cost center for billing,Yes,String,Valid cost center,Public,Finance,None,Chargeback reporting,2025-12-04
ownership.owner_email,Project,it-team@company.com,dev-team@company.com,it-team@company.com,Technical owner email,Yes,String,Valid email,Public,Project Team,None,Alert notifications,2025-12-04
ownership.project_code,Project,PRJ-M365-2025,PRJ-M365-2025,PRJ-M365-2025,Project code for tracking,Yes,String,Valid project code,Public,Project Team,None,Financial tracking,2025-12-04
m365.license_type,M365 Services,E5,E3,E5,Microsoft 365 license tier,Yes,String,E3|E5|F3,Confidential,M365 Team,License procurement,$66.50/user/month for E5,2025-12-04
m365.user_count,M365 Services,500,50,500,Total licensed users,Yes,Integer,1-10000,Public,M365 Team,License count,All employees,2025-12-04
m365.exchange_enabled,M365 Services,true,true,true,Enable Exchange Online,Yes,Boolean,true|false,Public,M365 Team,None,100GB mailboxes,2025-12-04
m365.sharepoint_enabled,M365 Services,true,true,true,Enable SharePoint Online,Yes,Boolean,true|false,Public,M365 Team,None,Document collaboration,2025-12-04
