Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
DGX_SOLUTION_NAME,Application,All,NVIDIA DGX SuperPod,NVIDIA DGX SuperPod solution identifier,Yes,String,Max 50 characters,Public,AI Infrastructure,None,Used in cluster monitoring and job scheduling,[DATE]
DGX_SUPERPOD_VERSION,Application,All,3.1.0,Current DGX SuperPod software version,Yes,String,Semantic versioning format,Public,AI Infrastructure,None,Aligned with NVIDIA release schedule,[DATE]
DGX_NODE_COUNT,Hardware,All,20,Number of DGX nodes in SuperPod,Yes,Integer,8-256,Public,Hardware Team,Power and cooling,Plan for growth and redundancy,[DATE]
DGX_NODE_MODEL,Hardware,All,DGX H100,DGX node model specification,Yes,String,Valid DGX model,Public,Hardware Team,Performance requirements,Latest H100 generation,[DATE]
GPU_COUNT_PER_NODE,Hardware,All,8,Number of GPUs per DGX node,Yes,Integer,4-8,Public,Hardware Team,DGX_NODE_MODEL,H100 standard configuration,[DATE]
GPU_MODEL_TYPE,Hardware,All,H100 80GB,GPU model and memory specification,Yes,String,Valid NVIDIA GPU model,Public,AI Team,Workload requirements,Latest H100 architecture,[DATE]
GPU_MEMORY_PER_NODE_GB,Hardware,All,640,Total GPU memory per node in GB,Yes,Integer,320-640,Public,AI Team,Model size requirements,8x 80GB H100 GPUs,[DATE]
SYSTEM_MEMORY_PER_NODE_GB,Hardware,All,2048,System RAM per DGX node in GB,Yes,Integer,1024-2048,Public,Hardware Team,Data preprocessing,High memory for large datasets,[DATE]
NVME_STORAGE_PER_NODE_TB,Storage,All,30,NVMe storage per DGX node in TB,Yes,Integer,15-30,Public,Storage Team,Checkpoint storage,High-speed local storage,[DATE]
INFINIBAND_FABRIC_TYPE,Network,All,NDR400,InfiniBand fabric specification,Yes,String,Valid IB fabric type,Public,Network Team,Inter-node communication,400Gb/s NDR for optimal performance,[DATE]
INFINIBAND_SWITCH_COUNT,Network,All,4,Number of InfiniBand switches,Yes,Integer,2-8,Public,Network Team,Network topology,Leaf-spine architecture,[DATE]
INFINIBAND_SWITCH_MODEL,Network,All,QM9700,InfiniBand switch model,Yes,String,Valid IB switch model,Public,Network Team,Port density,40-port 400Gb/s switches,[DATE]
ETHERNET_FABRIC_TYPE,Network,All,100GbE,Ethernet fabric for management,Yes,String,Valid Ethernet speed,Public,Network Team,Management traffic,Separate from IB fabric,[DATE]
STORAGE_SYSTEM_TYPE,Storage,All,NetApp AFF A900,Shared storage system type,Yes,String,Valid storage platform,Public,Storage Team,Dataset storage,High-performance NFS/parallel FS,[DATE]
SHARED_STORAGE_CAPACITY_PB,Storage,All,2.0,Shared storage capacity in petabytes,Yes,Float,1.0-10.0,Public,Storage Team,Dataset requirements,Plan for dataset growth,[DATE]
PARALLEL_FILESYSTEM,Storage,All,WekaFS,Parallel filesystem for AI workloads,Yes,String,Valid parallel FS,Public,Storage Team,Performance optimization,Optimized for AI I/O patterns,[DATE]
SLURM_VERSION,Workload Management,All,22.05.8,Slurm workload manager version,Yes,String,Valid Slurm version,Public,AI Operations,Job scheduling,Latest stable release,[DATE]
SLURM_PARTITION_CONFIG,Workload Management,All,gpu-h100,Primary Slurm partition name,Yes,String,Valid partition name,Public,AI Operations,Resource allocation,GPU-optimized partition,[DATE]
SLURM_MAX_JOB_TIME,Workload Management,All,168:00:00,Maximum job runtime (hours:min:sec),Yes,String,Valid time format,Public,AI Operations,Resource planning,7 days maximum,[DATE]
SLURM_DEFAULT_CPUS_PER_GPU,Workload Management,All,16,Default CPU cores per GPU,Yes,Integer,8-32,Public,AI Operations,Resource allocation,Balanced CPU-GPU ratio,[DATE]
CUDA_VERSION,Software Stack,All,12.2,CUDA toolkit version,Yes,String,Valid CUDA version,Public,Software Team,GPU compatibility,Latest stable CUDA,[DATE]
CUDNN_VERSION,Software Stack,All,8.9.7,cuDNN library version,Yes,String,Valid cuDNN version,Public,Software Team,CUDA_VERSION,Deep learning optimization,[DATE]
NCCL_VERSION,Software Stack,All,2.18.5,NCCL communication library version,Yes,String,Valid NCCL version,Public,Software Team,Multi-GPU communication,Latest performance optimizations,[DATE]
NVIDIA_DRIVER_VERSION,Software Stack,All,535.104.12,NVIDIA GPU driver version,Yes,String,Valid driver version,Public,Software Team,CUDA_VERSION,Latest production driver,[DATE]
NGC_CONTAINER_REGISTRY,AI Frameworks,All,nvcr.io,NVIDIA NGC container registry,Yes,String,Valid registry URL,Public,AI Team,Container deployment,Official NVIDIA containers,[DATE]
PYTORCH_VERSION,AI Frameworks,All,2.1.0,PyTorch framework version,Yes,String,Valid PyTorch version,Public,AI Team,Model development,NGC container version,[DATE]
TENSORFLOW_VERSION,AI Frameworks,All,2.13.0,TensorFlow framework version,Yes,String,Valid TF version,Public,AI Team,Model development,NGC container version,[DATE]
TRITON_INFERENCE_VERSION,AI Frameworks,All,23.08,NVIDIA Triton inference server version,Yes,String,Valid Triton version,Public,AI Team,Model serving,Latest inference optimizations,[DATE]
HOROVOD_VERSION,AI Frameworks,All,0.28.1,Horovod distributed training version,Yes,String,Valid Horovod version,Public,AI Team,Distributed training,Multi-node training framework,[DATE]
JUPYTER_LAB_ENABLED,Development Tools,All,true,Enable JupyterLab for development,Yes,Boolean,true|false,Public,AI Team,Data science workflow,Interactive development environment,[DATE]
TENSORBOARD_ENABLED,Development Tools,All,true,Enable TensorBoard for visualization,Yes,Boolean,true|false,Public,AI Team,Training monitoring,Training metrics visualization,[DATE]
MLFLOW_TRACKING_ENABLED,MLOps,All,true,Enable MLflow experiment tracking,Yes,Boolean,true|false,Public,MLOps Team,Model lifecycle,Experiment management,[DATE]
MLFLOW_MODEL_REGISTRY,MLOps,All,enabled,MLflow model registry configuration,Yes,String,enabled|disabled,Public,MLOps Team,Model versioning,Centralized model storage,[DATE]
KUBEFLOW_ENABLED,MLOps,All,false,Enable Kubeflow for ML pipelines,No,Boolean,true|false,Public,MLOps Team,Pipeline orchestration,Container-based ML workflows,[DATE]
MODEL_STORAGE_PATH,Storage,All,/shared/models,Shared path for trained models,Yes,String,Valid Unix path,Public,AI Team,Model deployment,Accessible from all nodes,[DATE]
DATASET_STORAGE_PATH,Storage,All,/shared/datasets,Shared path for training datasets,Yes,String,Valid Unix path,Public,AI Team,Data access,High-performance storage,[DATE]
