#WIDTH:  45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN:  left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,nvidia-dgx-superpod,nvidia-dgx-superpod,nvidia-dgx-superpod,Solution name for resource naming,Yes,String,Valid string value,Public,Development,,DGX SuperPOD AI infrastructure,2025-12-04
solution.abbr,Project,dgxsp,dgxsp,dgxsp,Solution abbreviation (3-4 chars),Yes,String,3-5 alphanumeric,Public,Development,,Used in resource naming prefix,2025-12-04
solution.provider_name,Project,nvidia,nvidia,nvidia,Provider organization name,Yes,String,Valid string value,Public,Development,,NVIDIA provider,2025-12-04
solution.category_name,Project,ai,ai,ai,Solution category,Yes,String,Valid string value,Public,Development,,AI category,2025-12-04
cluster.name,Cluster,dgx-superpod-prod,dgx-superpod-test,dgx-superpod-dr,DGX SuperPOD cluster identifier,Yes,String,Max 30 alphanumeric chars,Public,AI Infrastructure,None,Used in Slurm and monitoring,2025-12-04
cluster.domain,Cluster,dgx.client.local,dgx-test.client.local,dgx-dr.client.local,Cluster DNS domain,Yes,String,Valid FQDN,Public,Network Team,DNS configuration,Internal cluster domain,2025-12-04
cluster.timezone,Cluster,UTC,UTC,UTC,Cluster timezone,Yes,String,Valid timezone,Public,Operations,,Consistent time across nodes,2025-12-04
hardware.dgx_node_count,Hardware,8,4,8,Number of DGX H100 nodes in SuperPOD,Yes,Integer,4-256,Public,Hardware Team,Power and cooling,Phase 1 deployment,2025-12-04
hardware.dgx_node_model,Hardware,DGX H100,DGX H100,DGX H100,DGX system model specification,Yes,String,DGX H100|DGX A100,Public,Hardware Team,Performance requirements,Latest H100 generation,2025-12-04
hardware.gpu_count_per_node,Hardware,8,8,8,Number of H100 GPUs per DGX node,Yes,Integer,8,Public,Hardware Team,hardware.dgx_node_model,Fixed for H100 platform,2025-12-04
hardware.gpu_model,Hardware,H100 80GB SXM,H100 80GB SXM,H100 80GB SXM,GPU model and memory specification,Yes,String,Valid NVIDIA GPU model,Public,AI Team,Workload requirements,80GB HBM3 memory,2025-12-04
hardware.gpu_memory_gb,Hardware,80,80,80,GPU HBM3 memory in GB per GPU,Yes,Integer,40|80,Public,AI Team,Model size requirements,640 GB per node total,2025-12-04
hardware.system_ram_gb,Hardware,2048,2048,2048,System RAM per DGX node in GB,Yes,Integer,1024-2048,Public,Hardware Team,Data preprocessing,DDR5 memory,2025-12-04
hardware.nvme_storage_tb,Hardware,30,30,30,Local NVMe storage per node in TB,Yes,Integer,15-60,Public,Storage Team,Checkpoint storage,High-speed scratch,2025-12-04
infiniband.speed_gbps,Network,400,400,400,InfiniBand port speed in Gbps,Yes,Integer,200|400,Public,Network Team,NDR InfiniBand,Quantum-2 fabric,2025-12-04
infiniband.ports_per_node,Network,8,8,8,InfiniBand ports per DGX node,Yes,Integer,4-8,Public,Network Team,Fabric topology,Full mesh capable,2025-12-04
infiniband.switch_model,Network,QM9700,QM9700,QM9700,InfiniBand switch model,Yes,String,QM9700|QM8700,Public,Network Team,Port density,40-port NDR switches,2025-12-04
infiniband.switch_count,Network,4,2,4,Number of InfiniBand switches,Yes,Integer,2-8,Public,Network Team,Network topology,Leaf-spine architecture,2025-12-04
infiniband.subnet_manager_ip,Network,10.10.1.1,10.11.1.1,10.12.1.1,InfiniBand Subnet Manager IP,Yes,String,Valid IPv4,Confidential,Network Team,SM configuration,Primary SM node,2025-12-04
infiniband.partition_key,Network,0x7fff,0x7fff,0x7fff,InfiniBand partition key,Yes,String,Valid hex value,Confidential,Network Team,Security isolation,Default full membership,2025-12-04
ethernet.management_vlan,Network,100,110,120,Management network VLAN ID,Yes,Integer,1-4094,Public,Network Team,Switch configuration,Out-of-band management,2025-12-04
ethernet.management_cidr,Network,10.100.0.0/24,10.110.0.0/24,10.120.0.0/24,Management network CIDR,Yes,String,Valid CIDR,Confidential,Network Team,,Management subnet,2025-12-04
ethernet.management_gateway,Network,10.100.0.1,10.110.0.1,10.120.0.1,Management network gateway,Yes,String,Valid IPv4,Confidential,Network Team,,Default gateway,2025-12-04
ethernet.bmc_vlan,Network,101,111,121,BMC/IPMI network VLAN ID,Yes,Integer,1-4094,Public,Network Team,Switch configuration,Out-of-band BMC access,2025-12-04
ethernet.bmc_cidr,Network,10.101.0.0/24,10.111.0.0/24,10.121.0.0/24,BMC network CIDR,Yes,String,Valid CIDR,Confidential,Network Team,,BMC subnet,2025-12-04
storage.system,Storage,Base Command,Base Command,Base Command,Shared storage platform,Yes,String,Base Command|VAST|DDN|Weka,Public,Storage Team,Dataset storage,NVMe all-flash,2025-12-04
storage.shared_capacity_pb,Storage,1.0,0.5,1.0,Shared storage capacity in PB,Yes,Float,0.5-10.0,Public,Storage Team,Dataset requirements,Expandable,2025-12-04
storage.throughput_gbs,Storage,14,10,14,Target storage throughput in GB/s,Yes,Integer,10-50,Public,Storage Team,Training I/O,Sustained read/write,2025-12-04
storage.parallel_filesystem,Storage,Lustre,Lustre,Lustre,Parallel filesystem for AI workloads,Yes,String,Lustre|GPFS|WekaFS,Public,Storage Team,Performance optimization,High-performance I/O,2025-12-04
storage.mount_path,Storage,/shared,/shared,/shared,Shared storage mount point,Yes,String,Valid Unix path,Public,Storage Team,All nodes,NFS mount,2025-12-04
storage.model_path,Storage,/shared/models,/shared/models,/shared/models,Shared path for trained models,Yes,String,Valid Unix path,Public,AI Team,Model deployment,Cross-node access,2025-12-04
storage.dataset_path,Storage,/shared/datasets,/shared/datasets,/shared/datasets,Shared path for training datasets,Yes,String,Valid Unix path,Public,AI Team,Data access,High-performance,2025-12-04
storage.checkpoint_path,Storage,/shared/checkpoints,/shared/checkpoints,/shared/checkpoints,Shared path for training checkpoints,Yes,String,Valid Unix path,Public,AI Team,Training recovery,Fault tolerance,2025-12-04
slurm.version,Workload Management,23.11,23.11,23.11,Slurm workload manager version,Yes,String,Valid Slurm version,Public,AI Operations,Job scheduling,Latest stable,2025-12-04
slurm.controller_ip,Workload Management,10.100.0.10,10.110.0.10,10.120.0.10,Slurm controller node IP,Yes,String,Valid IPv4,Confidential,AI Operations,Network connectivity,Primary scheduler,2025-12-04
slurm.controller_backup_ip,Workload Management,10.100.0.11,10.110.0.11,10.120.0.11,Slurm backup controller IP,No,String,Valid IPv4,Confidential,AI Operations,HA configuration,Failover scheduler,2025-12-04
slurm.partition_gpu,Workload Management,gpu-h100,gpu-h100,gpu-h100,Primary GPU partition name,Yes,String,Valid partition name,Public,AI Operations,Resource allocation,Default partition,2025-12-04
slurm.max_job_time_hours,Workload Management,168,72,168,Maximum job runtime in hours,Yes,Integer,24-336,Public,AI Operations,Resource planning,Long training support,2025-12-04
slurm.default_cpus_per_gpu,Workload Management,16,16,16,Default CPU cores per GPU allocation,Yes,Integer,8-32,Public,AI Operations,Resource allocation,Balanced ratio,2025-12-04
slurm.gres_config,Workload Management,gpu:h100:8,gpu:h100:8,gpu:h100:8,GRES configuration per node,Yes,String,Valid GRES format,Public,AI Operations,GPU scheduling,8 GPUs per node,2025-12-04
