Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your AI infrastructure project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this DGX SuperPOD project?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What AI/ML challenges are you trying to solve with GPU infrastructure?,"Common challenges: Slow model training, Limited compute capacity, High cloud costs, Inability to train large models, Research bottlenecks","",Primary business driver for GPU investment
BUS-004,Business Requirements,Current State,What is your current AI/ML infrastructure?,"Describe existing GPU systems, cloud resources, and constraints","",Current state baseline assessment
BUS-005,Business Requirements,AI Workloads,What types of AI workloads will you run?,"Common types: LLM training, Computer vision, Drug discovery, Recommender systems, Scientific computing, Multi-modal models","",Workload classification and requirements
BUS-006,Business Requirements,Research Team,How many data scientists and researchers will use the system?,"Typical ranges: 5-20, 20-50, 50-100, 100+","",User base sizing for capacity planning
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing DGX SuperPOD?,"Common goals: Train larger models, Reduce training time, Lower cloud costs, Enable research innovation, Support production inference, Scale AI capabilities","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure DGX SuperPOD success?,"Define KPIs: training time reduction, model size capability, cost savings, research throughput, time-to-market","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for DGX SuperPOD deployment?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months, 12+ months","",Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget range for this GPU infrastructure?,"Common ranges: $1M-3M, $3M-5M, $5M-10M, $10M+. Include hardware, software, facilities","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for AI infrastructure?,"Consider expansion to additional clusters, research areas, or production deployment","",Future roadmap and scalability planning
BUS-012,Business Requirements,Growth Projections,How do you expect AI compute demand to change over 3 years?,"Provide current utilization and projected annual growth rate","",Scalability requirements and capacity planning
TECH-001,Technical Requirements,Model Training,What is the largest model you plan to train?,"Model sizes: <10B parameters, 10B-100B, 100B-1T, >1T parameters","",Model size determines GPU count and memory
TECH-002,Technical Requirements,Training Time,What are your target training times for key models?,"Specify: model size, acceptable training duration (days/weeks/months)","",Performance requirements for sizing
TECH-003,Technical Requirements,GPU Requirements,How many GPUs do you estimate you need?,"Ranges: 16-32 GPUs, 32-64, 64-128, 128+ GPUs","",Initial sizing based on workload analysis
TECH-004,Technical Requirements,GPU Type,What GPU generation do you require?,"Options: H100 (latest, highest performance), A100 (proven, cost-effective), Mixed configurations","",GPU selection affects performance and cost
TECH-005,Technical Requirements,AI Frameworks,What AI/ML frameworks will you use?,"Common frameworks: PyTorch, TensorFlow, JAX, MXNet, Hugging Face, Custom frameworks","",Software compatibility and NGC container requirements
TECH-006,Technical Requirements,Dataset Size,What is your typical training dataset size?,"Sizes: <100 GB, 100 GB-1 TB, 1-10 TB, 10-100 TB, >100 TB","",Storage capacity and throughput requirements
TECH-007,Technical Requirements,Storage Performance,What storage performance do you need?,"Options: Standard (2-5 GB/s), High (5-10 GB/s), Ultra-high (10-20 GB/s), Maximum (>20 GB/s)","",Storage tier and capacity planning
TECH-008,Technical Requirements,Networking,Do you need InfiniBand for multi-node training?,"Options: Yes - multi-node required (400 Gbps IB), No - single-node sufficient (Ethernet), Hybrid approach","",Network fabric selection and cost impact
TECH-009,Technical Requirements,Network Speed,What network interconnect speed do you require?,"Options: 200 Gbps InfiniBand, 400 Gbps InfiniBand (Quantum-2), 800 Gbps InfiniBand (future), 100 GbE Ethernet","",Network performance for distributed training
TECH-010,Technical Requirements,Existing Infrastructure,What existing datacenter infrastructure do you have?,"Describe: available rack space, power capacity, cooling capacity, network backbone","",Infrastructure readiness assessment
TECH-011,Technical Requirements,Software Stack,What software platforms do you need?,"Options: DGX OS with NGC, NVIDIA AI Enterprise, Base Command Manager, Custom Linux, Kubernetes","",Platform and management software selection
TECH-012,Technical Requirements,Container Platform,Will you use containers for AI workloads?,"Options: NGC containers (PyTorch, TensorFlow), Custom containers, Both, No containers","",Container orchestration requirements
TECH-013,Technical Requirements,Job Scheduling,What job scheduling system do you prefer?,"Common systems: Slurm, Kubernetes, Run:ai, NVIDIA Base Command, Custom scheduler","",Workload management and orchestration
TECH-014,Technical Requirements,Integration,What systems need to integrate with DGX SuperPOD?,"List: data sources, ML platforms, monitoring systems, identity providers","",Integration scope and complexity
TECH-015,Technical Requirements,Cloud Integration,Do you need hybrid cloud capabilities?,"Options: On-prem only, Hybrid with AWS/Azure/GCP, Cloud bursting for peak loads, Multi-cloud","",Cloud connectivity and data transfer requirements
TECH-016,Technical Requirements,Inference Requirements,Will you use DGX SuperPOD for inference workloads?,"Options: Training only, Inference only, Both training and inference, Separate inference cluster","",Inference architecture and Triton deployment
TECH-017,Technical Requirements,Multi-Tenancy,Do you need multi-tenant capabilities?,"Options: Single team dedicated, Multiple teams isolated, Shared resources across org, Department-level isolation","",Resource allocation and isolation requirements
TECH-018,Technical Requirements,Model Checkpointing,How frequently do you need model checkpointing?,"Options: Hourly, Every few hours, Daily, On-demand only","",Storage I/O requirements for checkpoints
TECH-019,Technical Requirements,Monitoring,What monitoring capabilities do you need?,"Options: Basic GPU utilization, Advanced performance metrics, End-to-end ML observability, Custom dashboards","",Observability and performance tracking
SEC-001,Security & Compliance,Data Classification,What is the highest data classification level for training data?,"Levels: Public, Internal, Confidential, Restricted/Regulated","",Determines security controls and isolation
SEC-002,Security & Compliance,Sensitive Data,What sensitive data types are in your training datasets?,"Sensitive data types: PII, PHI, Financial data, Trade secrets, Government classified, Proprietary models, No sensitive data","",Data protection and encryption requirements
SEC-003,Security & Compliance,Compliance Standards,What compliance standards must DGX SuperPOD meet?,"Common standards: SOC 2, ISO 27001, HIPAA, FedRAMP, ITAR, Export control, None","",Compliance controls and audit requirements
