#WIDTH:  45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN:  left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,nvidia-gpu-compute-cluster,nvidia-gpu-compute-cluster,nvidia-gpu-compute-cluster,Solution name for resource naming,Yes,String,Valid string value,Public,Development,,GPU Compute Cluster for HPC/AI,2025-12-04
solution.abbr,Project,gpucc,gpucc,gpucc,Solution abbreviation (3-4 chars),Yes,String,3-5 alphanumeric,Public,Development,,Used in resource naming prefix,2025-12-04
solution.provider_name,Project,nvidia,nvidia,nvidia,Provider organization name,Yes,String,Valid string value,Public,Development,,NVIDIA provider,2025-12-04
solution.category_name,Project,ai,ai,ai,Solution category,Yes,String,Valid string value,Public,Development,,AI/HPC category,2025-12-04
cluster.name,Project,gpu-cluster-prod,gpu-cluster-test,gpu-cluster-dr,GPU compute cluster identifier,Yes,String,Max 30 alphanumeric chars,Public,AI Infrastructure,None,Used in Slurm and monitoring,2025-12-04
cluster.domain,Project,gpu.client.local,gpu-test.client.local,gpu-dr.client.local,Cluster DNS domain,Yes,String,Valid FQDN,Public,Network Team,DNS configuration,Internal cluster domain,2025-12-04
cluster.timezone,Project,UTC,UTC,UTC,Cluster timezone,Yes,String,Valid timezone,Public,Operations,,Consistent time across nodes,2025-12-04
hardware.gpu_node_count,Hardware,16,8,16,Number of GPU compute nodes,Yes,Integer,1-128,Public,Hardware Team,Power and cooling,Scalable deployment,2025-12-04
hardware.gpu_model,Hardware,A100 80GB PCIe,A100 40GB PCIe,A100 80GB PCIe,NVIDIA GPU model,Yes,String,Valid GPU model,Public,Hardware Team,Workload requirements,PCIe form factor,2025-12-04
hardware.gpu_count_per_node,Hardware,4,4,4,Number of GPUs per compute node,Yes,Integer,1-8,Public,Hardware Team,PCIe slots,4-way GPU config,2025-12-04
hardware.gpu_memory_gb,Hardware,80,40,80,GPU HBM memory in GB per GPU,Yes,Integer,40|80,Public,AI Team,Model size requirements,HBM2e memory,2025-12-04
hardware.cpu_model,Hardware,AMD EPYC 7763,AMD EPYC 7763,AMD EPYC 7763,Server CPU model,Yes,String,Valid CPU model,Public,Hardware Team,Compute requirements,64-core Milan,2025-12-04
hardware.cpu_cores_per_node,Hardware,128,128,128,Total CPU cores per node,Yes,Integer,32-256,Public,Hardware Team,Dual socket,2x 64 cores,2025-12-04
hardware.system_ram_gb,Hardware,1024,512,1024,System RAM per node in GB,Yes,Integer,256-2048,Public,Hardware Team,Data preprocessing,DDR4 memory,2025-12-04
hardware.nvme_storage_tb,Hardware,7.68,3.84,7.68,Local NVMe storage per node in TB,Yes,Float,1.0-30.0,Public,Storage Team,Scratch space,High-speed local,2025-12-04
hardware.server_model,Hardware,Custom OEM,Custom OEM,Custom OEM,Server platform,Yes,String,Valid server model,Public,Hardware Team,GPU certification,HGX-certified,2025-12-04
network.fabric_type,Network,RoCE v2,RoCE v2,RoCE v2,High-speed interconnect type,Yes,String,RoCE v2|InfiniBand HDR,Public,Network Team,GPU communication,100GbE RoCE,2025-12-04
network.fabric_speed_gbps,Network,100,100,100,Fabric network speed in Gbps,Yes,Integer,25|100|200,Public,Network Team,Bandwidth requirements,RDMA-capable,2025-12-04
network.fabric_switch_model,Network,NVIDIA SN4600,NVIDIA SN4600,NVIDIA SN4600,Fabric switch model,Yes,String,Valid switch model,Public,Network Team,Port density,Spectrum-3,2025-12-04
network.fabric_switch_count,Network,2,1,2,Number of fabric switches,Yes,Integer,1-8,Public,Network Team,HA configuration,Leaf switches,2025-12-04
network.management_vlan,Network,100,110,120,Management network VLAN ID,Yes,Integer,1-4094,Public,Network Team,Switch configuration,Out-of-band management,2025-12-04
network.management_cidr,Network,10.100.0.0/24,10.110.0.0/24,10.120.0.0/24,Management network CIDR,Yes,String,Valid CIDR,Confidential,Network Team,,Management subnet,2025-12-04
network.management_gateway,Network,10.100.0.1,10.110.0.1,10.120.0.1,Management network gateway,Yes,String,Valid IPv4,Confidential,Network Team,,Default gateway,2025-12-04
network.gpu_fabric_vlan,Network,200,210,220,GPU fabric network VLAN ID,Yes,Integer,1-4094,Public,Network Team,RDMA traffic,Jumbo frames enabled,2025-12-04
network.gpu_fabric_cidr,Network,10.200.0.0/24,10.210.0.0/24,10.220.0.0/24,GPU fabric network CIDR,Yes,String,Valid CIDR,Confidential,Network Team,,RoCE subnet,2025-12-04
network.bmc_vlan,Network,101,111,121,BMC/IPMI network VLAN ID,Yes,Integer,1-4094,Public,Network Team,Switch configuration,Out-of-band BMC,2025-12-04
network.bmc_cidr,Network,10.101.0.0/24,10.111.0.0/24,10.121.0.0/24,BMC network CIDR,Yes,String,Valid CIDR,Confidential,Network Team,,BMC subnet,2025-12-04
storage.shared_type,Storage,NFS,NFS,NFS,Shared storage protocol,Yes,String,NFS|Lustre|GPFS,Public,Storage Team,Client support,Standard NFS,2025-12-04
storage.shared_server,Storage,storage.client.local,storage-test.client.local,storage-dr.client.local,Shared storage server,Yes,String,Valid hostname,Confidential,Storage Team,Network connectivity,NFS server,2025-12-04
storage.shared_export,Storage,/export/gpu-cluster,/export/gpu-test,/export/gpu-dr,NFS export path,Yes,String,Valid path,Public,Storage Team,NFS server config,Export name,2025-12-04
storage.shared_mount,Storage,/shared,/shared,/shared,Local mount point,Yes,String,Valid Unix path,Public,Storage Team,All nodes,Standard mount,2025-12-04
storage.shared_capacity_tb,Storage,100,50,100,Shared storage capacity in TB,Yes,Integer,10-500,Public,Storage Team,Dataset requirements,Expandable,2025-12-04
storage.dataset_path,Storage,/shared/datasets,/shared/datasets,/shared/datasets,Shared path for datasets,Yes,String,Valid Unix path,Public,AI Team,Data access,Training data,2025-12-04
storage.model_path,Storage,/shared/models,/shared/models,/shared/models,Shared path for models,Yes,String,Valid Unix path,Public,AI Team,Model storage,Checkpoints,2025-12-04
storage.scratch_path,Storage,/scratch,/scratch,/scratch,Local scratch storage,Yes,String,Valid Unix path,Public,AI Team,Fast I/O,NVMe backed,2025-12-04
slurm.version,Workload Management,23.11,23.11,23.11,Slurm workload manager version,Yes,String,Valid Slurm version,Public,AI Operations,Job scheduling,Latest stable,2025-12-04
slurm.controller_ip,Workload Management,10.100.0.10,10.110.0.10,10.120.0.10,Slurm controller node IP,Yes,String,Valid IPv4,Confidential,AI Operations,Network connectivity,Primary scheduler,2025-12-04
slurm.controller_backup_ip,Workload Management,10.100.0.11,10.110.0.11,10.120.0.11,Slurm backup controller IP,No,String,Valid IPv4,Confidential,AI Operations,HA configuration,Failover scheduler,2025-12-04
slurm.partition_gpu,Workload Management,gpu-a100,gpu-a100,gpu-a100,Primary GPU partition name,Yes,String,Valid partition name,Public,AI Operations,Resource allocation,Default partition,2025-12-04
slurm.partition_cpu,Workload Management,cpu-only,cpu-only,cpu-only,CPU-only partition name,Yes,String,Valid partition name,Public,AI Operations,Non-GPU jobs,Preprocessing,2025-12-04
slurm.max_job_time_hours,Workload Management,72,24,72,Maximum job runtime in hours,Yes,Integer,1-168,Public,AI Operations,Resource planning,3-day limit,2025-12-04
slurm.default_cpus_per_gpu,Workload Management,32,32,32,Default CPU cores per GPU allocation,Yes,Integer,8-64,Public,AI Operations,Resource allocation,Balanced ratio,2025-12-04
slurm.gres_config,Workload Management,gpu:a100:4,gpu:a100:4,gpu:a100:4,GRES configuration per node,Yes,String,Valid GRES format,Public,AI Operations,GPU scheduling,4 GPUs per node,2025-12-04
slurm.accounting_db,Workload Management,slurm_acct_db,slurm_acct_db,slurm_acct_db,Slurm accounting database name,Yes,String,Valid database name,Public,AI Operations,Job accounting,MySQL/MariaDB,2025-12-04
slurm.fairshare_enabled,Workload Management,true,true,true,Enable Slurm fair-share scheduling,Yes,Boolean,true|false,Public,AI Operations,Multi-user fairness,Priority scheduling,2025-12-04
software.nvidia_driver_version,Software Stack,550.54.14,550.54.14,550.54.14,NVIDIA GPU driver version,Yes,String,Valid driver version,Public,Software Team,CUDA compatibility,Production driver,2025-12-04
software.cuda_version,Software Stack,12.4,12.4,12.4,CUDA toolkit version,Yes,String,Valid CUDA version,Public,Software Team,GPU compatibility,Latest stable,2025-12-04
software.cudnn_version,Software Stack,9.0.0,9.0.0,9.0.0,cuDNN library version,Yes,String,Valid cuDNN version,Public,Software Team,software.cuda_version,Deep learning ops,2025-12-04
software.nccl_version,Software Stack,2.21.5,2.21.5,2.21.5,NCCL communication library version,Yes,String,Valid NCCL version,Public,Software Team,Multi-GPU comm,RoCE optimized,2025-12-04
software.os_version,Software Stack,Ubuntu 22.04,Ubuntu 22.04,Ubuntu 22.04,Operating system version,Yes,String,Valid OS version,Public,Software Team,Driver support,LTS release,2025-12-04
software.python_version,Software Stack,3.11,3.11,3.11,Python version,Yes,String,Valid Python version,Public,Software Team,ML frameworks,Latest stable,2025-12-04
containers.ngc_registry,Containers,nvcr.io,nvcr.io,nvcr.io,NVIDIA NGC container registry URL,Yes,String,Valid registry URL,Public,AI Team,Container deployment,Official containers,2025-12-04
containers.pytorch_tag,Containers,24.08-py3,24.08-py3,24.08-py3,PyTorch NGC container tag,Yes,String,Valid container tag,Public,AI Team,Model development,Latest optimized,2025-12-04
containers.tensorflow_tag,Containers,24.08-tf2-py3,24.08-tf2-py3,24.08-tf2-py3,TensorFlow NGC container tag,Yes,String,Valid container tag,Public,AI Team,Model development,TF 2.x optimized,2025-12-04
containers.rapids_tag,Containers,24.08-cuda12.4-py3.11,24.08-cuda12.4-py3.11,24.08-cuda12.4-py3.11,RAPIDS NGC container tag,Yes,String,Valid container tag,Public,AI Team,Data science,GPU-accelerated,2025-12-04
containers.triton_tag,Containers,24.08-py3,24.08-py3,24.08-py3,Triton Inference Server tag,Yes,String,Valid container tag,Public,AI Team,Model serving,Inference optimization,2025-12-04
monitoring.prometheus_enabled,Monitoring,true,true,true,Enable Prometheus monitoring,Yes,Boolean,true|false,Public,Operations,Metrics collection,GPU metrics,2025-12-04
