# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,GPU Servers,8x Dell R750xa servers,4 servers (16 GPUs),8 servers (32 GPUs),16 servers (64 GPUs),Dell R750xa with 4x A100 40GB per server
Solution Scope,AI Workload Type,Distributed training,Single-GPU training,Multi-GPU training,Large-scale distributed,Training complexity and model parallelism
Integration,Data Science Team Size,20 data scientists,10-15 users,20-30 users,40+ users,Concurrent GPU access and job scheduling
Integration,Storage Infrastructure,200 TB NetApp storage,100 TB,200 TB,500 TB,NVMe all-flash for datasets and checkpoints
Data Volume,Training Datasets,Multi-TB datasets,50-100 TB,100-300 TB,500+ TB,Dataset storage and streaming requirements
Data Volume,Model Checkpointing,Regular checkpointing,Daily,Hourly,Continuous,Storage I/O and capacity impact
Technical Environment,Network Fabric,100 GbE Ethernet,1 GbE,100 GbE RDMA,InfiniBand,Multi-node distributed training performance
Technical Environment,Datacenter Readiness,Standard datacenter,Existing racks,Minor upgrades,Major buildout,80 kW power and cooling infrastructure
Technical Environment,Deployment Model,On-premises datacenter,Colocation,On-prem datacenter,Hybrid cloud,Physical deployment location
Security & Compliance,Data Classification,Proprietary models,Internal use,Confidential,Highly restricted,Model and dataset protection requirements
Security & Compliance,Compliance Requirements,Standard security,Basic controls,SOC2,HIPAA + SOC2,Regulatory frameworks for AI workloads
Performance,GPU Utilization Target,80% utilization,60%+ baseline,80% optimized,90%+ with advanced scheduling,Resource efficiency and ROI
Performance,Training Time Requirements,Hours to days,Weeks acceptable,Days required,Hours critical,Time-to-insight business impact
Environment,Software Stack,NVIDIA AI Enterprise,NGC containers only,AI Enterprise + Kubeflow,Custom platform + support,Software licensing and MLOps complexity
Environment,Management Platform,Kubernetes with GPU Operator,Manual scheduling,Kubernetes + MLOps,Run:ai or DGX Platform,Cluster orchestration complexity

# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (AI Requirements, Workload Analysis, Infrastructure Assessment, Team Planning)"
Planning,PLANNING_MX,1,"All Planning phase tasks (Cluster Architecture, Network Design, Storage Design, MLOps Platform)"
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Server Installation, Kubernetes Deployment, GPU Operator, Storage Setup, MLOps Tools)"
Testing,TESTING_MX,1,"All Testing phase tasks (System Validation, Network Testing, Workload Testing, Performance Tuning)"
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Handoff, User Onboarding, Production Workloads)"
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, Data Scientist Training, Documentation)"
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)"
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Technical Leadership overhead - 10% of actual engineering hours

# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,AI/ML Requirements,Conduct stakeholder interviews for AI workload requirements,EO Engineer,24,='Estimate Settings'!$C$3,=$E38*$F38,$200,"=TEXT($G38*$H38,""$#,##0"")",,Includes distributed training requirements and team needs analysis
Discovery,Workload Analysis,Analyze AI models frameworks and compute requirements,EO Engineer,32,='Estimate Settings'!$C$3,=$E39*$F39,$200,"=TEXT($G39*$H39,""$#,##0"")",,Customer must provide representative training workloads and model types
Discovery,Infrastructure Assessment,Evaluate datacenter power cooling network and rack capacity,EO Engineer,32,='Estimate Settings'!$C$3,=$E40*$F40,$200,"=TEXT($G40*$H40,""$#,##0"")",,Customer must provide facility specifications and available capacity
Discovery,Team Planning,Assess data science team size roles and GPU resource allocation,EO Engineer,16,='Estimate Settings'!$C$3,=$E41*$F41,$175,"=TEXT($G41*$H41,""$#,##0"")",,Identifies multi-user access patterns and Kubernetes scheduling requirements
Planning,Cluster Architecture Design,Design GPU cluster configuration with compute storage and Kubernetes,EO Engineer,40,='Estimate Settings'!$C$4,=$E42*$F42,$200,"=TEXT($G42*$H42,""$#,##0"")",AI/ML Requirements,Deliverable: Cluster architecture diagram with Dell R750xa servers and A100 GPUs
Planning,Network Design,Design 100 GbE RDMA network for distributed training,EO Engineer,32,='Estimate Settings'!$C$4,=$E43*$F43,$200,"=TEXT($G43*$H43,""$#,##0"")",Cluster Architecture Design,Mellanox ConnectX-6 NICs and switch topology design
Planning,Storage Architecture,Design 200 TB NetApp storage for datasets checkpoints and model registry,EO Engineer,24,='Estimate Settings'!$C$4,=$E44*$F44,$200,"=TEXT($G44*$H44,""$#,##0"")",Workload Analysis,NFSv4 high-performance storage for training data streaming
Planning,MLOps Platform Design,Design Kubeflow pipelines and MLflow experiment tracking platform,EO Engineer,32,='Estimate Settings'!$C$4,=$E45*$F45,$225,"=TEXT($G45*$H45,""$#,##0"")",Cluster Architecture Design,MLOps workflow for model development deployment and monitoring
Development,Server Installation,Install and configure 8x Dell R750xa servers with A100 GPUs,EO Engineer,64,='Estimate Settings'!$C$5,=$E46*$F46,$200,"=TEXT($G46*$H46,""$#,##0"")",Network Design,Physical installation cabling and BIOS configuration
Development,Network Configuration,Deploy and configure 100 GbE switches and RDMA networking,EO Engineer,40,='Estimate Settings'!$C$5,=$E47*$F47,$200,"=TEXT($G47*$H47,""$#,##0"")",Server Installation,Switch configuration NIC bonding and RDMA validation
Development,Storage Deployment,Deploy and configure NetApp AFF A400 storage cluster,EO Engineer,48,='Estimate Settings'!$C$5,=$E48*$F48,$200,"=TEXT($G48*$H48,""$#,##0"")",Network Configuration,Storage cluster installation NFSv4 setup and performance tuning
Development,Kubernetes Deployment,Install and configure Kubernetes cluster across GPU nodes,EO Engineer,56,='Estimate Settings'!$C$5,=$E49*$F49,$225,"=TEXT($G49*$H49,""$#,##0"")",Storage Deployment,Kubernetes control plane worker nodes and CNI networking
Development,GPU Operator Setup,Install and configure NVIDIA GPU Operator for GPU scheduling,EO Engineer,40,='Estimate Settings'!$C$5,=$E50*$F50,$225,"=TEXT($G50*$H50,""$#,##0"")",Kubernetes Deployment,GPU device plugin time-slicing and MIG configuration
