#WIDTH:  45,14,30,30,30,45,8,12,27,14,14,12,30,12
#ALIGN:  left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,nvidia-omniverse-enterprise,nvidia-omniverse-enterprise,nvidia-omniverse-enterprise,Solution name for resource naming,Yes,String,Valid string value,Public,Development,,Omniverse Enterprise Collaboration Platform,2025-12-04
solution.abbr,Project,omni,omni,omni,Solution abbreviation (3-4 chars),Yes,String,3-5 alphanumeric,Public,Development,,Used in resource naming prefix,2025-12-04
solution.provider_name,Project,nvidia,nvidia,nvidia,Provider organization name,Yes,String,Valid string value,Public,Development,,NVIDIA provider,2025-12-04
solution.category_name,Project,modern-workspace,modern-workspace,modern-workspace,Solution category,Yes,String,Valid string value,Public,Development,,Modern Workspace category,2025-12-04
solution.version,Project,2024.1,2024.1,2024.1,Omniverse Enterprise version,Yes,String,Semantic versioning,Public,Development,,Current release version,2025-12-04
nucleus.primary_host,Nucleus Server,nucleus.client.local,nucleus-test.client.local,nucleus-dr.client.local,Primary Nucleus server hostname,Yes,String,Valid FQDN,Confidential,Infrastructure,DNS,Primary collaboration server,2025-12-04
nucleus.replica_host,Nucleus Server,nucleus-ha.client.local,nucleus-ha-test.client.local,nucleus-ha-dr.client.local,Replica Nucleus server for HA,No,String,Valid FQDN,Confidential,Infrastructure,DNS,Failover server for HA,2025-12-04
nucleus.port,Nucleus Server,3009,3009,3009,Nucleus server connection port,Yes,Integer,1024-65535,Public,Infrastructure,Firewall,Standard Nucleus port,2025-12-04
nucleus.websocket_port,Nucleus Server,3019,3019,3019,Nucleus WebSocket port for real-time sync,Yes,Integer,1024-65535,Public,Infrastructure,Firewall,Live collaboration,2025-12-04
nucleus.discovery_port,Nucleus Server,3030,3030,3030,Nucleus discovery service port,Yes,Integer,1024-65535,Public,Infrastructure,Firewall,Service discovery,2025-12-04
nucleus.ha_enabled,Nucleus Server,true,false,true,Enable high availability failover,Yes,Boolean,true|false,Public,Infrastructure,Nucleus replica,99.5% uptime SLA,2025-12-04
nucleus.ha_heartbeat_interval,Nucleus Server,5,5,5,HA heartbeat interval in seconds,Yes,Integer,1-60,Public,Infrastructure,HA enabled,Failover detection,2025-12-04
nucleus.data_path,Nucleus Server,/omniverse/data,/omniverse/data,/omniverse/data,Path for USD scene storage,Yes,String,Valid Unix path,Confidential,Infrastructure,Storage mount,NetApp mounted,2025-12-04
nucleus.checkpoints_enabled,Nucleus Server,true,true,true,Enable automatic USD checkpoints,Yes,Boolean,true|false,Public,Infrastructure,Storage capacity,Version history,2025-12-04
nucleus.checkpoint_interval,Nucleus Server,300,600,300,Checkpoint interval in seconds,Yes,Integer,60-3600,Public,Infrastructure,Checkpoints enabled,5-minute default,2025-12-04
nucleus.admin_user,Nucleus Server,omniverse_admin,omniverse_admin,omniverse_admin,Nucleus administrator username,Yes,String,Valid username,Confidential,Security Team,Initial setup,Local admin account,2025-12-04
nucleus.admin_password,Nucleus Server,[vault:nucleus_admin_password_prod],[vault:nucleus_admin_password_test],[vault:nucleus_admin_password_dr],Nucleus admin password,Yes,String,Min 12 characters,Secret,Security Team,,Stored in Ansible Vault,2025-12-04
