# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,GPU Workstations,50x RTX A6000 workstations,25 workstations,50 workstations,100 workstations,Dell Precision 7960 with RTX A6000 48GB
Solution Scope,Nucleus Servers,2x Nucleus servers (HA),1 server,2 servers (HA),4 servers (distributed),Primary plus replica for high availability
Integration,Design Team Size,50 designers and engineers,20-30 users,50-75 users,100+ users,Concurrent Omniverse collaboration users
Integration,Storage Infrastructure,100 TB USD scene storage,50 TB,100 TB,250 TB,NetApp storage for Universal Scene Description files
Data Volume,3D Scene Data,Multi-TB project files,25-50 TB,100-200 TB,500+ TB,CAD models textures and rendered assets
Data Volume,Rendering Workloads,Interactive + batch rendering,Interactive only,Interactive + batch,Film-quality batch farm,RTX ray tracing requirements
Technical Environment,Network Infrastructure,100 GbE network,10 GbE,100 GbE,100 GbE + InfiniBand,Scene sync and file transfer performance
Technical Environment,Datacenter Readiness,Standard IT infrastructure,Existing network,Minor upgrades,Purpose-built studio,Nucleus server hosting and network capacity
Technical Environment,Deployment Model,On-premises deployment,Cloud-hosted,Hybrid on-prem,Edge + cloud sync,Nucleus server location
Security & Compliance,Data Classification,Proprietary 3D designs,Internal use,Confidential IP,Export-controlled designs,Design file protection requirements
Security & Compliance,Compliance Requirements,Standard security,Basic controls,SOC2 + IP protection,ITAR + trade secret,Regulatory frameworks for design data
Performance,Real-Time Collaboration,50 concurrent users,10 users,50 users,100+ users,Simultaneous USD scene editing
Performance,Rendering Performance,RTX ray tracing,Standard rasterization,RTX real-time,Path tracing + denoising,Interactive rendering quality requirements
Environment,CAD Tool Connectors,5 primary connectors,2-3 tools,5-7 tools,10+ custom connectors,Revit SolidWorks Rhino Blender Maya Unreal integration
Environment,Rendering Farm,10 GPU render nodes,No farm,10 nodes,50+ nodes,Batch rendering for final output

# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Design Requirements, Workflow Analysis, Tool Assessment, Team Planning)"
Planning,PLANNING_MX,1,"All Planning phase tasks (Omniverse Architecture, Nucleus Design, Network Design, Connector Strategy)"
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Nucleus Deployment, Workstation Setup, Connector Integration, USD Pipeline, Rendering)"
Testing,TESTING_MX,1,"All Testing phase tasks (System Validation, Collaboration Testing, Rendering Testing, Performance Tuning)"
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Handoff, Designer Onboarding, Production Projects)"
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, Designer Training, Documentation)"
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)"
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Technical Leadership overhead - 10% of actual engineering hours

# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Design Requirements,Conduct stakeholder interviews for 3D design and collaboration requirements,EO Engineer,24,='Estimate Settings'!$C$3,=$E38*$F38,$200,"=TEXT($G38*$H38,""$#,##0"")",,Includes USD workflow requirements and rendering needs analysis
Discovery,Workflow Analysis,Analyze current CAD workflows file formats and collaboration pain points,EO Engineer,32,='Estimate Settings'!$C$3,=$E39*$F39,$200,"=TEXT($G39*$H39,""$#,##0"")",,Customer must provide current design tools and project examples
Discovery,Tool Assessment,Inventory design tools and assess connector requirements,EO Engineer,24,='Estimate Settings'!$C$3,=$E40*$F40,$200,"=TEXT($G40*$H40,""$#,##0"")",,Identifies Revit SolidWorks Rhino Blender Maya Unreal integration needs
Discovery,Team Planning,Assess design team size roles and concurrent collaboration requirements,EO Engineer,16,='Estimate Settings'!$C$3,=$E41*$F41,$175,"=TEXT($G41*$H41,""$#,##0"")",,Identifies multi-user USD scene editing patterns and access needs
Planning,Omniverse Architecture,Design Omniverse Enterprise architecture with Nucleus and workstations,EO Engineer,40,='Estimate Settings'!$C$4,=$E42*$F42,$225,"=TEXT($G42*$H42,""$#,##0"")",Design Requirements,Deliverable: Omniverse architecture diagram with USD collaboration workflow
Planning,Nucleus Server Design,Design Nucleus server configuration with HA and storage backend,EO Engineer,32,='Estimate Settings'!$C$4,=$E43*$F43,$225,"=TEXT($G43*$H43,""$#,##0"")",Omniverse Architecture,Primary replica servers with NetApp storage integration
Planning,Network Design,Design 100 GbE network for USD scene sync and large file transfers,EO Engineer,24,='Estimate Settings'!$C$4,=$E44*$F44,$200,"=TEXT($G44*$H44,""$#,##0"")",Nucleus Server Design,High-bandwidth network for real-time collaboration
Planning,Connector Strategy,Plan CAD tool connector deployment and USD pipeline integration,EO Engineer,32,='Estimate Settings'!$C$4,=$E45*$F45,$225,"=TEXT($G45*$H45,""$#,##0"")",Tool Assessment,Connector installation strategy for Revit SolidWorks Rhino Blender Maya
Planning,Rendering Architecture,Design RTX rendering strategy with Omniverse Farm for batch jobs,EO Engineer,24,='Estimate Settings'!$C$4,=$E46*$F46,$200,"=TEXT($G46*$H46,""$#,##0"")",Omniverse Architecture,Interactive RTX ray tracing plus farm rendering for final output
Development,Storage Deployment,Deploy and configure NetApp storage for USD scene data,EO Engineer,40,='Estimate Settings'!$C$5,=$E47*$F47,$200,"=TEXT($G47*$H47,""$#,##0"")",Network Design,100 TB storage cluster NFS configuration and performance tuning
Development,Nucleus Server Deployment,Install and configure 2x Nucleus servers with HA replication,EO Engineer,48,='Estimate Settings'!$C$5,=$E48*$F48,$225,"=TEXT($G48*$H48,""$#,##0"")",Storage Deployment,Primary replica deployment with automatic failover
Development,Network Configuration,Configure 100 GbE switches and workstation network connectivity,EO Engineer,32,='Estimate Settings'!$C$5,=$E49*$F49,$200,"=TEXT($G49*$H49,""$#,##0"")",Nucleus Server Deployment,Switch configuration VLAN setup and bandwidth management
Development,Workstation Deployment,Deploy and configure 50x Dell Precision workstations with RTX A6000,EO Engineer,80,='Estimate Settings'!$C$5,=$E50*$F50,$200,"=TEXT($G50*$H50,""$#,##0"")",Network Configuration,Workstation imaging driver installation and Omniverse client setup
Development,Revit Connector Integration,Install and configure Autodesk Revit connector for BIM workflows,EO Engineer,32,='Estimate Settings'!$C$5,=$E51*$F51,$225,"=TEXT($G51*$H51,""$#,##0"")",Workstation Deployment,Revit plugin installation USD export settings and live sync configuration
Development,SolidWorks Connector Integration,Install and configure SolidWorks connector for CAD workflows,EO Engineer,32,='Estimate Settings'!$C$5,=$E52*$F52,$225,"=TEXT($G52*$H52,""$#,##0"")",Workstation Deployment,SolidWorks plugin installation assembly sync and materials mapping
Development,Rhino Connector Integration,Install and configure Rhino connector for industrial design workflows,EO Engineer,24,='Estimate Settings'!$C$5,=$E53*$F53,$225,"=TEXT($G53*$H53,""$#,##0"")",Workstation Deployment,Rhino plugin installation NURBS to USD conversion
Development,Blender Integration,Configure Blender USD workflows for 3D modeling and animation,EO Engineer,16,='Estimate Settings'!$C$5,=$E54*$F54,$200,"=TEXT($G54*$H54,""$#,##0"")",Workstation Deployment,Blender USD native support and Omniverse connector setup
Development,Maya Integration,Install and configure Autodesk Maya connector for animation workflows,EO Engineer,24,='Estimate Settings'!$C$5,=$E55*$F55,$225,"=TEXT($G55*$H55,""$#,##0"")",Workstation Deployment,Maya plugin installation scene sync and rendering integration
Development,Unreal Engine Integration,Configure Unreal Engine for real-time visualization and VR walkthroughs,EO Engineer,32,='Estimate Settings'!$C$5,=$E56*$F56,$225,"=TEXT($G56*$H56,""$#,##0"")",Workstation Deployment,Unreal USD import live link and RTX ray tracing setup
Development,USD Pipeline Setup,Configure custom USD pipeline with layers variants and references,EO Engineer,40,='Estimate Settings'!$C$5,=$E57*$F57,$250,"=TEXT($G57*$H57,""$#,##0"")",Unreal Engine Integration,Studio-specific USD schema asset structure and version control
Development,Rendering Farm Setup,Deploy 10x GPU render nodes for Omniverse Farm batch rendering,EO Engineer,40,='Estimate Settings'!$C$5,=$E58*$F58,$225,"=TEXT($G58*$H58,""$#,##0"")",USD Pipeline Setup,Farm controller configuration job queuing and render output management
Development,RTX Rendering Configuration,Configure RTX ray tracing settings materials and lighting for quality,EO Engineer,24,='Estimate Settings'!$C$5,=$E59*$F59,$200,"=TEXT($G59*$H59,""$#,##0"")",Rendering Farm Setup,RTX settings MDL materials and physically-based rendering optimization
Development,Security Configuration,Configure user authentication access controls and project permissions,EO Engineer,24,='Estimate Settings'!$C$5,=$E60*$F60,$200,"=TEXT($G60*$H60,""$#,##0"")",RTX Rendering Configuration,SSO integration role-based access and IP protection
Testing,System Validation,Validate Nucleus servers workstations and RTX GPU functionality,EO Engineer,24,='Estimate Settings'!$C$6,=$E61*$F61,$175,"=TEXT($G61*$H61,""$#,##0"")",Security Configuration,Server health checks GPU diagnostics and storage validation
Testing,Collaboration Testing,Test multi-user USD scene editing with concurrent designer access,EO Engineer,32,='Estimate Settings'!$C$6,=$E62*$F62,$200,"=TEXT($G62*$H62,""$#,##0"")",System Validation,Real-time sync conflict resolution and version control testing
Testing,Connector Testing,Validate all CAD tool connectors with representative design files,EO Engineer,40,='Estimate Settings'!$C$6,=$E63*$F63,$225,"=TEXT($G63*$H63,""$#,##0"")",Collaboration Testing,Customer must provide sample Revit SolidWorks Rhino and Maya files
Testing,Rendering Testing,Test RTX interactive rendering and Farm batch job performance,EO Engineer,24,='Estimate Settings'!$C$6,=$E64*$F64,$200,"=TEXT($G64*$H64,""$#,##0"")",Connector Testing,Ray tracing quality benchmarks and render farm throughput validation
Testing,Performance Tuning,Optimize USD scene performance RTX settings and network throughput,EO Engineer,24,='Estimate Settings'!$C$6,=$E65*$F65,$225,"=TEXT($G65*$H65,""$#,##0"")",Rendering Testing,Tune scene complexity LOD settings and collaboration performance
Deployment,Production Handoff,Transition Omniverse platform to production with monitoring and support,EO Engineer,16,='Estimate Settings'!$C$7,=$E66*$F66,$200,"=TEXT($G66*$H66,""$#,##0"")",Performance Tuning,Production readiness validation and operational procedures documentation
Deployment,Designer Onboarding,Onboard design teams with Nucleus access connector setup and projects,EO Engineer,40,='Estimate Settings'!$C$7,=$E67*$F67,$175,"=TEXT($G67*$H67,""$#,##0"")",Production Handoff,User account setup project workspace creation and initial collaboration support
Deployment,Production Project Migration,Migrate first production design projects to Omniverse workflows,EO Engineer,48,='Estimate Settings'!$C$7,=$E68*$F68,$200,"=TEXT($G68*$H68,""$#,##0"")",Designer Onboarding,Assist with CAD model import USD conversion and collaborative editing
